7492771,s1,T1,T2,Binding of plasma ,Factor VII/VIIa, to the ,tissue factor (TF) receptor, initiates the coagulation protease cascades.,Complex_formation
7492771,s5,T23,T24,"Furthermore, ",sodium salicylate, blocked the ,LPS,"-induced proteolytic degradation of I kappa B alpha, which prevented the nuclear translocation of c-Rel/p65 heterodimers.",Not_a_complex
7492771,s6,T25,T13,"In contrast, two other nonsteroidal anti-inflammatory drugs, ",ibuprofen," and indomethacin, did not inhibit LPS induction of the ",TF, gene.,Not_a_complex
7492771,s6,T26,T13,"In contrast, two other nonsteroidal anti-inflammatory drugs, ibuprofen and ",indomethacin,", did not inhibit LPS induction of the ",TF, gene.,Not_a_complex
7492771,s6,T27,T13,"In contrast, two other nonsteroidal anti-inflammatory drugs, ibuprofen and indomethacin, did not inhibit ",LPS, induction of the ,TF, gene.,Not_a_complex
7492771,s6,T25,T26,"In contrast, two other nonsteroidal anti-inflammatory drugs, ",ibuprofen, and ,indomethacin,", did not inhibit LPS induction of the TF gene.",Not_a_complex
7492771,s6,T25,T27,"In contrast, two other nonsteroidal anti-inflammatory drugs, ",ibuprofen," and indomethacin, did not inhibit ",LPS, induction of the TF gene.,Not_a_complex
7492771,s6,T26,T27,"In contrast, two other nonsteroidal anti-inflammatory drugs, ibuprofen and ",indomethacin,", did not inhibit ",LPS, induction of the TF gene.,Not_a_complex
7492771,s7,T15,T16,These results indicated that salicylates inhibited LPS induction of TF gene transcription in monocytic cells by preventing nuclear translocation of ,c-Rel,/,p65, heterodimers.,Complex_formation
7492771,s7,T14,T15,These results indicated that salicylates inhibited LPS induction of ,TF, gene transcription in monocytic cells by preventing nuclear translocation of ,c-Rel,/p65 heterodimers.,Not_a_complex
7492771,s7,T14,T16,These results indicated that salicylates inhibited LPS induction of ,TF, gene transcription in monocytic cells by preventing nuclear translocation of c-Rel/,p65, heterodimers.,Not_a_complex
7492771,s7,T28,T14,These results indicated that ,salicylates, inhibited LPS induction of ,TF, gene transcription in monocytic cells by preventing nuclear translocation of c-Rel/p65 heterodimers.,Not_a_complex
7492771,s7,T29,T14,These results indicated that salicylates inhibited ,LPS, induction of ,TF, gene transcription in monocytic cells by preventing nuclear translocation of c-Rel/p65 heterodimers.,Not_a_complex
7492771,s7,T28,T15,These results indicated that ,salicylates, inhibited LPS induction of TF gene transcription in monocytic cells by preventing nuclear translocation of ,c-Rel,/p65 heterodimers.,Not_a_complex
7492771,s7,T29,T15,These results indicated that salicylates inhibited ,LPS, induction of TF gene transcription in monocytic cells by preventing nuclear translocation of ,c-Rel,/p65 heterodimers.,Not_a_complex
7492771,s7,T28,T16,These results indicated that ,salicylates, inhibited LPS induction of TF gene transcription in monocytic cells by preventing nuclear translocation of c-Rel/,p65, heterodimers.,Not_a_complex
7492771,s7,T29,T16,These results indicated that salicylates inhibited ,LPS, induction of TF gene transcription in monocytic cells by preventing nuclear translocation of c-Rel/,p65, heterodimers.,Not_a_complex
7492771,s7,T28,T29,These results indicated that ,salicylates, inhibited ,LPS, induction of TF gene transcription in monocytic cells by preventing nuclear translocation of c-Rel/p65 heterodimers.,Not_a_complex
