9852070,s0,T1,T33,The involvement of multiple tumor necrosis factor receptor (TNFR)-associated factors in the signaling mechanisms of ,receptor activator of NF-kappaB,", a member of the ",TNFR," superfamily. 
",Not_a_complex
9852070,s7,T15,T16,"In particular, ",TRAF6, interacted with membrane-proximal determinants distinct from those binding ,TRAFs 1,", 2, 3, and 5.",Not_a_complex
9852070,s7,T15,T17,"In particular, ",TRAF6," interacted with membrane-proximal determinants distinct from those binding TRAFs 1, ",2,", 3, and 5.",Not_a_complex
9852070,s7,T15,T18,"In particular, ",TRAF6," interacted with membrane-proximal determinants distinct from those binding TRAFs 1, 2, ",3,", and 5.",Not_a_complex
9852070,s7,T15,T19,"In particular, ",TRAF6," interacted with membrane-proximal determinants distinct from those binding TRAFs 1, 2, 3, and ",5,.,Not_a_complex
9852070,s7,T16,T17,"In particular, TRAF6 interacted with membrane-proximal determinants distinct from those binding ",TRAFs 1,", ",2,", 3, and 5.",Not_a_complex
9852070,s7,T16,T18,"In particular, TRAF6 interacted with membrane-proximal determinants distinct from those binding ",TRAFs 1,", 2, ",3,", and 5.",Not_a_complex
9852070,s7,T16,T19,"In particular, TRAF6 interacted with membrane-proximal determinants distinct from those binding ",TRAFs 1,", 2, 3, and ",5,.,Not_a_complex
9852070,s7,T17,T18,"In particular, TRAF6 interacted with membrane-proximal determinants distinct from those binding TRAFs 1, ",2,", ",3,", and 5.",Not_a_complex
9852070,s7,T17,T19,"In particular, TRAF6 interacted with membrane-proximal determinants distinct from those binding TRAFs 1, ",2,", 3, and ",5,.,Not_a_complex
9852070,s7,T18,T19,"In particular, TRAF6 interacted with membrane-proximal determinants distinct from those binding TRAFs 1, 2, ",3,", and ",5,.,Not_a_complex
9852070,s8,T20,T21,When this membrane-proximal ,TRAF6," interaction domain was deleted, ",RANK,-mediated NF-kappaB signaling was completely inhibited while c-Jun NH2-terminal kinase activation was partially inhibited.,Not_a_complex
9852070,s8,T20,T22,When this membrane-proximal ,TRAF6," interaction domain was deleted, RANK-mediated NF-kappaB signaling was completely inhibited while ",c-Jun, NH2-terminal kinase activation was partially inhibited.,Not_a_complex
9852070,s8,T20,T37,When this membrane-proximal ,TRAF6," interaction domain was deleted, RANK-mediated ",NF-kappaB, signaling was completely inhibited while c-Jun NH2-terminal kinase activation was partially inhibited.,Not_a_complex
9852070,s8,T21,T22,"When this membrane-proximal TRAF6 interaction domain was deleted, ",RANK,-mediated NF-kappaB signaling was completely inhibited while ,c-Jun, NH2-terminal kinase activation was partially inhibited.,Not_a_complex
9852070,s8,T21,T37,"When this membrane-proximal TRAF6 interaction domain was deleted, ",RANK,-mediated ,NF-kappaB, signaling was completely inhibited while c-Jun NH2-terminal kinase activation was partially inhibited.,Not_a_complex
9852070,s8,T37,T22,"When this membrane-proximal TRAF6 interaction domain was deleted, RANK-mediated ",NF-kappaB, signaling was completely inhibited while ,c-Jun, NH2-terminal kinase activation was partially inhibited.,Not_a_complex
9852070,s9,T23,T24,An NH2-terminal truncation mutant of ,TRAF6, inhibited ,RANKL,"-mediated NF-kappaB activation, but failed to affect constitutive signaling induced by receptor overexpression, revealing a selective role for TRAF6 in ligand-induced activation events.",Not_a_complex
9852070,s9,T23,T25,An NH2-terminal truncation mutant of ,TRAF6," inhibited RANKL-mediated NF-kappaB activation, but failed to affect constitutive signaling induced by receptor overexpression, revealing a selective role for ",TRAF6, in ligand-induced activation events.,Not_a_complex
9852070,s9,T23,T32,An NH2-terminal truncation mutant of ,TRAF6, inhibited RANKL-mediated ,NF-kappaB," activation, but failed to affect constitutive signaling induced by receptor overexpression, revealing a selective role for TRAF6 in ligand-induced activation events.",Not_a_complex
9852070,s9,T24,T25,An NH2-terminal truncation mutant of TRAF6 inhibited ,RANKL,"-mediated NF-kappaB activation, but failed to affect constitutive signaling induced by receptor overexpression, revealing a selective role for ",TRAF6, in ligand-induced activation events.,Not_a_complex
9852070,s9,T24,T32,An NH2-terminal truncation mutant of TRAF6 inhibited ,RANKL,-mediated ,NF-kappaB," activation, but failed to affect constitutive signaling induced by receptor overexpression, revealing a selective role for TRAF6 in ligand-induced activation events.",Not_a_complex
9852070,s9,T32,T25,An NH2-terminal truncation mutant of TRAF6 inhibited RANKL-mediated ,NF-kappaB," activation, but failed to affect constitutive signaling induced by receptor overexpression, revealing a selective role for ",TRAF6, in ligand-induced activation events.,Not_a_complex
