9159166,s0,T1,T2,Homodimerization of the human ,interleukin 4 receptor alpha chain, induces Cepsilon germline transcripts in B cells in the absence of the ,interleukin 2 receptor gamma chain,". 
",Not_a_complex
9159166,s2,T5,T28,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the ",IL-4,"-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and ",IL-15R,.,Not_a_complex
9159166,s2,T5,T7,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the ",IL-4,"-binding IL-4Ralpha chain, which is shared with the IL-13R, and the ",IL-2Rgamma (gammac) chain,", which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T5,T8,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the ",IL-4,"-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with ",IL-7R,", IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T5,T9,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the ",IL-4,"-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, ",IL-9R,", and IL-15R.",Not_a_complex
9159166,s2,T25,T6,The ,IL-4 receptor," (IL-4R) in B cells is composed of two chains, the IL-4-binding ",IL-4Ralpha chain,", which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T26,T6,The IL-4 receptor (,IL-4R,") in B cells is composed of two chains, the IL-4-binding ",IL-4Ralpha chain,", which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T6,T28,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding ",IL-4Ralpha chain,", which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and ",IL-15R,.,Not_a_complex
9159166,s2,T6,T7,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding ",IL-4Ralpha chain,", which is shared with the IL-13R, and the ",IL-2Rgamma (gammac) chain,", which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T6,T8,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding ",IL-4Ralpha chain,", which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with ",IL-7R,", IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T6,T9,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding ",IL-4Ralpha chain,", which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, ",IL-9R,", and IL-15R.",Not_a_complex
9159166,s2,T25,T7,The ,IL-4 receptor," (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the ",IL-2Rgamma (gammac) chain,", which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T26,T7,The IL-4 receptor (,IL-4R,") in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the ",IL-2Rgamma (gammac) chain,", which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T27,T7,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the ",IL-13R,", and the ",IL-2Rgamma (gammac) chain,", which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T25,T8,The ,IL-4 receptor," (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with ",IL-7R,", IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T26,T8,The IL-4 receptor (,IL-4R,") in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with ",IL-7R,", IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T27,T8,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the ",IL-13R,", and the IL-2Rgamma (gammac) chain, which is shared with ",IL-7R,", IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T8,T28,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with ",IL-7R,", IL-9R, and ",IL-15R,.,Not_a_complex
9159166,s2,T8,T9,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with ",IL-7R,", ",IL-9R,", and IL-15R.",Not_a_complex
9159166,s2,T25,T9,The ,IL-4 receptor," (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, ",IL-9R,", and IL-15R.",Not_a_complex
9159166,s2,T26,T9,The IL-4 receptor (,IL-4R,") in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, ",IL-9R,", and IL-15R.",Not_a_complex
9159166,s2,T27,T9,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the ",IL-13R,", and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, ",IL-9R,", and IL-15R.",Not_a_complex
9159166,s2,T9,T28,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, ",IL-9R,", and ",IL-15R,.,Not_a_complex
9159166,s3,T10,T11,,IL-4, induces Cepsilon germline transcripts and IgE isotype switching in B cells from patients with ,gammac chain, deficiency.,Not_a_complex
9159166,s4,T12,T13,Induction of Cepsilon germline transcripts by ,IL-4, in B cells that lack the ,gammac chain, may involve signaling via the IL-13R.,Not_a_complex
9159166,s4,T12,T29,Induction of Cepsilon germline transcripts by ,IL-4, in B cells that lack the gammac chain may involve signaling via the ,IL-13R,.,Not_a_complex
9159166,s4,T13,T29,Induction of Cepsilon germline transcripts by IL-4 in B cells that lack the ,gammac chain, may involve signaling via the ,IL-13R,.,Not_a_complex
9159166,s6,T15,T16,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the ,erythropoietin receptor, and of the intracellular domain of ,IL-4Ralpha," induces Janus kinase 1 (Jak1) activation, STAT6 activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T15,T17,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the ,erythropoietin receptor, and of the intracellular domain of IL-4Ralpha induces ,Janus kinase 1," (Jak1) activation, STAT6 activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T15,T18,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the ,erythropoietin receptor, and of the intracellular domain of IL-4Ralpha induces Janus kinase 1 (,Jak1,") activation, STAT6 activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T15,T19,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the ,erythropoietin receptor," and of the intracellular domain of IL-4Ralpha induces Janus kinase 1 (Jak1) activation, ",STAT6," activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T16,T17,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the erythropoietin receptor and of the intracellular domain of ,IL-4Ralpha, induces ,Janus kinase 1," (Jak1) activation, STAT6 activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T16,T18,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the erythropoietin receptor and of the intracellular domain of ,IL-4Ralpha, induces Janus kinase 1 (,Jak1,") activation, STAT6 activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T16,T19,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the erythropoietin receptor and of the intracellular domain of ,IL-4Ralpha," induces Janus kinase 1 (Jak1) activation, ",STAT6," activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T17,T18,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the erythropoietin receptor and of the intracellular domain of IL-4Ralpha induces ,Janus kinase 1, (,Jak1,") activation, STAT6 activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T17,T19,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the erythropoietin receptor and of the intracellular domain of IL-4Ralpha induces ,Janus kinase 1," (Jak1) activation, ",STAT6," activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s6,T18,T19,We show that ligand-induced homodimerization of chimeric surface receptors consisting of the extracellular and transmembrane domains of the erythropoietin receptor and of the intracellular domain of IL-4Ralpha induces Janus kinase 1 (,Jak1,") activation, ",STAT6," activation, and Cepsilon germline transcripts in human B cell line BJAB.",Not_a_complex
9159166,s7,T20,T21,Disruption of the ,Jak1,-binding proline-rich Box1 region of ,IL-4Ralpha, abolished signaling by this chimeric receptor.,Complex_formation
9159166,s9,T23,T24,These results suggest that homodimerization of the ,IL-4Ralpha chain, is sufficient to transduce ,Jak1,-dependent intracellular signals that lead to IgE isotype switching.,Not_a_complex
