7747447,s0,T15,T1,I,nduction of Sp1 phosphorylation and NF-kappa B-independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid.,,Sp1," phosphorylation and NF-kappa B-independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid. 
",Not_a_complex
7747447,s3,T13,T4,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by ",TNF,", phorbol ester, or ",PHA, and interleukin 2.,Not_a_complex
7747447,s3,T26,T4,"In both transformed and normal lymphocytes, ",OKA," stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by TNF, phorbol ester, or ",PHA, and interleukin 2.,Not_a_complex
7747447,s3,T27,T4,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of ",OKA," not shared by TNF, phorbol ester, or ",PHA, and interleukin 2.,Not_a_complex
7747447,s3,T28,T4,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by TNF, ",phorbol ester,", or ",PHA, and interleukin 2.,Not_a_complex
7747447,s3,T4,T5,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by TNF, phorbol ester, or ",PHA, and ,interleukin 2,.,Not_a_complex
7747447,s3,T13,T5,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by ",TNF,", phorbol ester, or PHA and ",interleukin 2,.,Not_a_complex
7747447,s3,T26,T5,"In both transformed and normal lymphocytes, ",OKA," stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by TNF, phorbol ester, or PHA and ",interleukin 2,.,Not_a_complex
7747447,s3,T27,T5,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of ",OKA," not shared by TNF, phorbol ester, or PHA and ",interleukin 2,.,Not_a_complex
7747447,s3,T28,T5,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by TNF, ",phorbol ester,", or PHA and ",interleukin 2,.,Not_a_complex
7747447,s4,T18,T14,Responsiveness of LTR constructs deleted of ,kappa B, elements to HIV Tat expression was increased upon OKA but not ,TNF, stimulation.,Not_a_complex
7747447,s4,T29,T14,Responsiveness of ,LTR, constructs deleted of kappa B elements to HIV Tat expression was increased upon OKA but not ,TNF, stimulation.,Not_a_complex
7747447,s4,T30,T14,Responsiveness of LTR constructs deleted of kappa B elements to HIV Tat expression was increased upon ,OKA, but not ,TNF, stimulation.,Not_a_complex
7747447,s4,T29,T18,Responsiveness of ,LTR, constructs deleted of ,kappa B, elements to HIV Tat expression was increased upon OKA but not TNF stimulation.,Not_a_complex
7747447,s4,T18,T30,Responsiveness of LTR constructs deleted of ,kappa B, elements to HIV Tat expression was increased upon ,OKA, but not TNF stimulation.,Not_a_complex
7747447,s4,T29,T30,Responsiveness of ,LTR, constructs deleted of kappa B elements to HIV Tat expression was increased upon ,OKA, but not TNF stimulation.,Not_a_complex
7747447,s4,T6,T14,Responsiveness of LTR constructs deleted of kappa B elements to HIV ,Tat, expression was increased upon OKA but not ,TNF, stimulation.,Not_a_complex
7747447,s4,T18,T6,Responsiveness of LTR constructs deleted of ,kappa B, elements to HIV ,Tat, expression was increased upon OKA but not TNF stimulation.,Not_a_complex
7747447,s4,T29,T6,Responsiveness of ,LTR, constructs deleted of kappa B elements to HIV ,Tat, expression was increased upon OKA but not TNF stimulation.,Not_a_complex
7747447,s4,T6,T30,Responsiveness of LTR constructs deleted of kappa B elements to HIV ,Tat, expression was increased upon ,OKA, but not TNF stimulation.,Not_a_complex
7747447,s5,T9,T10,"Our results suggest that SP1 phosphorylation induced by OKA, a selective inhibitor of the serine-threonine phosphatase PP2A, facilitates the formation of a transcription complex involving general transcription factors, HIV ",Tat,", and ",Sp1, proteins.,Complex_formation
7747447,s5,T31,T10,Our results suggest that SP1 phosphorylation induced by ,OKA,", a selective inhibitor of the serine-threonine phosphatase PP2A, facilitates the formation of a transcription complex involving general transcription factors, HIV Tat, and ",Sp1, proteins.,Not_a_complex
7747447,s5,T7,T10,Our results suggest that ,SP1," phosphorylation induced by OKA, a selective inhibitor of the serine-threonine phosphatase PP2A, facilitates the formation of a transcription complex involving general transcription factors, HIV Tat, and ",Sp1, proteins.,Not_a_complex
7747447,s5,T7,T31,Our results suggest that ,SP1, phosphorylation induced by ,OKA,", a selective inhibitor of the serine-threonine phosphatase PP2A, facilitates the formation of a transcription complex involving general transcription factors, HIV Tat, and Sp1 proteins.",Not_a_complex
7747447,s5,T7,T8,Our results suggest that ,SP1," phosphorylation induced by OKA, a selective inhibitor of the serine-threonine phosphatase ",PP2A,", facilitates the formation of a transcription complex involving general transcription factors, HIV Tat, and Sp1 proteins.",Not_a_complex
7747447,s5,T7,T9,Our results suggest that ,SP1," phosphorylation induced by OKA, a selective inhibitor of the serine-threonine phosphatase PP2A, facilitates the formation of a transcription complex involving general transcription factors, HIV ",Tat,", and Sp1 proteins.",Not_a_complex
7747447,s5,T8,T10,"Our results suggest that SP1 phosphorylation induced by OKA, a selective inhibitor of the serine-threonine phosphatase ",PP2A,", facilitates the formation of a transcription complex involving general transcription factors, HIV Tat, and ",Sp1, proteins.,Not_a_complex
7747447,s5,T31,T8,Our results suggest that SP1 phosphorylation induced by ,OKA,", a selective inhibitor of the serine-threonine phosphatase ",PP2A,", facilitates the formation of a transcription complex involving general transcription factors, HIV Tat, and Sp1 proteins.",Not_a_complex
7747447,s5,T8,T9,"Our results suggest that SP1 phosphorylation induced by OKA, a selective inhibitor of the serine-threonine phosphatase ",PP2A,", facilitates the formation of a transcription complex involving general transcription factors, HIV ",Tat,", and Sp1 proteins.",Not_a_complex
7747447,s5,T31,T9,Our results suggest that SP1 phosphorylation induced by ,OKA,", a selective inhibitor of the serine-threonine phosphatase PP2A, facilitates the formation of a transcription complex involving general transcription factors, HIV ",Tat,", and Sp1 proteins.",Not_a_complex
7747447,s6,T17,T32,"The formation of this complex would increase, independently of an in synergy with ",NF-kappa B,", the low basal activity of the HIV ",LTR, observed in normal T lymphocytes.,Not_a_complex
