10395652,s0,T26,T1,Signaling events induced by ,lipopolysaccharide,-activated ,toll-like receptor 2,". 
",Not_a_complex
10395652,s6,T12,T15,"DN constructs of myeloid differentiation protein, IRAK, ",TNF receptor-associated factor 6,", and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate ",TLR2,-mediated NF-kappaB activation.,Not_a_complex
10395652,s6,T21,T12,"DN constructs of myeloid differentiation protein, ",IRAK,", ",TNF receptor-associated factor 6,", and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T22,T12,DN constructs of ,myeloid differentiation protein,", IRAK, ",TNF receptor-associated factor 6,", and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T12,T23,"DN constructs of myeloid differentiation protein, IRAK, ",TNF receptor-associated factor 6,", and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate TLR2-mediated ",NF-kappaB, activation.,Not_a_complex
10395652,s6,T13,T14,"DN constructs of myeloid differentiation protein, IRAK, TNF receptor-associated factor 6, and ",NF-kappaB-inducing kinase,", when coexpressed with ",TLR2,", abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T13,T15,"DN constructs of myeloid differentiation protein, IRAK, TNF receptor-associated factor 6, and ",NF-kappaB-inducing kinase,", when coexpressed with TLR2, abrogate ",TLR2,-mediated NF-kappaB activation.,Not_a_complex
10395652,s6,T21,T13,"DN constructs of myeloid differentiation protein, ",IRAK,", TNF receptor-associated factor 6, and ",NF-kappaB-inducing kinase,", when coexpressed with TLR2, abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T22,T13,DN constructs of ,myeloid differentiation protein,", IRAK, TNF receptor-associated factor 6, and ",NF-kappaB-inducing kinase,", when coexpressed with TLR2, abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T13,T23,"DN constructs of myeloid differentiation protein, IRAK, TNF receptor-associated factor 6, and ",NF-kappaB-inducing kinase,", when coexpressed with TLR2, abrogate TLR2-mediated ",NF-kappaB, activation.,Not_a_complex
10395652,s6,T14,T15,"DN constructs of myeloid differentiation protein, IRAK, TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with ",TLR2,", abrogate ",TLR2,-mediated NF-kappaB activation.,Not_a_complex
10395652,s6,T21,T14,"DN constructs of myeloid differentiation protein, ",IRAK,", TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with ",TLR2,", abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T22,T14,DN constructs of ,myeloid differentiation protein,", IRAK, TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with ",TLR2,", abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T14,T23,"DN constructs of myeloid differentiation protein, IRAK, TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with ",TLR2,", abrogate TLR2-mediated ",NF-kappaB, activation.,Not_a_complex
10395652,s6,T21,T15,"DN constructs of myeloid differentiation protein, ",IRAK,", TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate ",TLR2,-mediated NF-kappaB activation.,Not_a_complex
10395652,s6,T22,T15,DN constructs of ,myeloid differentiation protein,", IRAK, TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate ",TLR2,-mediated NF-kappaB activation.,Not_a_complex
10395652,s6,T15,T23,"DN constructs of myeloid differentiation protein, IRAK, TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate ",TLR2,-mediated ,NF-kappaB, activation.,Not_a_complex
10395652,s6,T22,T21,DN constructs of ,myeloid differentiation protein,", ",IRAK,", TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T21,T23,"DN constructs of myeloid differentiation protein, ",IRAK,", TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate TLR2-mediated ",NF-kappaB, activation.,Not_a_complex
10395652,s6,T22,T23,DN constructs of ,myeloid differentiation protein,", IRAK, TNF receptor-associated factor 6, and NF-kappaB-inducing kinase, when coexpressed with TLR2, abrogate TLR2-mediated ",NF-kappaB, activation.,Not_a_complex
10395652,s7,T16,T17,These results reveal a conserved signaling pathway for ,TLR2, and IL-1Rs and suggest a molecular mechanism for the inhibition of ,TLR2, by DN variants.,Not_a_complex
10395652,s7,T16,T32,These results reveal a conserved signaling pathway for ,TLR2, and ,IL-1Rs, and suggest a molecular mechanism for the inhibition of TLR2 by DN variants.,Not_a_complex
10395652,s7,T32,T17,These results reveal a conserved signaling pathway for TLR2 and ,IL-1Rs, and suggest a molecular mechanism for the inhibition of ,TLR2, by DN variants.,Not_a_complex
