1682217,s0,T1,T2,,v-erbA, overexpression is required to extinguish ,c-erbA," function in erythroid cell differentiation and regulation of the erbA target gene CAII. 
",Not_a_complex
1682217,s3,T6,T8,"Here, we show that ",v-erbA, and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific ,carbonic anhydrase II," (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.",Not_a_complex
1682217,s3,T6,T9,"Here, we show that ",v-erbA, and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (,CAII,"), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.",Not_a_complex
1682217,s3,T7,T10,"Here, we show that v-erbA and ",c-erbA," bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by ",v-erbA,. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T7,T11,"Here, we show that v-erbA and ",c-erbA," bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ",CAII, transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T7,T12,"Here, we show that v-erbA and ",c-erbA," bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the ",v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T7,T26,"Here, we show that v-erbA and ",c-erbA," bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This ",erbA,-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T7,T27,"Here, we show that v-erbA and ",c-erbA," bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers ",thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T7,T8,"Here, we show that v-erbA and ",c-erbA, bind directly to sequences within the promoter of the erythrocyte-specific ,carbonic anhydrase II," (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.",Not_a_complex
1682217,s3,T7,T9,"Here, we show that v-erbA and ",c-erbA, bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (,CAII,"), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.",Not_a_complex
1682217,s3,T8,T10,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific ",carbonic anhydrase II," (CAII), a gene whose transcription is efficiently suppressed by ",v-erbA,. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T8,T11,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific ",carbonic anhydrase II," (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ",CAII, transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T8,T12,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific ",carbonic anhydrase II," (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the ",v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T8,T26,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific ",carbonic anhydrase II," (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This ",erbA,-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T8,T27,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific ",carbonic anhydrase II," (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers ",thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T8,T9,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific ",carbonic anhydrase II, (,CAII,"), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.",Not_a_complex
1682217,s3,T9,T10,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (",CAII,"), a gene whose transcription is efficiently suppressed by ",v-erbA,. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T9,T11,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (",CAII,"), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ",CAII, transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T9,T12,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (",CAII,"), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the ",v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T9,T26,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (",CAII,"), a gene whose transcription is efficiently suppressed by v-erbA. This ",erbA,-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T9,T27,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (",CAII,"), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers ",thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s4,T13,T14,In stably transformed erythroblasts coexpressing the ,v-erbA, oncoprotein and the ,c-erbA,"/T3 receptor at an approximately equimolar ratio, c-erbA activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T13,T15,In stably transformed erythroblasts coexpressing the ,v-erbA," oncoprotein and the c-erbA/T3 receptor at an approximately equimolar ratio, ",c-erbA," activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T13,T16,In stably transformed erythroblasts coexpressing the ,v-erbA," oncoprotein and the c-erbA/T3 receptor at an approximately equimolar ratio, c-erbA activity is dominant over ",v-erbA,". T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T13,T17,In stably transformed erythroblasts coexpressing the ,v-erbA," oncoprotein and the c-erbA/T3 receptor at an approximately equimolar ratio, c-erbA activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the ",v-erbA,-mediated differentiation arrest.,Not_a_complex
1682217,s4,T13,T28,In stably transformed erythroblasts coexpressing the ,v-erbA, oncoprotein and the c-erbA/,T3 receptor," at an approximately equimolar ratio, c-erbA activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T14,T15,In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the ,c-erbA,"/T3 receptor at an approximately equimolar ratio, ",c-erbA," activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T14,T16,In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the ,c-erbA,"/T3 receptor at an approximately equimolar ratio, c-erbA activity is dominant over ",v-erbA,". T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T14,T17,In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the ,c-erbA,"/T3 receptor at an approximately equimolar ratio, c-erbA activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the ",v-erbA,-mediated differentiation arrest.,Not_a_complex
1682217,s4,T14,T28,In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the ,c-erbA,/,T3 receptor," at an approximately equimolar ratio, c-erbA activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T15,T16,"In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the c-erbA/T3 receptor at an approximately equimolar ratio, ",c-erbA, activity is dominant over ,v-erbA,". T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T15,T17,"In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the c-erbA/T3 receptor at an approximately equimolar ratio, ",c-erbA," activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the ",v-erbA,-mediated differentiation arrest.,Not_a_complex
1682217,s4,T28,T15,In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the c-erbA/,T3 receptor," at an approximately equimolar ratio, ",c-erbA," activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T16,T17,"In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the c-erbA/T3 receptor at an approximately equimolar ratio, c-erbA activity is dominant over ",v-erbA,". T3 efficiently induced erythroid differentiation in these cells, thus overcoming the ",v-erbA,-mediated differentiation arrest.,Not_a_complex
1682217,s4,T28,T16,In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the c-erbA/,T3 receptor," at an approximately equimolar ratio, c-erbA activity is dominant over ",v-erbA,". T3 efficiently induced erythroid differentiation in these cells, thus overcoming the v-erbA-mediated differentiation arrest.",Not_a_complex
1682217,s4,T28,T17,In stably transformed erythroblasts coexpressing the v-erbA oncoprotein and the c-erbA/,T3 receptor," at an approximately equimolar ratio, c-erbA activity is dominant over v-erbA. T3 efficiently induced erythroid differentiation in these cells, thus overcoming the ",v-erbA,-mediated differentiation arrest.,Not_a_complex
1682217,s5,T18,T19,"Likewise, T3 activated ",CAII, transcription as well as transient expression of a T3-responsive reporter gene containing the ,CAII,-specific erbA-binding site.,Not_a_complex
1682217,s6,T20,T21,The ,c-erbA,-dependent activation of this ,CAII, reporter construct could only be suppressed by very high amounts of v-erbA. Our results suggest that overexpression of v-erbA is required for its function as an oncoprotein.,Not_a_complex
1682217,s6,T20,T22,The ,c-erbA,-dependent activation of this CAII reporter construct could only be suppressed by very high amounts of ,v-erbA,. Our results suggest that overexpression of v-erbA is required for its function as an oncoprotein.,Not_a_complex
1682217,s6,T20,T23,The ,c-erbA,-dependent activation of this CAII reporter construct could only be suppressed by very high amounts of v-erbA. Our results suggest that overexpression of ,v-erbA, is required for its function as an oncoprotein.,Not_a_complex
1682217,s6,T21,T22,The c-erbA-dependent activation of this ,CAII, reporter construct could only be suppressed by very high amounts of ,v-erbA,. Our results suggest that overexpression of v-erbA is required for its function as an oncoprotein.,Not_a_complex
1682217,s6,T21,T23,The c-erbA-dependent activation of this ,CAII, reporter construct could only be suppressed by very high amounts of v-erbA. Our results suggest that overexpression of ,v-erbA, is required for its function as an oncoprotein.,Not_a_complex
1682217,s6,T22,T23,The c-erbA-dependent activation of this CAII reporter construct could only be suppressed by very high amounts of ,v-erbA,. Our results suggest that overexpression of ,v-erbA, is required for its function as an oncoprotein.,Not_a_complex
