7478534,s0,T1,T2,,ETS1, transactivates the human ,GM-CSF," promoter in Jurkat T cells stimulated with PMA and ionomycin. 
",Not_a_complex
7478534,s4,T23,T6,A number of the ,ETS," family of transcription factors are expressed in T cells, including ",ETS1, and ELF1.,Not_a_complex
7478534,s4,T6,T7,"A number of the ETS family of transcription factors are expressed in T cells, including ",ETS1, and ,ELF1,.,Not_a_complex
7478534,s4,T23,T7,A number of the ,ETS," family of transcription factors are expressed in T cells, including ETS1 and ",ELF1,.,Not_a_complex
7478534,s6,T10,T11,"Exogenous ETS1, but not ",ELF1,", can transactivate ",GM-CSF,", through the GM5 site, in a PMA/ionomycin dependent manner.",Not_a_complex
7478534,s6,T10,T21,"Exogenous ETS1, but not ",ELF1,", can transactivate GM-CSF, through the GM5 site, in a ",PMA,/ionomycin dependent manner.,Not_a_complex
7478534,s6,T10,T22,"Exogenous ETS1, but not ",ELF1,", can transactivate GM-CSF, through the GM5 site, in a PMA/",ionomycin, dependent manner.,Not_a_complex
7478534,s6,T11,T21,"Exogenous ETS1, but not ELF1, can transactivate ",GM-CSF,", through the GM5 site, in a ",PMA,/ionomycin dependent manner.,Not_a_complex
7478534,s6,T11,T22,"Exogenous ETS1, but not ELF1, can transactivate ",GM-CSF,", through the GM5 site, in a PMA/",ionomycin, dependent manner.,Not_a_complex
7478534,s6,T21,T22,"Exogenous ETS1, but not ELF1, can transactivate GM-CSF, through the GM5 site, in a ",PMA,/,ionomycin, dependent manner.,Not_a_complex
7478534,s6,T9,T10,Exogenous ,ETS1,", but not ",ELF1,", can transactivate GM-CSF, through the GM5 site, in a PMA/ionomycin dependent manner.",Not_a_complex
7478534,s6,T9,T11,Exogenous ,ETS1,", but not ELF1, can transactivate ",GM-CSF,", through the GM5 site, in a PMA/ionomycin dependent manner.",Not_a_complex
7478534,s6,T9,T21,Exogenous ,ETS1,", but not ELF1, can transactivate GM-CSF, through the GM5 site, in a ",PMA,/ionomycin dependent manner.,Not_a_complex
7478534,s6,T9,T22,Exogenous ,ETS1,", but not ELF1, can transactivate GM-CSF, through the GM5 site, in a PMA/",ionomycin, dependent manner.,Not_a_complex
7478534,s8,T24,T12,Mutation of the core ,ETS, binding site from -GGAA- to -GGAT- prevents the binding of ETS-like factors with the exception of ,ETS1,.,Not_a_complex
7478534,s8,T26,T12,Mutation of the core ETS binding site from -GGAA- to -GGAT- prevents the binding of ,ETS,-like factors with the exception of ,ETS1,.,Not_a_complex
7478534,s8,T24,T26,Mutation of the core ,ETS, binding site from -GGAA- to -GGAT- prevents the binding of ,ETS,-like factors with the exception of ETS1.,Not_a_complex
7478534,s9,T13,T14,The ,GM-CSF," promoter, modified in this way to be ",ETS1," specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin.",Not_a_complex
7478534,s9,T13,T15,The ,GM-CSF," promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ",ETS1, transactivation in the presence of PMA and ionomycin.,Not_a_complex
7478534,s9,T13,T27,The ,GM-CSF," promoter, modified in this way to be ETS1 specific, is fully responsive to ",PMA,"/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin.",Not_a_complex
7478534,s9,T13,T28,The ,GM-CSF," promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/",ionomycin," induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin.",Not_a_complex
7478534,s9,T13,T29,The ,GM-CSF," promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of ",PMA, and ionomycin.,Not_a_complex
7478534,s9,T13,T30,The ,GM-CSF," promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ",ionomycin,.,Not_a_complex
7478534,s9,T14,T15,"The GM-CSF promoter, modified in this way to be ",ETS1," specific, is fully responsive to PMA/ionomycin induction, in addition to ",ETS1, transactivation in the presence of PMA and ionomycin.,Not_a_complex
7478534,s9,T14,T27,"The GM-CSF promoter, modified in this way to be ",ETS1," specific, is fully responsive to ",PMA,"/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin.",Not_a_complex
7478534,s9,T14,T28,"The GM-CSF promoter, modified in this way to be ",ETS1," specific, is fully responsive to PMA/",ionomycin," induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin.",Not_a_complex
7478534,s9,T14,T29,"The GM-CSF promoter, modified in this way to be ",ETS1," specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of ",PMA, and ionomycin.,Not_a_complex
7478534,s9,T14,T30,"The GM-CSF promoter, modified in this way to be ",ETS1," specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ",ionomycin,.,Not_a_complex
7478534,s9,T27,T15,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to ",PMA,"/ionomycin induction, in addition to ",ETS1, transactivation in the presence of PMA and ionomycin.,Not_a_complex
7478534,s9,T28,T15,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/",ionomycin," induction, in addition to ",ETS1, transactivation in the presence of PMA and ionomycin.,Not_a_complex
7478534,s9,T15,T29,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ",ETS1, transactivation in the presence of ,PMA, and ionomycin.,Not_a_complex
7478534,s9,T15,T30,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ",ETS1, transactivation in the presence of PMA and ,ionomycin,.,Not_a_complex
7478534,s9,T27,T28,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to ",PMA,/,ionomycin," induction, in addition to ETS1 transactivation in the presence of PMA and ionomycin.",Not_a_complex
7478534,s9,T27,T29,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to ",PMA,"/ionomycin induction, in addition to ETS1 transactivation in the presence of ",PMA, and ionomycin.,Not_a_complex
7478534,s9,T27,T30,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to ",PMA,"/ionomycin induction, in addition to ETS1 transactivation in the presence of PMA and ",ionomycin,.,Not_a_complex
7478534,s9,T28,T29,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/",ionomycin," induction, in addition to ETS1 transactivation in the presence of ",PMA, and ionomycin.,Not_a_complex
7478534,s9,T28,T30,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/",ionomycin," induction, in addition to ETS1 transactivation in the presence of PMA and ",ionomycin,.,Not_a_complex
7478534,s9,T29,T30,"The GM-CSF promoter, modified in this way to be ETS1 specific, is fully responsive to PMA/ionomycin induction, in addition to ETS1 transactivation in the presence of ",PMA, and ,ionomycin,.,Not_a_complex
7478534,s10,T16,T17,Together these data suggest that ,ETS1, may be involved in mediating the increased ,GM-CSF, production associated with T cell activation.,Not_a_complex
