23372810_8,s0,T1,T2,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing ",Est3p, recruitment and ,telomerase," complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because Est1p stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s3,T13,T14,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the ",APC," in vitro, suggesting that ",Est1p," either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because Est1p stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s3,T13,T15,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the ",APC," in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence ",APC," recognition in vivo or is an indirect target of the APC. Because Est1p stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s3,T13,T16,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the ",APC," in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the ",APC,". Because Est1p stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s3,T14,T15,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that ",Est1p, either lacks the necessary structure or modification(s) that influence ,APC," recognition in vivo or is an indirect target of the APC. Because Est1p stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s3,T14,T16,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that ",Est1p, either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the ,APC,". Because Est1p stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s3,T15,T16,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence ",APC, recognition in vivo or is an indirect target of the ,APC,". Because Est1p stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s4,T3,T4,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because Est1p stimulates association of ",Est3p, with the ,telomerase," complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Complex_formation
23372810_8,s4,T17,T3,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because ",Est1p, stimulates association of ,Est3p," with the telomerase complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s4,T3,T5,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because Est1p stimulates association of ",Est3p," with the telomerase complex, these results shed light on the regulation of yeast ",telomerase," biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s4,T17,T4,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because ",Est1p, stimulates association of Est3p with the ,telomerase," complex, these results shed light on the regulation of yeast telomerase biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s4,T4,T5,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because Est1p stimulates association of Est3p with the ",telomerase," complex, these results shed light on the regulation of yeast ",telomerase," biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
23372810_8,s4,T17,T5,"Est1p undergoes cell cycle-regulated degradation during G1 phase, thereby preventing Est3p recruitment and telomerase complex assembly. Here we present evidence that Est1 protein levels oscillate during the cell cycle through an APC-dependent mechanism in vivo. Degradation requires three sequences in Est1p that match the D-box consensus, consistent with direct recognition of Est1p by the APC. However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC. Because ",Est1p," stimulates association of Est3p with the telomerase complex, these results shed light on the regulation of yeast ",telomerase," biogenesis and demonstrate an additional connection between telomere maintenance and cell cycle regulation pathways.
",Not_a_complex
