12567184,s0,T7,T8,Attenuation of a phosphorylation-dependent activator by an ,HDAC,-,PP1," complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Complex_formation
12567184,s2,T13,T14,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator ",histone acetylase, (,HAT,") paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T13,T15,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator ",histone acetylase, (HAT) paralogs ,CBP," and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T13,T16,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator ",histone acetylase, (HAT) paralogs CBP and ,P300,", which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T13,T21,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator ",histone acetylase," (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound ",histones," during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T14,T15,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (",HAT,) paralogs ,CBP," and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T14,T16,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (",HAT,) paralogs CBP and ,P300,", which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T14,T21,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (",HAT,") paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound ",histones," during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T15,T16,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs ",CBP, and ,P300,", which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T15,T21,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs ",CBP," and P300, which in turn stimulate acetylation of promoter-bound ",histones," during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s2,T16,T21,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and ",P300,", which in turn stimulate acetylation of promoter-bound ",histones," during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s3,T17,T18,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, ",histone deacetylase, (,HDAC,") inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s3,T17,T19,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, ",histone deacetylase," (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for ",HDAC," complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s3,T18,T19,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (",HDAC,") inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for ",HDAC," complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s3,T17,T2,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, ",histone deacetylase, (HDAC) inhibitors seem to potentiate ,CREB," activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s3,T18,T2,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (",HDAC,) inhibitors seem to potentiate ,CREB," activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
