21215368_2,s1,T12,T1,Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe ,JmjC, family protein ,Epe1," prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s3,T4,T6,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved ",Cul4,"-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes ",Epe1," and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s3,T5,T14,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-",Ddb1,,(Cdt)^2," ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s3,T5,T19,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-",Ddb1,(Cdt)^2 ,ubiquitin," ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s3,T5,T6,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-",Ddb1,"(Cdt)^2 ubiquitin ligase, which directly recognizes ",Epe1," and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s3,T14,T6,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1",(Cdt)^2," ubiquitin ligase, which directly recognizes ",Epe1," and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s3,T19,T6,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ",ubiquitin," ligase, which directly recognizes ",Epe1," and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s5,T9,T10,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the ",Cul4,-,Ddb1,"(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Complex_formation
21215368_2,s5,T10,T15,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-",Ddb1,,(Cdt)^2," complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s5,T8,T10,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. ",Epe1, is the sole target of the Cul4-,Ddb1,"(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s5,T8,T15,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. ",Epe1, is the sole target of the Cul4-Ddb1,(Cdt)^2," complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s5,T8,T9,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. ",Epe1, is the sole target of the ,Cul4,"-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s5,T9,T15,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the ",Cul4,-Ddb1,(Cdt)^2," complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s6,T16,T11,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of ",HP1,/Swi6 by CK2 to restrict ,Epe1,". We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s6,T17,T11,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/",Swi6, by CK2 to restrict ,Epe1,". We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s6,T18,T11,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of HP1/Swi6 by ",CK2, to restrict ,Epe1,". We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s6,T16,T17,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of ",HP1,/,Swi6," by CK2 to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
21215368_2,s6,T16,T18,"Partitioning of chromosomes into euchromatic and heterochromatic domains requires mechanisms that specify boundaries. The S. pombe JmjC family protein Epe1 prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries. Paradoxically, Epe1 is recruited to heterochromatin by HP1 silencing factors that are distributed throughout heterochromatin. We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation. Strikingly, in cells lacking the ligase, Epe1 persists in the body of heterochromatin thereby inducing a defect in gene silencing. Epe1 is the sole target of the Cul4-Ddb1(Cdt)^2 complex whose destruction is necessary for the preservation of heterochromatin. This mechanism acts parallel with phosphorylation of ",HP1,/Swi6 by ,CK2," to restrict Epe1. We conclude that the ubiquitin-dependent sculpting of the chromosomal distribution of an antisilencing factor is critical for heterochromatin boundaries to form correctly.
",Not_a_complex
