14973287,s0,T11,T1,,HtrA1, serine protease inhibits signaling mediated by ,Tgfbeta," family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including Bmp4, Gdf5, Tgfbetas and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T17,T5,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that ",HtrA1," binds to a broad range of Tgfbeta family proteins, including ",Bmp4,", Gdf5, Tgfbetas and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Complex_formation
14973287,s4,T17,T6,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that ",HtrA1," binds to a broad range of Tgfbeta family proteins, including Bmp4, ",Gdf5,", Tgfbetas and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Complex_formation
14973287,s4,T17,T18,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that ",HtrA1, binds to a broad range of ,Tgfbeta," family proteins, including Bmp4, Gdf5, Tgfbetas and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T18,T19,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of ",Tgfbeta," family proteins, including Bmp4, Gdf5, ",Tgfbetas," and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T18,T20,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of ",Tgfbeta," family proteins, including Bmp4, Gdf5, Tgfbetas and ",activin,". HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T19,T20,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including Bmp4, Gdf5, ",Tgfbetas, and ,activin,". HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T18,T5,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of ",Tgfbeta," family proteins, including ",Bmp4,", Gdf5, Tgfbetas and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T5,T19,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including ",Bmp4,", Gdf5, ",Tgfbetas," and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T5,T20,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including ",Bmp4,", Gdf5, Tgfbetas and ",activin,". HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T5,T6,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including ",Bmp4,", ",Gdf5,", Tgfbetas and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T18,T6,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of ",Tgfbeta," family proteins, including Bmp4, ",Gdf5,", Tgfbetas and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T6,T19,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including Bmp4, ",Gdf5,", ",Tgfbetas," and activin. HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s4,T6,T20,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including Bmp4, ",Gdf5,", Tgfbetas and ",activin,". HtrA1 inhibited signaling by Bmp4, Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s5,T21,T7,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including Bmp4, Gdf5, Tgfbetas and activin. ",HtrA1, inhibited signaling by ,Bmp4,", Bmp2, and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
14973287,s5,T7,T8,"HtrA1 serine protease inhibits signaling mediated by Tgfbeta family proteins. 
HtrA1, a member of the mammalian HtrA serine protease family, has a highly conserved protease domain followed by a PDZ domain. Because HtrA1 is a secretory protein and has another functional domain with homology to follistatin, we examined whether HtrA1 functions as an antagonist of Tgfbeta family proteins. During embryo development, mouse HtrA1 was expressed in specific areas where signaling by Tgfbeta family proteins plays important regulatory roles. The GST-pulldown assay showed that HtrA1 binds to a broad range of Tgfbeta family proteins, including Bmp4, Gdf5, Tgfbetas and activin. HtrA1 inhibited signaling by ",Bmp4,", ",Bmp2,", and Tgfbeta1 in C2C12 cells, presumably by preventing receptor activation. Experiments using a series of deletion mutants indicated that the binding activity of HtrA1 required the protease domain and a small linker region preceding it, and that inhibition of Tgfbeta signaling is dependent on the proteolytic activity of HtrA1. Misexpression of HtrA1 near the developing chick eye led to suppression of eye development that was indistinguishable from the effects of noggin. Taken together, these data indicate that HtrA1 protease is a novel inhibitor of Tgfbeta family members. 
",Not_a_complex
