15282304,s1,T1,T10,"A histone methyltransferase is required for maximal response to female sex hormones. 
",RIZ1, is an ,estrogen receptor (ER) coactivator," but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s3,T13,T6,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and ",p300,", suggesting that the coactivator function of ",RIZ1," may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T14,T15,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to ",estrogen target, genes became less direct and followed the binding of ,ER," to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T14,T16,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to ",estrogen target, genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on ,H3,"-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T14,T19,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to ",estrogen target," genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in ",estrogen," induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T15,T16,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ",ER, to DNA and RIZ1 methyltransferase activity on ,H3,"-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T15,T19,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ",ER," to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in ",estrogen," induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T16,T19,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on ",H3,"-Lys 9 was inhibited, indicating derepression may play a role in ",estrogen," induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T7,T14,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, ",RIZ1, binding to ,estrogen target," genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T7,T15,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, ",RIZ1, binding to estrogen target genes became less direct and followed the binding of ,ER," to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T7,T16,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, ",RIZ1, binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on ,H3,"-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T7,T19,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, ",RIZ1," binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in ",estrogen," induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T7,T8,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, ",RIZ1, binding to estrogen target genes became less direct and followed the binding of ER to DNA and ,RIZ1," methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T14,T8,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to ",estrogen target, genes became less direct and followed the binding of ER to DNA and ,RIZ1," methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T15,T8,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ",ER, to DNA and ,RIZ1," methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T8,T16,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and ",RIZ1, methyltransferase activity on ,H3,"-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s4,T8,T19,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and ",RIZ1," methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in ",estrogen," induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s5,T9,T17,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing ",RIZ1, level correlated with decreased induction of ,pS2," gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s6,T20,T18,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that ",estrogen,-bound ,ER," may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s6,T21,T18,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a ",histone methyltransferase, is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ,ER," may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s6,T21,T20,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a ",histone methyltransferase, is required for optimal estrogen response in female reproductive tissues and that ,estrogen,"-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
