11434923,s0,T17,T1,,Rat protein tyrosine phosphatase eta, physically interacts with the PDZ domains of ,syntenin,". 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Complex_formation
11434923,s3,T18,T8,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, ",proTGF-alpha,", beta-ephrins and ",neurofascin,". We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s4,T9,T10,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that ",r-PTPeta, is able to interact with ,syntenin," also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Complex_formation
11434923,s4,T10,T11,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with ",syntenin," also in mammalian cells, and although ",syntenin," is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s4,T10,T12,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with ",syntenin," also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of ",r-PTPeta,". The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s4,T11,T12,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although ",syntenin, is a tyrosine-phosphorylated protein it is not a substrate of ,r-PTPeta,". The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s4,T9,T11,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that ",r-PTPeta," is able to interact with syntenin also in mammalian cells, and although ",syntenin," is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s4,T9,T12,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that ",r-PTPeta," is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of ",r-PTPeta,". The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s5,T15,T16,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between ",syntenin, and ,r-PTPeta,". 
",Complex_formation
11434923,s5,T13,T14,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of ",syntenin, and the carboxy-terminal region of ,r-PTPeta," are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s5,T13,T15,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of ",syntenin, and the carboxy-terminal region of r-PTPeta are required for the interaction between ,syntenin," and r-PTPeta. 
",Not_a_complex
11434923,s5,T13,T16,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of ",syntenin, and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and ,r-PTPeta,". 
",Not_a_complex
11434923,s5,T14,T15,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of ",r-PTPeta, are required for the interaction between ,syntenin," and r-PTPeta. 
",Not_a_complex
11434923,s5,T14,T16,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of ",r-PTPeta, are required for the interaction between syntenin and ,r-PTPeta,". 
",Not_a_complex
