28769084_18,s0,T1,T2,Endocytosis of ,FGF1,-,FGFR1," complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Complex_formation
28769084_18,s1,T12,T13,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (",Pitstop2,) and dynamin (,Dynasore,"). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T3,T10,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as ,FGF1," for its delivery into the cellular interior, we employed specific inhibitors of ",clathrin," (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T3,T11,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as ,FGF1," for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and ",dynamin," (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T3,T12,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as ,FGF1," for its delivery into the cellular interior, we employed specific inhibitors of clathrin (",Pitstop2,") and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T3,T13,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as ,FGF1," for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (",Dynasore,"). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T9,T3,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether ,scFvD2,-Fc utilizes the same molecular machinery as ,FGF1," for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T9,T10,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether ,scFvD2,"-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of ",clathrin," (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T9,T11,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether ,scFvD2,"-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and ",dynamin," (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T9,T12,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether ,scFvD2,"-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (",Pitstop2,") and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s1,T9,T13,Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether ,scFvD2,"-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (",Dynasore,"). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s2,T14,T15,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of ",scFvD2,"-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of ",Pitstop2," and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s2,T14,T16,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of ",scFvD2,"-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and ",Dynasore," (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s2,T15,T16,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of ",Pitstop2, and ,Dynasore," (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s2,T14,T4,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of ",scFvD2,"-Fc, similarly to the internalization of ",FGF1,", was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s2,T4,T15,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of ",FGF1,", was partially blocked by the presence of ",Pitstop2," and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s2,T4,T16,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of ",FGF1,", was partially blocked by the presence of Pitstop2 and ",Dynasore," (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s3,T17,T18,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of ",scFvD2,"-Fc occurs without FGFR1 activation, it follows the same ",dynamin,"/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s3,T17,T19,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of ",scFvD2,"-Fc occurs without FGFR1 activation, it follows the same dynamin/",clathrin," dependent pathways as FGF1.
",Not_a_complex
28769084_18,s3,T18,T19,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same ",dynamin,/,clathrin," dependent pathways as FGF1.
",Not_a_complex
28769084_18,s3,T17,T5,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of ",scFvD2,-Fc occurs without ,FGFR1," activation, it follows the same dynamin/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s3,T5,T18,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without ",FGFR1," activation, it follows the same ",dynamin,"/clathrin dependent pathways as FGF1.
",Not_a_complex
28769084_18,s3,T5,T19,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without ",FGFR1," activation, it follows the same dynamin/",clathrin," dependent pathways as FGF1.
",Not_a_complex
28769084_18,s3,T5,T6,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without ",FGFR1," activation, it follows the same dynamin/clathrin dependent pathways as ",FGF1,".
",Not_a_complex
28769084_18,s3,T17,T6,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of ",scFvD2,"-Fc occurs without FGFR1 activation, it follows the same dynamin/clathrin dependent pathways as ",FGF1,".
",Not_a_complex
28769084_18,s3,T18,T6,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same ",dynamin,/clathrin dependent pathways as ,FGF1,".
",Not_a_complex
28769084_18,s3,T19,T6,"Endocytosis of FGF1-FGFR1 complexes is mediated by clathrin and dynamin. To study whether scFvD2-Fc utilizes the same molecular machinery as FGF1 for its delivery into the cellular interior, we employed specific inhibitors of clathrin (Pitstop2) and dynamin (Dynasore). We observed that the internalization of scFvD2-Fc, similarly to the internalization of FGF1, was partially blocked by the presence of Pitstop2 and Dynasore (Fig. 5). These data suggest that even though internalization of scFvD2-Fc occurs without FGFR1 activation, it follows the same dynamin/",clathrin, dependent pathways as ,FGF1,".
",Not_a_complex
