8183915,s0,T1,T2,Alternative splicing of RNA transcripts encoded by the murine ,p105 NF-kappa B, gene generates ,I kappa B gamma," isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s1,T29,T5,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor ",NF-kappa B, also encodes a ,p70 I kappa B," protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s1,T5,T30,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a ",p70 I kappa B," protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of ",p105,". Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s1,T5,T6,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a ",p70 I kappa B," protein, ",I kappa B gamma,", which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s1,T29,T6,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor ",NF-kappa B," also encodes a p70 I kappa B protein, ",I kappa B gamma,", which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s1,T6,T30,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, ",I kappa B gamma,", which is identical to the C-terminal 607 amino acids of ",p105,". Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s2,T7,T31,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates ",I kappa B gamma, isoforms with properties different from those of ,p70,". One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s3,T8,T9,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed ",I kappa B gamma-1,", which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the ",p105," gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s4,T10,T11,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, ",I kappa B gamma-2,", lacks the 190 C-terminal amino acids of ",p70I kappa B gamma,". In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s5,T12,T13,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to ",p70I kappa B gamma,", which is a cytoplasmic protein, ",I kappa B gamma-1," is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s5,T12,T14,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to ",p70I kappa B gamma,", which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas ",I kappa B gamma-2," is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s5,T13,T14,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, ",I kappa B gamma-1," is found in both the cytoplasm and nucleus, whereas ",I kappa B gamma-2," is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s6,T15,T28,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The ",I kappa B gamma, isoforms also display differences in specificity and affinity for ,Rel/NF-kappa B," proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Complex_formation
8183915,s7,T20,T22,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both ",I kappa B gamma-1, and I kappa B gamma-2 are specific for ,p50, and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ,Complex_formation
8183915,s7,T21,T22,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While p70I kappa B gamma inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and ",I kappa B gamma-2, are specific for ,p50, and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ,Complex_formation
8183915,s7,T16,T17,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While ",p70I kappa B gamma, inhibits ,p50,"-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s7,T16,T18,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While ",p70I kappa B gamma," inhibits p50-, ",p65,"-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s7,T16,T19,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While ",p70I kappa B gamma," inhibits p50-, p65-, and ",c-Rel,"-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ",Not_a_complex
8183915,s7,T16,T20,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While ",p70I kappa B gamma," inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both ",I kappa B gamma-1, and I kappa B gamma-2 are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ,Not_a_complex
8183915,s7,T16,T21,"Alternative splicing of RNA transcripts encoded by the murine p105 NF-kappa B gene generates I kappa B gamma isoforms with different inhibitory activities. 
The gene encoding the 105-kDa protein (p105) precursor of the p50 subunit of transcription factor NF-kappa B also encodes a p70 I kappa B protein, I kappa B gamma, which is identical to the C-terminal 607 amino acids of p105. Here we show that alternative RNA splicing generates I kappa B gamma isoforms with properties different from those of p70. One 63-kDa isoform, termed I kappa B gamma-1, which lacks 59 amino acids C-terminal to ankyrin repeat 7, has a novel 35-amino acid C terminus encoded by an alternative reading frame of the p105 gene. A 55-kDa isoform, I kappa B gamma-2, lacks the 190 C-terminal amino acids of p70I kappa B gamma. In contrast to p70I kappa B gamma, which is a cytoplasmic protein, I kappa B gamma-1 is found in both the cytoplasm and nucleus, whereas I kappa B gamma-2 is predominantly nuclear. The I kappa B gamma isoforms also display differences in specificity and affinity for Rel/NF-kappa B proteins. While ",p70I kappa B gamma," inhibits p50-, p65-, and c-Rel-mediated transactivation and/or DNA binding, both I kappa B gamma-1 and ",I kappa B gamma-2, are specific for p50 and have different affinities for this subunit. The absence in I kappa B gamma-1 and I kappa B gamma-2 of a protein kinase A site whose phosphorylation modulates p70I kappa B gamma inhibitory activity suggests that alternative RNA splicing may be used to generate I kappa B gamma isoforms that respond differently to intracellular signals. ,Not_a_complex
