18716324,s0,T1,T17,Sister chromatid cohesion role for ,CDC28,-,CDK," in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor CDC28 Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Complex_formation
18716324,s4,T21,T7,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (",CDK,"), suggesting one possible mechanism for regulating the essential function of ",Ctf7p,". Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor CDC28 Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s5,T8,T9,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ",ctf7, and ,cdc28,". However, neither elevated CDC28 levels nor CDC28 Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Complex_formation
18716324,s6,T10,T11,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated ",CDC28, levels nor ,CDC28," Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s6,T10,T12,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated ",CDC28, levels nor CDC28 ,Cak1p,"-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s6,T10,T13,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated ",CDC28, levels nor CDC28 Cak1p-bypass alleles rescue ,ctf7," cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s6,T11,T12,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor ",CDC28, ,Cak1p,"-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s6,T11,T13,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor ",CDC28, Cak1p-bypass alleles rescue ,ctf7," cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s6,T12,T13,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor CDC28 ",Cak1p,-bypass alleles rescue ,ctf7," cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s7,T14,T18,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor CDC28 Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing ",Ctf7p, mutated at all full- and partial-consensus ,CDK,"-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s8,T15,T16,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor CDC28 Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that ",Ctf7p, regulation is more complicated than previously envisioned and suggest that CDK acts in sister chromatid cohesion parallel to ,Ctf7p," reactions. 
",Not_a_complex
18716324,s8,T15,T19,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor CDC28 Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that ",Ctf7p, regulation is more complicated than previously envisioned and suggest that ,CDK," acts in sister chromatid cohesion parallel to Ctf7p reactions. 
",Not_a_complex
18716324,s8,T19,T16,"Sister chromatid cohesion role for CDC28-CDK in Saccharomyces cerevisiae. 
High-fidelity chromosome segregation requires that the sister chromatids produced during S phase also become paired during S phase. Ctf7p (Eco1p) is required to establish sister chromatid pairing specifically during DNA replication. However, Ctf7p also becomes active during G2/M in response to DNA damage. Ctf7p is a phosphoprotein and an in vitro target of Cdc28p cyclin-dependent kinase (CDK), suggesting one possible mechanism for regulating the essential function of Ctf7p. Here, we report a novel synthetic lethal interaction between ctf7 and cdc28. However, neither elevated CDC28 levels nor CDC28 Cak1p-bypass alleles rescue ctf7 cell phenotypes. Moreover, cells expressing Ctf7p mutated at all full- and partial-consensus CDK-phosphorylation sites exhibit robust cell growth. These and other results reveal that Ctf7p regulation is more complicated than previously envisioned and suggest that ",CDK, acts in sister chromatid cohesion parallel to ,Ctf7p," reactions. 
",Not_a_complex
