30037213,s0,T1,T2,A Novel Reciprocal Crosstalk between ,RNF168, and ,PARP1," to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s4,T11,T21,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that ",RNF168, ubiquitinated multiple lysine residues on PARP1 via K48-linked ,ubiquitin," chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s4,T12,T21,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on ",PARP1, via K48-linked ,ubiquitin," chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s5,T13,T14,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced ",PARP1, accumulation at damaged chromatin was significantly increased by knockdown of endogenous ,RNF168,". In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s6,T15,T16,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of ",RNF168, were restored by overexpression of WT ,RNF168," but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s6,T15,T9,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of ",RNF168, were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking ,E3 ligase," activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s6,T16,T9,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT ",RNF168, but not by reintroduction of mutants lacking ,E3 ligase," activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s7,T22,T17,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ",ubiquitin,-conjugation activities are indispensable for the ,RNF168,"-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s8,T18,T19,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that ",RNF168, acts as a counterpart of ,PARP1," in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of PARP1. 
",Not_a_complex
30037213,s8,T18,T20,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that ",RNF168, acts as a counterpart of PARP1 in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of ,PARP1,". 
",Not_a_complex
30037213,s8,T19,T20,"A Novel Reciprocal Crosstalk between RNF168 and PARP1 to Regulate DNA Repair Processes. 
Emerging evidence has suggested that cellular crosstalk between RNF168 and poly(ADP-ribose) polymerase 1 (PARP1) contributes to the precise control of the DNA damage response (DDR). However, the direct and reciprocal functional link between them remains unclear. In this report, we identified that RNF168 ubiquitinates PARP1 via direct interaction and accelerates PARP1 degradation in the presence of poly (ADP-ribose) (PAR) chains, metabolites of activated PARP1. Through mass spectrometric analysis, we revealed that RNF168 ubiquitinated multiple lysine residues on PARP1 via K48-linked ubiquitin chain formation. Consistent with this, micro-irradiation-induced PARP1 accumulation at damaged chromatin was significantly increased by knockdown of endogenous RNF168. In addition, it was confirmed that abnormal changes of HR and HNEJ due to knockdown of RNF168 were restored by overexpression of WT RNF168 but not by reintroduction of mutants lacking E3 ligase activity or PAR binding ability. The comet assay also revealed that both PAR-binding and ubiquitin-conjugation activities are indispensable for the RNF168-mediated DNA repair process. Taken together, our results suggest that RNF168 acts as a counterpart of ",PARP1, in DDR and regulates the HR/NHEJ repair processes through the ubiquitination of ,PARP1,". 
",Not_a_complex
