12167593,s0,T2,T14,Ubiquitin-protein ligase ,WWP2, binds to and downregulates the ,epithelial Na(+) channel,". 
",Complex_formation
12167593,s4,T5,T9,"Here, we test the hypothesis that ",WW domain-containing protein 2," (WWP2), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that ",WWP2," is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T6,T18,"Here, we test the hypothesis that WW domain-containing protein 2 (",WWP2,"), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ",ENaC,". Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T6,T19,"Here, we test the hypothesis that WW domain-containing protein 2 (",WWP2,"), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ",ENaC,", as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T6,T7,"Here, we test the hypothesis that WW domain-containing protein 2 (",WWP2,"), a member of the ",Nedd4," family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T6,T8,"Here, we test the hypothesis that WW domain-containing protein 2 (",WWP2,"), a member of the Nedd4 family of ",ubiquitin-protein ligases,", is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T6,T9,"Here, we test the hypothesis that WW domain-containing protein 2 (",WWP2,"), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that ",WWP2," is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T7,T18,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the ",Nedd4," family of ubiquitin-protein ligases, is a candidate to regulate ",ENaC,". Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T7,T19,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the ",Nedd4," family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ",ENaC,", as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T7,T8,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the ",Nedd4, family of ,ubiquitin-protein ligases,", is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T7,T9,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the ",Nedd4," family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that ",WWP2," is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T8,T18,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the Nedd4 family of ",ubiquitin-protein ligases,", is a candidate to regulate ",ENaC,". Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T8,T19,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the Nedd4 family of ",ubiquitin-protein ligases,", is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ",ENaC,", as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T8,T9,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the Nedd4 family of ",ubiquitin-protein ligases,", is a candidate to regulate ENaC. Consistent with this hypothesis, we found that ",WWP2," is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T18,T9,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ",ENaC,". Consistent with this hypothesis, we found that ",WWP2," is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T9,T19,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that ",WWP2, is expressed in epithelial tissues that express ,ENaC,", as well as in a wide variety of other tissues.",Not_a_complex
12167593,s5,T10,T20,,WWP2," contains four WW domains, three of which bound differentially to ",ENaC, subunits.,Complex_formation
12167593,s6,T11,T21,"In contrast, all four human ",Nedd4-2, WW domains bound to ,ENaC,". WWP2 inhibited ENaC when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ENaC PY motifs abolished inhibition.",Complex_formation
12167593,s6,T12,T22,"In contrast, all four human Nedd4-2 WW domains bound to ENaC. ",WWP2, inhibited ,ENaC," when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ENaC PY motifs abolished inhibition.",Complex_formation
12167593,s6,T11,T12,"In contrast, all four human ",Nedd4-2, WW domains bound to ENaC. ,WWP2," inhibited ENaC when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ENaC PY motifs abolished inhibition.",Not_a_complex
12167593,s6,T11,T22,"In contrast, all four human ",Nedd4-2, WW domains bound to ENaC. WWP2 inhibited ,ENaC," when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ENaC PY motifs abolished inhibition.",Not_a_complex
12167593,s6,T11,T23,"In contrast, all four human ",Nedd4-2," WW domains bound to ENaC. WWP2 inhibited ENaC when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ",ENaC, PY motifs abolished inhibition.,Not_a_complex
12167593,s6,T21,T12,"In contrast, all four human Nedd4-2 WW domains bound to ",ENaC,. ,WWP2," inhibited ENaC when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ENaC PY motifs abolished inhibition.",Not_a_complex
12167593,s6,T12,T23,"In contrast, all four human Nedd4-2 WW domains bound to ENaC. ",WWP2," inhibited ENaC when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ",ENaC, PY motifs abolished inhibition.,Not_a_complex
12167593,s6,T21,T22,"In contrast, all four human Nedd4-2 WW domains bound to ",ENaC,. WWP2 inhibited ,ENaC," when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ENaC PY motifs abolished inhibition.",Not_a_complex
12167593,s6,T21,T23,"In contrast, all four human Nedd4-2 WW domains bound to ",ENaC,". WWP2 inhibited ENaC when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ",ENaC, PY motifs abolished inhibition.,Not_a_complex
12167593,s6,T22,T23,"In contrast, all four human Nedd4-2 WW domains bound to ENaC. WWP2 inhibited ",ENaC," when coexpressed in epithelia, requiring a direct interaction between the proteins; mutation of the ",ENaC, PY motifs abolished inhibition.,Not_a_complex
12167593,s7,T13,T24,"Thus expression, binding, and functional data all suggest that ",WWP2, is a candidate to regulate ,ENaC,"-mediated Na(+) transport in epithelia. 
",Not_a_complex
12167593,s7,T13,T25,"Thus expression, binding, and functional data all suggest that ",WWP2, is a candidate to regulate ENaC-mediated ,Na(+)," transport in epithelia. 
",Not_a_complex
12167593,s7,T24,T25,"Thus expression, binding, and functional data all suggest that WWP2 is a candidate to regulate ",ENaC,-mediated ,Na(+)," transport in epithelia. 
",Not_a_complex
