21402695,s0,T1,T21,Pivotal role of the C2 domain of the ,Smurf1, ,ubiquitin ligase," in substrate selection. 
",Not_a_complex
21402695,s1,T19,T4,The C2-WW-HECT-type ubiquitin ligases Smurf1 and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of ,bone morphogenetic protein,", Wnt, and ",RhoA, signaling pathways.,Not_a_complex
21402695,s1,T20,T4,The C2-WW-HECT-type ,ubiquitin ligases," Smurf1 and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, Wnt, and ",RhoA, signaling pathways.,Not_a_complex
21402695,s5,T10,T11,The Smurf1 C2 domain exerts a key role in localization to the plasma membrane and endows Smurf1 with differential activity toward ,RhoA, versus ,Smad5, and Runx2.,Not_a_complex
21402695,s5,T10,T12,The Smurf1 C2 domain exerts a key role in localization to the plasma membrane and endows Smurf1 with differential activity toward ,RhoA, versus Smad5 and ,Runx2,.,Not_a_complex
21402695,s5,T11,T12,The Smurf1 C2 domain exerts a key role in localization to the plasma membrane and endows Smurf1 with differential activity toward RhoA versus ,Smad5, and ,Runx2,.,Not_a_complex
21402695,s5,T8,T10,The ,Smurf1, C2 domain exerts a key role in localization to the plasma membrane and endows Smurf1 with differential activity toward ,RhoA, versus Smad5 and Runx2.,Not_a_complex
21402695,s5,T8,T11,The ,Smurf1, C2 domain exerts a key role in localization to the plasma membrane and endows Smurf1 with differential activity toward RhoA versus ,Smad5, and Runx2.,Not_a_complex
21402695,s5,T8,T12,The ,Smurf1, C2 domain exerts a key role in localization to the plasma membrane and endows Smurf1 with differential activity toward RhoA versus Smad5 and ,Runx2,.,Not_a_complex
21402695,s5,T8,T9,The ,Smurf1, C2 domain exerts a key role in localization to the plasma membrane and endows ,Smurf1, with differential activity toward RhoA versus Smad5 and Runx2.,Not_a_complex
21402695,s5,T9,T10,The Smurf1 C2 domain exerts a key role in localization to the plasma membrane and endows ,Smurf1, with differential activity toward ,RhoA, versus Smad5 and Runx2.,Not_a_complex
21402695,s5,T9,T11,The Smurf1 C2 domain exerts a key role in localization to the plasma membrane and endows ,Smurf1, with differential activity toward RhoA versus ,Smad5, and Runx2.,Not_a_complex
21402695,s5,T9,T12,The Smurf1 C2 domain exerts a key role in localization to the plasma membrane and endows ,Smurf1, with differential activity toward RhoA versus Smad5 and ,Runx2,.,Not_a_complex
21402695,s7,T14,T15,"Examination of the sulfate-binding site analysis reveals two key lysine residues, Lys-28 and Lys-85, within the C2 domain that are important for ",Smurf1," localization at the plasma membrane, regulation on cell migration, and robust ligase activity toward ",RhoA,", which further supports a Ca(2+)-independent localization mechanism for Smurf1.",Not_a_complex
21402695,s7,T14,T16,"Examination of the sulfate-binding site analysis reveals two key lysine residues, Lys-28 and Lys-85, within the C2 domain that are important for ",Smurf1," localization at the plasma membrane, regulation on cell migration, and robust ligase activity toward RhoA, which further supports a Ca(2+)-independent localization mechanism for ",Smurf1,.,Not_a_complex
21402695,s7,T14,T22,"Examination of the sulfate-binding site analysis reveals two key lysine residues, Lys-28 and Lys-85, within the C2 domain that are important for ",Smurf1," localization at the plasma membrane, regulation on cell migration, and robust ligase activity toward RhoA, which further supports a ",Ca(2+),-independent localization mechanism for Smurf1.,Not_a_complex
21402695,s7,T15,T16,"Examination of the sulfate-binding site analysis reveals two key lysine residues, Lys-28 and Lys-85, within the C2 domain that are important for Smurf1 localization at the plasma membrane, regulation on cell migration, and robust ligase activity toward ",RhoA,", which further supports a Ca(2+)-independent localization mechanism for ",Smurf1,.,Not_a_complex
21402695,s7,T15,T22,"Examination of the sulfate-binding site analysis reveals two key lysine residues, Lys-28 and Lys-85, within the C2 domain that are important for Smurf1 localization at the plasma membrane, regulation on cell migration, and robust ligase activity toward ",RhoA,", which further supports a ",Ca(2+),-independent localization mechanism for Smurf1.,Not_a_complex
21402695,s7,T22,T16,"Examination of the sulfate-binding site analysis reveals two key lysine residues, Lys-28 and Lys-85, within the C2 domain that are important for Smurf1 localization at the plasma membrane, regulation on cell migration, and robust ligase activity toward RhoA, which further supports a ",Ca(2+),-independent localization mechanism for ,Smurf1,.,Not_a_complex
