8530401,s0,T18,T19,A physiological role for Saccharomyces cerevisiae ,copper/zinc superoxide dismutase, in ,copper," buffering. 
",Not_a_complex
8530401,s5,T12,T31,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress ,oxygen, toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T12,T32,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ,copper, sensitivity of these cells.,Not_a_complex
8530401,s5,T29,T13,The distinct roles of SOD1 in ,copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1, mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T30,T13,The distinct roles of SOD1 in copper and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1, mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T31,T13,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen, toxicity in ,sod1, mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T13,T32,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1, mutants failed to suppress the ,copper, sensitivity of these cells.,Not_a_complex
8530401,s5,T29,T30,The distinct roles of SOD1 in ,copper, and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T29,T31,The distinct roles of SOD1 in ,copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen, toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T29,T32,The distinct roles of SOD1 in ,copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper, sensitivity of these cells.,Not_a_complex
8530401,s5,T30,T31,The distinct roles of SOD1 in copper and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen, toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T30,T32,The distinct roles of SOD1 in copper and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper, sensitivity of these cells.,Not_a_complex
8530401,s5,T31,T32,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen, toxicity in sod1 mutants failed to suppress the ,copper, sensitivity of these cells.,Not_a_complex
8530401,s5,T9,T10,The distinct roles of ,SOD1, in copper and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T9,T11,The distinct roles of ,SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T9,T12,The distinct roles of ,SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T9,T13,The distinct roles of ,SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1, mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T9,T29,The distinct roles of ,SOD1, in ,copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T9,T30,The distinct roles of ,SOD1, in copper and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T9,T31,The distinct roles of ,SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen, toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T9,T32,The distinct roles of ,SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper, sensitivity of these cells.,Not_a_complex
8530401,s6,T14,T15,The Saccharomyces cerevisiae ,SOD1, gene is transcriptionally induced by copper and the ,ACE1," transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals.",Not_a_complex
8530401,s6,T14,T16,The Saccharomyces cerevisiae ,SOD1," gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of ",SOD1, promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals.,Not_a_complex
8530401,s6,T14,T17,The Saccharomyces cerevisiae ,SOD1," gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the ",SOD1,-protection against oxygen free radicals.,Not_a_complex
8530401,s6,T14,T33,The Saccharomyces cerevisiae ,SOD1," gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against ",oxygen, free radicals.,Not_a_complex
8530401,s6,T14,T37,The Saccharomyces cerevisiae ,SOD1, gene is transcriptionally induced by ,copper," and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals.",Not_a_complex
8530401,s6,T15,T16,The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ,ACE1," transactivator, and we demonstrate here that this induction of ",SOD1, promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals.,Not_a_complex
8530401,s6,T15,T17,The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ,ACE1," transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the ",SOD1,-protection against oxygen free radicals.,Not_a_complex
8530401,s6,T15,T33,The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ,ACE1," transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against ",oxygen, free radicals.,Not_a_complex
8530401,s6,T37,T15,The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by ,copper, and the ,ACE1," transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals.",Not_a_complex
8530401,s6,T16,T17,"The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of ",SOD1, promotes protection against copper toxicity but is not needed for the ,SOD1,-protection against oxygen free radicals.,Not_a_complex
8530401,s6,T16,T33,"The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of ",SOD1, promotes protection against copper toxicity but is not needed for the SOD1-protection against ,oxygen, free radicals.,Not_a_complex
8530401,s6,T37,T16,The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by ,copper," and the ACE1 transactivator, and we demonstrate here that this induction of ",SOD1, promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals.,Not_a_complex
8530401,s6,T17,T33,"The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the ",SOD1,-protection against ,oxygen, free radicals.,Not_a_complex
8530401,s6,T37,T17,The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by ,copper," and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the ",SOD1,-protection against oxygen free radicals.,Not_a_complex
8530401,s6,T37,T33,The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by ,copper," and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against ",oxygen, free radicals.,Not_a_complex
8530401,s7,T34,T35,"Collectively, these findings indicate that ",copper,/,zinc," SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s7,T34,T36,"Collectively, these findings indicate that ",copper,/zinc ,SOD," functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s7,T35,T36,"Collectively, these findings indicate that copper/",zinc, ,SOD," functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
