22155231,s0,T18,T1,The Brucella TIR-like protein ,TcpB, interacts with the death domain of ,MyD88,". 
",Complex_formation
22155231,s3,T2,T5,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of ",MyD88,", and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T2,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T23,T24,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB," interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T23,T25,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB, interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ,TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T23,T26,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB," interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T23,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB," interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T25,T24,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB," with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T24,T26,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T24,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T25,T26,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T25,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T26,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T23,T3,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB, interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ,TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T3,T26,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ",TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T3,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ",TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T3,T4,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ",TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T3,T5,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ",TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of ",MyD88,", and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T3,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ",TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T23,T4,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB," interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T24,T4,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T25,T4,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T4,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T4,T5,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88, interaction depends on the death domain (DD) of ,MyD88,", and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T4,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T23,T5,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB," interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of ",MyD88,", and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T24,T5,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of ",MyD88,", and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T25,T5,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of ",MyD88,", and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T26,T5,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,-MyD88 interaction depends on the death domain (DD) of ,MyD88,", and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T5,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of ",MyD88,", and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T5,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of ",MyD88,", and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T23,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB," interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T24,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T25,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T26,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of ",MyD88,.,Not_a_complex
22155231,s3,T27,T6,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of ,MyD88,.,Not_a_complex
22155231,s4,T11,T12,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and ",MyD88,(DD)-,MyD88, interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Complex_formation
22155231,s4,T13,T14,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not ",MyD88,-,MyD88, or MyD88(TIR)-MyD88(TIR) interactions.,Complex_formation
22155231,s4,T15,T16,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or ",MyD88,(TIR)-,MyD88,(TIR) interactions.,Complex_formation
22155231,s4,T7,T8,TcpB disrupts ,MyD88,(DD)-,MyD88,"(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.",Complex_formation
22155231,s4,T9,T10,"TcpB disrupts MyD88(DD)-MyD88(DD), ",MyD88,(DD)-,MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Complex_formation
22155231,s4,T10,T11,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and ,MyD88,(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T10,T12,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-,MyD88, interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T10,T13,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not ,MyD88,-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T10,T14,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-,MyD88, or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T10,T15,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or ,MyD88,(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T10,T16,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-,MyD88,(TIR) interactions.,Not_a_complex
22155231,s4,T28,T10,,TcpB," disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T11,T13,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and ",MyD88,(DD)-MyD88 interactions but not ,MyD88,-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T11,T14,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and ",MyD88,(DD)-MyD88 interactions but not MyD88-,MyD88, or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T11,T15,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and ",MyD88,(DD)-MyD88 interactions but not MyD88-MyD88 or ,MyD88,(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T11,T16,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and ",MyD88,(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-,MyD88,(TIR) interactions.,Not_a_complex
22155231,s4,T28,T11,,TcpB," disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and ",MyD88,(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T12,T13,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-",MyD88, interactions but not ,MyD88,-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T12,T14,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-",MyD88, interactions but not MyD88-,MyD88, or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T12,T15,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-",MyD88, interactions but not MyD88-MyD88 or ,MyD88,(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T12,T16,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-",MyD88, interactions but not MyD88-MyD88 or MyD88(TIR)-,MyD88,(TIR) interactions.,Not_a_complex
22155231,s4,T28,T12,,TcpB," disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-",MyD88, interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T13,T15,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not ",MyD88,-MyD88 or ,MyD88,(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T13,T16,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not ",MyD88,-MyD88 or MyD88(TIR)-,MyD88,(TIR) interactions.,Not_a_complex
22155231,s4,T28,T13,,TcpB," disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not ",MyD88,-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T14,T15,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-",MyD88, or ,MyD88,(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T14,T16,"TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-",MyD88, or MyD88(TIR)-,MyD88,(TIR) interactions.,Not_a_complex
22155231,s4,T28,T14,,TcpB," disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-",MyD88, or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T28,T15,,TcpB," disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or ",MyD88,(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T28,T16,,TcpB," disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-",MyD88,(TIR) interactions.,Not_a_complex
22155231,s4,T7,T10,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T7,T11,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and ",MyD88,(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T7,T12,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-",MyD88, interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T7,T13,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not ",MyD88,-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T7,T14,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-",MyD88, or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T7,T15,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or ",MyD88,(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T7,T16,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-",MyD88,(TIR) interactions.,Not_a_complex
22155231,s4,T28,T7,,TcpB, disrupts ,MyD88,"(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.",Not_a_complex
22155231,s4,T7,T9,TcpB disrupts ,MyD88,"(DD)-MyD88(DD), ",MyD88,(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
22155231,s4,T8,T10,TcpB disrupts MyD88(DD)-,MyD88,"(DD), MyD88(DD)-",MyD88,(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions.,Not_a_complex
