11337495,s0,T7,T37,Tyrosine phosphorylation of ,p85, relieves its inhibitory activity on ,phosphatidylinositol 3-kinase,". 
",Not_a_complex
11337495,s3,T38,T15,Src family kinases phosphorylate tyrosine 688 in ,p85,", a process that we have shown to be reversed by the activity of the ",p85,-associated SH2 domain-containing phosphatase SHP1.,Not_a_complex
11337495,s3,T38,T16,Src family kinases phosphorylate tyrosine 688 in ,p85,", a process that we have shown to be reversed by the activity of the p85-associated SH2 domain-containing phosphatase ",SHP1,.,Not_a_complex
11337495,s4,T17,T1,We demonstrate that phosphorylation of the downstream ,PI3K, target ,Akt," is increased in cells lacking SHP1, implicating phosphorylation of p85 in the regulation of PI3K activity.",Not_a_complex
11337495,s4,T1,T18,We demonstrate that phosphorylation of the downstream PI3K target ,Akt, is increased in cells lacking ,SHP1,", implicating phosphorylation of p85 in the regulation of PI3K activity.",Not_a_complex
11337495,s4,T1,T19,We demonstrate that phosphorylation of the downstream PI3K target ,Akt," is increased in cells lacking SHP1, implicating phosphorylation of ",p85, in the regulation of PI3K activity.,Not_a_complex
11337495,s4,T1,T20,We demonstrate that phosphorylation of the downstream PI3K target ,Akt," is increased in cells lacking SHP1, implicating phosphorylation of p85 in the regulation of ",PI3K, activity.,Not_a_complex
11337495,s4,T17,T18,We demonstrate that phosphorylation of the downstream ,PI3K, target Akt is increased in cells lacking ,SHP1,", implicating phosphorylation of p85 in the regulation of PI3K activity.",Not_a_complex
11337495,s4,T17,T19,We demonstrate that phosphorylation of the downstream ,PI3K," target Akt is increased in cells lacking SHP1, implicating phosphorylation of ",p85, in the regulation of PI3K activity.,Not_a_complex
11337495,s4,T17,T20,We demonstrate that phosphorylation of the downstream ,PI3K," target Akt is increased in cells lacking SHP1, implicating phosphorylation of p85 in the regulation of ",PI3K, activity.,Not_a_complex
11337495,s4,T18,T19,We demonstrate that phosphorylation of the downstream PI3K target Akt is increased in cells lacking ,SHP1,", implicating phosphorylation of ",p85, in the regulation of PI3K activity.,Not_a_complex
11337495,s4,T18,T20,We demonstrate that phosphorylation of the downstream PI3K target Akt is increased in cells lacking ,SHP1,", implicating phosphorylation of p85 in the regulation of ",PI3K, activity.,Not_a_complex
11337495,s4,T19,T20,"We demonstrate that phosphorylation of the downstream PI3K target Akt is increased in cells lacking SHP1, implicating phosphorylation of ",p85, in the regulation of ,PI3K, activity.,Not_a_complex
11337495,s5,T21,T22,"Furthermore, the in vitro specific activity of ",PI3K, associated with tyrosine- phosphorylated ,p85, is higher than that associated with nonphosphorylated p85.,Not_a_complex
11337495,s5,T21,T23,"Furthermore, the in vitro specific activity of ",PI3K, associated with tyrosine- phosphorylated p85 is higher than that associated with nonphosphorylated ,p85,.,Not_a_complex
11337495,s5,T22,T23,"Furthermore, the in vitro specific activity of PI3K associated with tyrosine- phosphorylated ",p85, is higher than that associated with nonphosphorylated ,p85,.,Not_a_complex
11337495,s6,T24,T2,Expression of wild-type ,p85, inhibits PI3K enzyme activity as indicated by PI3K- dependent ,Akt, phosphorylation.,Not_a_complex
11337495,s6,T25,T2,Expression of wild-type p85 inhibits ,PI3K, enzyme activity as indicated by PI3K- dependent ,Akt, phosphorylation.,Not_a_complex
11337495,s6,T26,T2,Expression of wild-type p85 inhibits PI3K enzyme activity as indicated by ,PI3K,- dependent ,Akt, phosphorylation.,Not_a_complex
11337495,s6,T24,T25,Expression of wild-type ,p85, inhibits ,PI3K, enzyme activity as indicated by PI3K- dependent Akt phosphorylation.,Not_a_complex
11337495,s6,T24,T26,Expression of wild-type ,p85, inhibits PI3K enzyme activity as indicated by ,PI3K,- dependent Akt phosphorylation.,Not_a_complex
11337495,s6,T25,T26,Expression of wild-type p85 inhibits ,PI3K, enzyme activity as indicated by ,PI3K,- dependent Akt phosphorylation.,Not_a_complex
11337495,s7,T27,T28,The inhibitory activity of ,p85," is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of ",p85," on cell viability and activation of the downstream targets Akt and NFkappaB, indicative of the physiological relevance of p85 phosphorylation.",Not_a_complex
11337495,s7,T27,T29,The inhibitory activity of ,p85," is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of p85 on cell viability and activation of the downstream targets Akt and ",NFkappaB,", indicative of the physiological relevance of p85 phosphorylation.",Not_a_complex
11337495,s7,T27,T30,The inhibitory activity of ,p85," is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of p85 on cell viability and activation of the downstream targets Akt and NFkappaB, indicative of the physiological relevance of ",p85, phosphorylation.,Not_a_complex
11337495,s7,T28,T29,"The inhibitory activity of p85 is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of ",p85, on cell viability and activation of the downstream targets Akt and ,NFkappaB,", indicative of the physiological relevance of p85 phosphorylation.",Not_a_complex
11337495,s7,T28,T30,"The inhibitory activity of p85 is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of ",p85," on cell viability and activation of the downstream targets Akt and NFkappaB, indicative of the physiological relevance of ",p85, phosphorylation.,Not_a_complex
11337495,s7,T29,T30,"The inhibitory activity of p85 is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of p85 on cell viability and activation of the downstream targets Akt and ",NFkappaB,", indicative of the physiological relevance of ",p85, phosphorylation.,Not_a_complex
11337495,s7,T27,T3,The inhibitory activity of ,p85," is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of p85 on cell viability and activation of the downstream targets ",Akt," and NFkappaB, indicative of the physiological relevance of p85 phosphorylation.",Not_a_complex
11337495,s7,T28,T3,"The inhibitory activity of p85 is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of ",p85, on cell viability and activation of the downstream targets ,Akt," and NFkappaB, indicative of the physiological relevance of p85 phosphorylation.",Not_a_complex
11337495,s7,T3,T29,"The inhibitory activity of p85 is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of p85 on cell viability and activation of the downstream targets ",Akt, and ,NFkappaB,", indicative of the physiological relevance of p85 phosphorylation.",Not_a_complex
11337495,s7,T3,T30,"The inhibitory activity of p85 is accentuated by mutation of tyrosine 688 to alanine and reversed by mutation of tyrosine 688 to aspartic acid, changes that block and mimic tyrosine phosphorylation, respectively Strikingly, mutation of tyrosine 688 to aspartic acid completely reverses the inhibitory activity of p85 on cell viability and activation of the downstream targets ",Akt," and NFkappaB, indicative of the physiological relevance of ",p85, phosphorylation.,Not_a_complex
11337495,s9,T32,T33,Thus an intramolecular interaction between phosphorylated Tyr(688) and the NH(2)-terminal SH2 domain of p85 can relieve the inhibitory activity of ,p85, on ,p110,.,Not_a_complex
11337495,s9,T34,T32,Thus an intramolecular interaction between phosphorylated Tyr(688) and the NH(2)-terminal SH2 domain of ,p85, can relieve the inhibitory activity of ,p85, on p110.,Not_a_complex
11337495,s9,T34,T33,Thus an intramolecular interaction between phosphorylated Tyr(688) and the NH(2)-terminal SH2 domain of ,p85, can relieve the inhibitory activity of p85 on ,p110,.,Not_a_complex
11337495,s10,T36,T35,"Taken together, the data indicate that phosphorylation of Tyr(688) in ",p85, leads to a novel mechanism of ,PI3K," regulation. 
",Not_a_complex
