1372388,s0,T1,T2,A lymphoid cell-specific nuclear factor containing ,c-Rel,-like proteins preferentially interacts with ,interleukin-6," kappa B-related motifs whose activities are repressed in lymphoid cells. 
",Not_a_complex
1372388,s1,T23,T24,The proto-oncoprotein c-Rel is a member of the ,nuclear factor kappa B transcription factor," family, which includes the p50 and p65 subunits of ",nuclear factor kappa B,. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T23,T26,The proto-oncoprotein c-Rel is a member of the ,nuclear factor kappa B transcription factor," family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to ",kappa B, sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T24,T26,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of ",nuclear factor kappa B,. We show here that c-Rel binds to ,kappa B, sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T3,T20,The proto-oncoprotein ,c-Rel," is a member of the nuclear factor kappa B transcription factor family, which includes the ",p50, and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T3,T21,The proto-oncoprotein ,c-Rel," is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and ",p65, subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T3,T23,The proto-oncoprotein ,c-Rel, is a member of the ,nuclear factor kappa B transcription factor," family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.",Not_a_complex
1372388,s1,T3,T24,The proto-oncoprotein ,c-Rel," is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of ",nuclear factor kappa B,. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T3,T26,The proto-oncoprotein ,c-Rel," is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to ",kappa B, sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T3,T4,The proto-oncoprotein ,c-Rel," is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that ",c-Rel, binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T3,T5,The proto-oncoprotein ,c-Rel," is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with ",p50,.,Not_a_complex
1372388,s1,T20,T4,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the ",p50, and p65 subunits of nuclear factor kappa B. We show here that ,c-Rel, binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T21,T4,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and ",p65, subunits of nuclear factor kappa B. We show here that ,c-Rel, binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T23,T4,The proto-oncoprotein c-Rel is a member of the ,nuclear factor kappa B transcription factor," family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that ",c-Rel, binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T24,T4,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of ",nuclear factor kappa B,. We show here that ,c-Rel, binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T4,T26,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that ",c-Rel, binds to ,kappa B, sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T20,T5,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the ",p50, and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with ,p50,.,Not_a_complex
1372388,s1,T21,T5,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and ",p65, subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with ,p50,.,Not_a_complex
1372388,s1,T23,T5,The proto-oncoprotein c-Rel is a member of the ,nuclear factor kappa B transcription factor," family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with ",p50,.,Not_a_complex
1372388,s1,T24,T5,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of ",nuclear factor kappa B,. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with ,p50,.,Not_a_complex
1372388,s1,T26,T5,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to ",kappa B, sites as homodimers as well as heterodimers with ,p50,.,Not_a_complex
1372388,s3,T6,T7,"In particular, the ",c-Rel, homodimer has a high affinity for ,interleukin-6, (IL-6) and beta interferon kappa B sites.,Complex_formation
1372388,s3,T6,T8,"In particular, the ",c-Rel, homodimer has a high affinity for interleukin-6 (,IL-6,) and beta interferon kappa B sites.,Complex_formation
1372388,s3,T6,T9,"In particular, the ",c-Rel, homodimer has a high affinity for interleukin-6 (IL-6) and ,beta interferon, kappa B sites.,Complex_formation
1372388,s3,T6,T28,"In particular, the ",c-Rel, homodimer has a high affinity for interleukin-6 (IL-6) and beta interferon ,kappa B, sites.,Not_a_complex
1372388,s3,T7,T28,"In particular, the c-Rel homodimer has a high affinity for ",interleukin-6, (IL-6) and beta interferon ,kappa B, sites.,Not_a_complex
1372388,s3,T7,T8,"In particular, the c-Rel homodimer has a high affinity for ",interleukin-6, (,IL-6,) and beta interferon kappa B sites.,Not_a_complex
1372388,s3,T7,T9,"In particular, the c-Rel homodimer has a high affinity for ",interleukin-6, (IL-6) and ,beta interferon, kappa B sites.,Not_a_complex
1372388,s3,T8,T28,"In particular, the c-Rel homodimer has a high affinity for interleukin-6 (",IL-6,) and beta interferon ,kappa B, sites.,Not_a_complex
1372388,s3,T8,T9,"In particular, the c-Rel homodimer has a high affinity for interleukin-6 (",IL-6,) and ,beta interferon, kappa B sites.,Not_a_complex
1372388,s3,T9,T28,"In particular, the c-Rel homodimer has a high affinity for interleukin-6 (IL-6) and ",beta interferon, ,kappa B, sites.,Not_a_complex
1372388,s4,T10,T11,In spite of its association with ,p50," in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains ",c-Rel," but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.",Not_a_complex
1372388,s4,T10,T12,In spite of its association with ,p50," in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not ",p50," epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.",Not_a_complex
1372388,s4,T10,T13,In spite of its association with ,p50," in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed I",L-6 kappa B binding factor II,", appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.",Not_a_complex
1372388,s4,T10,T14,In spite of its association with ,p50," in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the ",c-Rel, homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T10,T15,In spite of its association with ,p50," in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several ",IL-6, kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T10,T29,In spite of its association with ,p50," in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 ",kappa B,-related kappa B motifs.,Not_a_complex
1372388,s4,T10,T30,In spite of its association with ,p50," in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related ",kappa B, motifs.,Not_a_complex
1372388,s4,T11,T12,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains ",c-Rel, but not ,p50," epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.",Not_a_complex
1372388,s4,T11,T13,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains ",c-Rel," but not p50 epitopes; this factor, termed I",L-6 kappa B binding factor II,", appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.",Not_a_complex
1372388,s4,T11,T14,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains ",c-Rel," but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the ",c-Rel, homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T11,T15,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains ",c-Rel," but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several ",IL-6, kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T11,T29,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains ",c-Rel," but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 ",kappa B,-related kappa B motifs.,Not_a_complex
1372388,s4,T11,T30,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains ",c-Rel," but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related ",kappa B, motifs.,Not_a_complex
1372388,s4,T12,T13,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not ",p50," epitopes; this factor, termed I",L-6 kappa B binding factor II,", appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.",Not_a_complex
1372388,s4,T12,T14,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not ",p50," epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the ",c-Rel, homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T12,T15,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not ",p50," epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several ",IL-6, kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T12,T29,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not ",p50," epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 ",kappa B,-related kappa B motifs.,Not_a_complex
1372388,s4,T12,T30,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not ",p50," epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related ",kappa B, motifs.,Not_a_complex
1372388,s4,T13,T14,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed I",L-6 kappa B binding factor II,", appears to contain the ",c-Rel, homodimer and preferentially recognizes several IL-6 kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T13,T15,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed I",L-6 kappa B binding factor II,", appears to contain the c-Rel homodimer and preferentially recognizes several ",IL-6, kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T13,T29,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed I",L-6 kappa B binding factor II,", appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 ",kappa B,-related kappa B motifs.,Not_a_complex
1372388,s4,T13,T30,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed I",L-6 kappa B binding factor II,", appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 kappa B-related ",kappa B, motifs.,Not_a_complex
1372388,s4,T14,T15,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the ",c-Rel, homodimer and preferentially recognizes several ,IL-6, kappa B-related kappa B motifs.,Not_a_complex
1372388,s4,T14,T29,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the ",c-Rel, homodimer and preferentially recognizes several IL-6 ,kappa B,-related kappa B motifs.,Not_a_complex
1372388,s4,T14,T30,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the ",c-Rel, homodimer and preferentially recognizes several IL-6 kappa B-related ,kappa B, motifs.,Not_a_complex
1372388,s4,T15,T29,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several ",IL-6, ,kappa B,-related kappa B motifs.,Not_a_complex
1372388,s4,T15,T30,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several ",IL-6, kappa B-related ,kappa B, motifs.,Not_a_complex
1372388,s4,T29,T30,"In spite of its association with p50 in vitro, however, we found a lymphoid cell-specific nuclear factor in vivo that contains c-Rel but not p50 epitopes; this factor, termed IL-6 kappa B binding factor II, appears to contain the c-Rel homodimer and preferentially recognizes several IL-6 ",kappa B,-related ,kappa B, motifs.,Not_a_complex
1372388,s5,T16,T17,Although it has been previously shown that the ,IL-6, kappa B motif functions as a potent IL-1/,tumor necrosis factor,"-responsive element in nonlymphoid cells, its activity was found to be repressed in lymphoid cells such as a Jurkat T-cell line.",Not_a_complex
1372388,s5,T16,T22,Although it has been previously shown that the ,IL-6, kappa B motif functions as a potent ,IL-1,"/tumor necrosis factor-responsive element in nonlymphoid cells, its activity was found to be repressed in lymphoid cells such as a Jurkat T-cell line.",Not_a_complex
1372388,s5,T16,T31,Although it has been previously shown that the ,IL-6, ,kappa B," motif functions as a potent IL-1/tumor necrosis factor-responsive element in nonlymphoid cells, its activity was found to be repressed in lymphoid cells such as a Jurkat T-cell line.",Not_a_complex
1372388,s5,T22,T17,Although it has been previously shown that the IL-6 kappa B motif functions as a potent ,IL-1,/,tumor necrosis factor,"-responsive element in nonlymphoid cells, its activity was found to be repressed in lymphoid cells such as a Jurkat T-cell line.",Not_a_complex
1372388,s5,T31,T17,Although it has been previously shown that the IL-6 ,kappa B, motif functions as a potent IL-1/,tumor necrosis factor,"-responsive element in nonlymphoid cells, its activity was found to be repressed in lymphoid cells such as a Jurkat T-cell line.",Not_a_complex
1372388,s5,T31,T22,Although it has been previously shown that the IL-6 ,kappa B, motif functions as a potent ,IL-1,"/tumor necrosis factor-responsive element in nonlymphoid cells, its activity was found to be repressed in lymphoid cells such as a Jurkat T-cell line.",Not_a_complex
1372388,s6,T18,T19,We also present evidence that ,IL-6 kappa B binding factor II, functions as a repressor specific for ,IL-6, kappa B-related kappa B motifs in lymphoid cells.,Not_a_complex
1372388,s6,T18,T32,We also present evidence that ,IL-6 kappa B binding factor II, functions as a repressor specific for IL-6 ,kappa B,-related kappa B motifs in lymphoid cells.,Not_a_complex
1372388,s6,T18,T33,We also present evidence that ,IL-6 kappa B binding factor II, functions as a repressor specific for IL-6 kappa B-related ,kappa B, motifs in lymphoid cells.,Not_a_complex
1372388,s6,T19,T32,We also present evidence that IL-6 kappa B binding factor II functions as a repressor specific for ,IL-6, ,kappa B,-related kappa B motifs in lymphoid cells.,Not_a_complex
1372388,s6,T19,T33,We also present evidence that IL-6 kappa B binding factor II functions as a repressor specific for ,IL-6, kappa B-related ,kappa B, motifs in lymphoid cells.,Not_a_complex
1372388,s6,T32,T33,We also present evidence that IL-6 kappa B binding factor II functions as a repressor specific for IL-6 ,kappa B,-related ,kappa B, motifs in lymphoid cells.,Not_a_complex
