20457806,s0,T1,T18,,Mds3, regulates morphogenesis in Candida albicans through the ,TOR," pathway. 
",Not_a_complex
20457806,s7,T11,T12,The ,sit4, Delta/Delta and ,mds3," Delta/Delta mutants had additional phenotypic similarities, suggesting that Sit4 and Mds3 function similarly in the TOR pathway.",Not_a_complex
20457806,s7,T11,T13,The ,sit4," Delta/Delta and mds3 Delta/Delta mutants had additional phenotypic similarities, suggesting that ",Sit4, and Mds3 function similarly in the TOR pathway.,Not_a_complex
20457806,s7,T11,T14,The ,sit4," Delta/Delta and mds3 Delta/Delta mutants had additional phenotypic similarities, suggesting that Sit4 and ",Mds3, function similarly in the TOR pathway.,Not_a_complex
20457806,s7,T11,T22,The ,sit4," Delta/Delta and mds3 Delta/Delta mutants had additional phenotypic similarities, suggesting that Sit4 and Mds3 function similarly in the ",TOR, pathway.,Not_a_complex
20457806,s7,T12,T13,The sit4 Delta/Delta and ,mds3," Delta/Delta mutants had additional phenotypic similarities, suggesting that ",Sit4, and Mds3 function similarly in the TOR pathway.,Not_a_complex
20457806,s7,T12,T14,The sit4 Delta/Delta and ,mds3," Delta/Delta mutants had additional phenotypic similarities, suggesting that Sit4 and ",Mds3, function similarly in the TOR pathway.,Not_a_complex
20457806,s7,T12,T22,The sit4 Delta/Delta and ,mds3," Delta/Delta mutants had additional phenotypic similarities, suggesting that Sit4 and Mds3 function similarly in the ",TOR, pathway.,Not_a_complex
20457806,s7,T13,T14,"The sit4 Delta/Delta and mds3 Delta/Delta mutants had additional phenotypic similarities, suggesting that ",Sit4, and ,Mds3, function similarly in the TOR pathway.,Not_a_complex
20457806,s7,T13,T22,"The sit4 Delta/Delta and mds3 Delta/Delta mutants had additional phenotypic similarities, suggesting that ",Sit4, and Mds3 function similarly in the ,TOR, pathway.,Not_a_complex
20457806,s7,T14,T22,"The sit4 Delta/Delta and mds3 Delta/Delta mutants had additional phenotypic similarities, suggesting that Sit4 and ",Mds3, function similarly in the ,TOR, pathway.,Not_a_complex
20457806,s8,T15,T16,"Finally, we found that ",Mds3, and ,Sit4, coimmunoprecipitate.,Complex_formation
20457806,s9,T17,T23,"Thus, ",Mds3, is a new member of the ,TOR," pathway that contributes to morphogenesis in C. albicans as a regulator of this key morphogenetic pathway. 
",Not_a_complex
