17827148,s0,T1,T24,The DNA damage response mediator ,MDC1, directly interacts with the ,anaphase-promoting complex/cyclosome,". 
",Complex_formation
17827148,s5,T10,T13,We show that the tandem ,BRCA1," C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (",gamma-H2AX,"), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Not_a_complex
17827148,s5,T10,T14,We show that the tandem ,BRCA1," C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of ",gamma-H2AX, and Cdc27 competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T10,T15,We show that the tandem ,BRCA1," C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and ",Cdc27, competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T10,T16,We show that the tandem ,BRCA1," C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to ",MDC1,.,Not_a_complex
17827148,s5,T10,T20,We show that the tandem ,BRCA1," C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the ",APC/C," by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Not_a_complex
17827148,s5,T11,T14,We show that the tandem BRCA1 C-terminal domains of ,MDC1,", known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of ",gamma-H2AX, and Cdc27 competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T11,T15,We show that the tandem BRCA1 C-terminal domains of ,MDC1,", known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and ",Cdc27, competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T11,T16,We show that the tandem BRCA1 C-terminal domains of ,MDC1,", known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to ",MDC1,.,Not_a_complex
17827148,s5,T12,T13,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of ",histone H2AX, (,gamma-H2AX,"), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Not_a_complex
17827148,s5,T12,T14,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of ",histone H2AX," (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of ",gamma-H2AX, and Cdc27 competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T12,T15,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of ",histone H2AX," (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and ",Cdc27, competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T12,T16,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of ",histone H2AX," (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to ",MDC1,.,Not_a_complex
17827148,s5,T12,T20,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of ",histone H2AX," (gamma-H2AX), also bind the ",APC/C," by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Not_a_complex
17827148,s5,T13,T14,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (",gamma-H2AX,"), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of ",gamma-H2AX, and Cdc27 competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T13,T15,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (",gamma-H2AX,"), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and ",Cdc27, competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T13,T16,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (",gamma-H2AX,"), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to ",MDC1,.,Not_a_complex
17827148,s5,T13,T20,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (",gamma-H2AX,"), also bind the ",APC/C," by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Not_a_complex
17827148,s5,T14,T15,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of ",gamma-H2AX, and ,Cdc27, competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T20,T14,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the ",APC/C," by the same mechanism, as phosphopeptides that correspond to the C termini of ",gamma-H2AX, and Cdc27 competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T20,T15,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the ",APC/C," by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and ",Cdc27, competed with each other for the binding to MDC1.,Not_a_complex
17827148,s5,T20,T16,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the ",APC/C," by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to ",MDC1,.,Not_a_complex
17827148,s6,T17,T22,"Our results reveal a link between the cellular response to DNA damage and cell cycle regulation, suggesting that ",MDC1,", known to have a role in checkpoint regulation, executes part of this role by binding the ",APC/C,". 
",Complex_formation
