2196387,s0,T6,T8,Inducible nuclear factor binding to the ,kappa B, elements of the human immunodeficiency virus enhancer in T cells can be blocked by ,cyclosporin A," in a signal-dependent manner. 
",Not_a_complex
2196387,s4,T4,T2,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the ",kappa B, complex within the HIV enhancer and the ,NFAT-1," complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.",Not_a_complex
2196387,s4,T3,T11,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the ",interleukin-2," enhancer, is inhibited in the presence of ",CsA,. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T3,T12,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the ",interleukin-2," enhancer, is inhibited in the presence of CsA. The ",kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T3,T13,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the ",interleukin-2," enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ",phytohemagglutinin, whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T3,T14,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the ",interleukin-2," enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas ",phorbol myristate acetate,-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T4,T3,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the ",kappa B, complex within the HIV enhancer and the NFAT-1 complex within the ,interleukin-2," enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.",Not_a_complex
2196387,s4,T4,T11,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the ",kappa B," complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T4,T12,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the ",kappa B," complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The ",kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T4,T13,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the ",kappa B," complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ",phytohemagglutinin, whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T4,T14,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the ",kappa B," complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas ",phorbol myristate acetate,-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s5,T15,T16,This suggests a model in which functionally indistinguishable ,kappa B, complexes can be activated via two separate pathways of signal transduction distinguishable by ,CsA,.,Not_a_complex
