22904036,s0,T1,T19,The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the ,Mig1,/,2," transcriptional repressors in Saccharomyces cerevisiae. 
",Not_a_complex
22904036,s6,T11,T13,"In addition to associating with Opy2, Mig1 and ",Mig2," interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase ",Ste7,", and the MAP kinase Kss1.",Complex_formation
22904036,s6,T11,T14,"In addition to associating with Opy2, Mig1 and ",Mig2," interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase ",Kss1,.,Complex_formation
22904036,s6,T9,T10,In addition to associating with ,Opy2,", ",Mig1," and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1.",Complex_formation
22904036,s6,T9,T11,In addition to associating with ,Opy2,", Mig1 and ",Mig2," interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1.",Complex_formation
22904036,s6,T10,T11,"In addition to associating with Opy2, ",Mig1, and ,Mig2," interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T10,T20,"In addition to associating with Opy2, ",Mig1," and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T10,T21,"In addition to associating with Opy2, ",Mig1," and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the ",MAP kinase, Kss1.,Not_a_complex
22904036,s6,T11,T20,"In addition to associating with Opy2, Mig1 and ",Mig2," interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T11,T21,"In addition to associating with Opy2, Mig1 and ",Mig2," interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the ",MAP kinase, Kss1.,Not_a_complex
22904036,s6,T12,T13,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ",Msb2,", the MAP kinase kinase ",Ste7,", and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T12,T14,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ",Msb2,", the MAP kinase kinase Ste7, and the MAP kinase ",Kss1,.,Not_a_complex
22904036,s6,T12,T20,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ",Msb2,", the ",MAP kinase kinase," Ste7, and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T12,T21,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ",Msb2,", the MAP kinase kinase Ste7, and the ",MAP kinase, Kss1.,Not_a_complex
22904036,s6,T13,T14,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase ",Ste7,", and the MAP kinase ",Kss1,.,Not_a_complex
22904036,s6,T20,T13,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase, ,Ste7,", and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T13,T21,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase ",Ste7,", and the ",MAP kinase, Kss1.,Not_a_complex
22904036,s6,T20,T14,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the MAP kinase ",Kss1,.,Not_a_complex
22904036,s6,T21,T14,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the ",MAP kinase, ,Kss1,.,Not_a_complex
22904036,s6,T20,T21,"In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the ",MAP kinase, Kss1.,Not_a_complex
22904036,s6,T9,T12,In addition to associating with ,Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ",Msb2,", the MAP kinase kinase Ste7, and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T9,T13,In addition to associating with ,Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase ",Ste7,", and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T9,T14,In addition to associating with ,Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase ",Kss1,.,Not_a_complex
22904036,s6,T9,T20,In addition to associating with ,Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the MAP kinase Kss1.",Not_a_complex
22904036,s6,T9,T21,In addition to associating with ,Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the ",MAP kinase, Kss1.,Not_a_complex
22904036,s7,T15,T16,As for ,Opy2,", ",Mig1," overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity.",Not_a_complex
22904036,s7,T15,T17,As for ,Opy2,", Mig1 overproduction dampened the pheromone response pathway, which implicates ",Mig1, and Opy2 as potential regulators of pathway specificity.,Not_a_complex
22904036,s7,T15,T18,As for ,Opy2,", Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and ",Opy2, as potential regulators of pathway specificity.,Not_a_complex
22904036,s7,T15,T30,As for ,Opy2,", Mig1 overproduction dampened the ",pheromone," response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity.",Not_a_complex
22904036,s7,T16,T17,"As for Opy2, ",Mig1," overproduction dampened the pheromone response pathway, which implicates ",Mig1, and Opy2 as potential regulators of pathway specificity.,Not_a_complex
22904036,s7,T16,T18,"As for Opy2, ",Mig1," overproduction dampened the pheromone response pathway, which implicates Mig1 and ",Opy2, as potential regulators of pathway specificity.,Not_a_complex
22904036,s7,T16,T30,"As for Opy2, ",Mig1, overproduction dampened the ,pheromone," response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity.",Not_a_complex
22904036,s7,T17,T18,"As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates ",Mig1, and ,Opy2, as potential regulators of pathway specificity.,Not_a_complex
22904036,s7,T30,T17,"As for Opy2, Mig1 overproduction dampened the ",pheromone," response pathway, which implicates ",Mig1, and Opy2 as potential regulators of pathway specificity.,Not_a_complex
22904036,s7,T30,T18,"As for Opy2, Mig1 overproduction dampened the ",pheromone," response pathway, which implicates Mig1 and ",Opy2, as potential regulators of pathway specificity.,Not_a_complex
22904036,s8,T31,T22,"Taken together, our findings provide the first regulatory link in yeast between components of the ",AMPK, pathway and a ,MAPK," pathway that controls cellular differentiation. 
",Not_a_complex
