8530384,s0,T1,T2,Functional characterization of the murine homolog of the B cell-specific coactivator ,BOB.1,/,OBF.1,". 
",Not_a_complex
8530384,s7,T28,T13,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the ",Oct,-DNA interaction reveals that binding of ,BOB.1,/OBF.1 to Oct1 or Oct2 does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T27,T14,This protein-protein interaction does not require the simultaneous binding of ,Oct," proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of BOB.1/",OBF.1, to Oct1 or Oct2 does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T28,T14,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the ",Oct,-DNA interaction reveals that binding of BOB.1/,OBF.1, to Oct1 or Oct2 does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T15,T16,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of BOB.1/OBF.1 to ",Oct1, or ,Oct2, does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T27,T15,This protein-protein interaction does not require the simultaneous binding of ,Oct," proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of BOB.1/OBF.1 to ",Oct1, or Oct2 does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T28,T15,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the ",Oct,-DNA interaction reveals that binding of BOB.1/OBF.1 to ,Oct1, or Oct2 does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T27,T16,This protein-protein interaction does not require the simultaneous binding of ,Oct," proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of BOB.1/OBF.1 to Oct1 or ",Oct2, does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T28,T16,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the ",Oct,-DNA interaction reveals that binding of BOB.1/OBF.1 to Oct1 or ,Oct2, does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T27,T28,This protein-protein interaction does not require the simultaneous binding of ,Oct," proteins to DNA, and high resolution footprinting of the ",Oct,-DNA interaction reveals that binding of BOB.1/OBF.1 to Oct1 or Oct2 does not alter the interaction with DNA.,Not_a_complex
8530384,s8,T17,T18,,BOB.1,/,OBF.1," can efficiently activate octamer-dependent promoters in fibroblasts; however, it fails to stimulate octamer-dependent enhancer activity.",Not_a_complex
8530384,s9,T19,T20,Fusion of subdomains of ,BOB.1,/,OBF.1," with the GAL4 DNA binding domain reveals that both NH2- and COOH-terminal domains of BOB.1/OBF.1 contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T19,T21,Fusion of subdomains of ,BOB.1,/OBF.1 with the ,GAL4," DNA binding domain reveals that both NH2- and COOH-terminal domains of BOB.1/OBF.1 contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T19,T22,Fusion of subdomains of ,BOB.1,/OBF.1 with the GAL4 DNA binding domain reveals that both NH2- and COOH-terminal domains of ,BOB.1,"/OBF.1 contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T19,T23,Fusion of subdomains of ,BOB.1,/OBF.1 with the GAL4 DNA binding domain reveals that both NH2- and COOH-terminal domains of BOB.1/,OBF.1," contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T20,T21,Fusion of subdomains of BOB.1/,OBF.1, with the ,GAL4," DNA binding domain reveals that both NH2- and COOH-terminal domains of BOB.1/OBF.1 contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T20,T22,Fusion of subdomains of BOB.1/,OBF.1, with the GAL4 DNA binding domain reveals that both NH2- and COOH-terminal domains of ,BOB.1,"/OBF.1 contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T20,T23,Fusion of subdomains of BOB.1/,OBF.1, with the GAL4 DNA binding domain reveals that both NH2- and COOH-terminal domains of BOB.1/,OBF.1," contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T21,T22,Fusion of subdomains of BOB.1/OBF.1 with the ,GAL4, DNA binding domain reveals that both NH2- and COOH-terminal domains of ,BOB.1,"/OBF.1 contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T21,T23,Fusion of subdomains of BOB.1/OBF.1 with the ,GAL4, DNA binding domain reveals that both NH2- and COOH-terminal domains of BOB.1/,OBF.1," contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s9,T22,T23,Fusion of subdomains of BOB.1/OBF.1 with the GAL4 DNA binding domain reveals that both NH2- and COOH-terminal domains of ,BOB.1,/,OBF.1," contribute to full transactivation function, the COOH-terminal domain is more efficient in this transactivation assay.",Not_a_complex
8530384,s10,T24,T25,Consistent with the failure of full-length ,BOB.1,/,OBF.1," to stimulate octamer-dependent enhancer elements in non B cells, the GAL4 fusions likewise only stimulate from a promoter-proximal position.",Not_a_complex
8530384,s10,T24,T26,Consistent with the failure of full-length ,BOB.1,"/OBF.1 to stimulate octamer-dependent enhancer elements in non B cells, the ",GAL4, fusions likewise only stimulate from a promoter-proximal position.,Not_a_complex
8530384,s10,T25,T26,Consistent with the failure of full-length BOB.1/,OBF.1," to stimulate octamer-dependent enhancer elements in non B cells, the ",GAL4, fusions likewise only stimulate from a promoter-proximal position.,Not_a_complex
