25161877_7,s0,T1,T8,,Emi1, and ,Emi2, also exhibit DB-independent inhibitory activities against the polyubiquitylation of the APC/C target proteins.,Not_a_complex
25161877_7,s2,T13,T16,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with ",E2C,/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (,ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T14,T15,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (",ubiquitin chain-initiating E2,) and/or ,E2S,/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T14,T16,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (",ubiquitin chain-initiating E2,) and/or E2S/UBE2S (,ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T15,T16,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or ",E2S,/UBE2S (,ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T3,T11,The ZBR-RL fragment of ,Emi1, has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).",Not_a_complex
25161877_7,s2,T3,T12,The ZBR-RL fragment of ,Emi1, has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).",Not_a_complex
25161877_7,s2,T3,T13,The ZBR-RL fragment of ,Emi1," has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with ",E2C,/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T3,T14,The ZBR-RL fragment of ,Emi1," has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (",ubiquitin chain-initiating E2,) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T3,T15,The ZBR-RL fragment of ,Emi1," has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or ",E2S,/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T3,T16,The ZBR-RL fragment of ,Emi1," has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (",ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T3,T4,The ZBR-RL fragment of ,Emi1," has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/",UBE2C,/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T3,T5,The ZBR-RL fragment of ,Emi1," has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/",UBCH10, (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T3,T6,The ZBR-RL fragment of ,Emi1," has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/",UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T11,T4,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with E2C/",UBE2C,/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T12,T4,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with E2C/",UBE2C,/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T13,T4,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with ",E2C,/,UBE2C,/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T4,T14,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/",UBE2C,/UBCH10 (,ubiquitin chain-initiating E2,) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T4,T15,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/",UBE2C,/UBCH10 (ubiquitin chain-initiating E2) and/or ,E2S,/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T4,T16,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/",UBE2C,/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (,ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T4,T5,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/",UBE2C,/,UBCH10, (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T4,T6,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/",UBE2C,/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/,UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T11,T5,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with E2C/UBE2C/",UBCH10, (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T12,T5,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with E2C/UBE2C/",UBCH10, (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T13,T5,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with ",E2C,/UBE2C/,UBCH10, (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T5,T14,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/",UBCH10, (,ubiquitin chain-initiating E2,) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T5,T15,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/",UBCH10, (ubiquitin chain-initiating E2) and/or ,E2S,/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T5,T16,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/",UBCH10, (ubiquitin chain-initiating E2) and/or E2S/UBE2S (,ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T5,T6,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/",UBCH10, (ubiquitin chain-initiating E2) and/or E2S/,UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T11,T6,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/",UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T12,T6,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/",UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T13,T6,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with ",E2C,/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/,UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T14,T6,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (",ubiquitin chain-initiating E2,) and/or E2S/,UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T15,T6,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or ",E2S,/,UBE2S, (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T6,T16,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/",UBE2S, (,ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s3,T17,T18,The C-terminal tails of Emi1 and ,Emi2, bind to ,APC/C,", and the RL residues compete with the tail of E2S for APC/C binding.
",Complex_formation
25161877_7,s3,T19,T20,"The C-terminal tails of Emi1 and Emi2 bind to APC/C, and the RL residues compete with the tail of ",E2S, for ,APC/C," binding.
",Complex_formation
25161877_7,s3,T7,T18,The C-terminal tails of ,Emi1, and Emi2 bind to ,APC/C,", and the RL residues compete with the tail of E2S for APC/C binding.
",Complex_formation
25161877_7,s3,T17,T19,The C-terminal tails of Emi1 and ,Emi2," bind to APC/C, and the RL residues compete with the tail of ",E2S," for APC/C binding.
",Not_a_complex
25161877_7,s3,T17,T20,The C-terminal tails of Emi1 and ,Emi2," bind to APC/C, and the RL residues compete with the tail of E2S for ",APC/C," binding.
",Not_a_complex
25161877_7,s3,T18,T19,The C-terminal tails of Emi1 and Emi2 bind to ,APC/C,", and the RL residues compete with the tail of ",E2S," for APC/C binding.
",Not_a_complex
25161877_7,s3,T18,T20,The C-terminal tails of Emi1 and Emi2 bind to ,APC/C,", and the RL residues compete with the tail of E2S for ",APC/C," binding.
",Not_a_complex
25161877_7,s3,T7,T17,The C-terminal tails of ,Emi1, and ,Emi2," bind to APC/C, and the RL residues compete with the tail of E2S for APC/C binding.
",Not_a_complex
25161877_7,s3,T7,T19,The C-terminal tails of ,Emi1," and Emi2 bind to APC/C, and the RL residues compete with the tail of ",E2S," for APC/C binding.
",Not_a_complex
25161877_7,s3,T7,T20,The C-terminal tails of ,Emi1," and Emi2 bind to APC/C, and the RL residues compete with the tail of E2S for ",APC/C," binding.
",Not_a_complex
