7929355,s0,T1,T2,Protease inhibitors block lipopolysaccharide induction of tissue factor gene expression in human monocytic cells by preventing activation of ,c-Rel,/,p65," heterodimers. 
",Complex_formation
7929355,s2,T42,T7,Transcriptional regulation is mediated by binding of c-Rel/p65 heterodimers to a ,kappa B,-like site in the ,TF, promoter.,Not_a_complex
7929355,s3,T8,T9,Nuclear translocation of cytosolic ,c-Rel,/,p65," heterodimers and other members of the NF-kappa B/Rel family requires dissociation and proteolytic degradation of the inhibitor protein, I kappa B alpha.",Complex_formation
7929355,s3,T23,T10,Nuclear translocation of cytosolic c-Rel/p65 heterodimers and other members of the ,NF-kappa B/Rel," family requires dissociation and proteolytic degradation of the inhibitor protein, ",I kappa B alpha,.,Not_a_complex
7929355,s3,T8,T10,Nuclear translocation of cytosolic ,c-Rel,"/p65 heterodimers and other members of the NF-kappa B/Rel family requires dissociation and proteolytic degradation of the inhibitor protein, ",I kappa B alpha,.,Not_a_complex
7929355,s3,T8,T23,Nuclear translocation of cytosolic ,c-Rel,/p65 heterodimers and other members of the ,NF-kappa B/Rel," family requires dissociation and proteolytic degradation of the inhibitor protein, I kappa B alpha.",Not_a_complex
7929355,s3,T9,T10,Nuclear translocation of cytosolic c-Rel/,p65," heterodimers and other members of the NF-kappa B/Rel family requires dissociation and proteolytic degradation of the inhibitor protein, ",I kappa B alpha,.,Not_a_complex
7929355,s3,T9,T23,Nuclear translocation of cytosolic c-Rel/,p65, heterodimers and other members of the ,NF-kappa B/Rel," family requires dissociation and proteolytic degradation of the inhibitor protein, I kappa B alpha.",Not_a_complex
7929355,s4,T24,T11,The protease inhibitors ,N alpha-tosylphenylalanyl chloromethyl ketone, (TPCK) and N alpha-tosyl-L-lysine chloromethyl ketone (TLCK) block activation of NF-kappa B/Rel proteins by preventing degradation of ,I kappa B alpha,.,Not_a_complex
7929355,s4,T25,T11,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (,TPCK,) and N alpha-tosyl-L-lysine chloromethyl ketone (TLCK) block activation of NF-kappa B/Rel proteins by preventing degradation of ,I kappa B alpha,.,Not_a_complex
7929355,s4,T26,T11,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (TPCK) and ,N alpha-tosyl-L-lysine chloromethyl ketone, (TLCK) block activation of NF-kappa B/Rel proteins by preventing degradation of ,I kappa B alpha,.,Not_a_complex
7929355,s4,T27,T11,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (TPCK) and N alpha-tosyl-L-lysine chloromethyl ketone (,TLCK,) block activation of NF-kappa B/Rel proteins by preventing degradation of ,I kappa B alpha,.,Not_a_complex
7929355,s4,T28,T11,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (TPCK) and N alpha-tosyl-L-lysine chloromethyl ketone (TLCK) block activation of ,NF-kappa B/Rel, proteins by preventing degradation of ,I kappa B alpha,.,Not_a_complex
7929355,s4,T24,T25,The protease inhibitors ,N alpha-tosylphenylalanyl chloromethyl ketone, (,TPCK,) and N alpha-tosyl-L-lysine chloromethyl ketone (TLCK) block activation of NF-kappa B/Rel proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T24,T26,The protease inhibitors ,N alpha-tosylphenylalanyl chloromethyl ketone, (TPCK) and ,N alpha-tosyl-L-lysine chloromethyl ketone, (TLCK) block activation of NF-kappa B/Rel proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T24,T27,The protease inhibitors ,N alpha-tosylphenylalanyl chloromethyl ketone, (TPCK) and N alpha-tosyl-L-lysine chloromethyl ketone (,TLCK,) block activation of NF-kappa B/Rel proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T24,T28,The protease inhibitors ,N alpha-tosylphenylalanyl chloromethyl ketone, (TPCK) and N alpha-tosyl-L-lysine chloromethyl ketone (TLCK) block activation of ,NF-kappa B/Rel, proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T25,T26,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (,TPCK,) and ,N alpha-tosyl-L-lysine chloromethyl ketone, (TLCK) block activation of NF-kappa B/Rel proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T25,T27,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (,TPCK,) and N alpha-tosyl-L-lysine chloromethyl ketone (,TLCK,) block activation of NF-kappa B/Rel proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T25,T28,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (,TPCK,) and N alpha-tosyl-L-lysine chloromethyl ketone (TLCK) block activation of ,NF-kappa B/Rel, proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T26,T27,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (TPCK) and ,N alpha-tosyl-L-lysine chloromethyl ketone, (,TLCK,) block activation of NF-kappa B/Rel proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T26,T28,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (TPCK) and ,N alpha-tosyl-L-lysine chloromethyl ketone, (TLCK) block activation of ,NF-kappa B/Rel, proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s4,T27,T28,The protease inhibitors N alpha-tosylphenylalanyl chloromethyl ketone (TPCK) and N alpha-tosyl-L-lysine chloromethyl ketone (,TLCK,) block activation of ,NF-kappa B/Rel, proteins by preventing degradation of I kappa B alpha.,Not_a_complex
7929355,s5,T29,T12,To determine if ,TPCK, and TLCK inhibited LPS induction of ,TF," expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before LPS stimulation.",Not_a_complex
7929355,s5,T30,T12,To determine if TPCK and ,TLCK, inhibited LPS induction of ,TF," expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before LPS stimulation.",Not_a_complex
7929355,s5,T34,T12,To determine if TPCK and TLCK inhibited ,LPS, induction of ,TF," expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before LPS stimulation.",Not_a_complex
7929355,s5,T12,T38,To determine if TPCK and TLCK inhibited LPS induction of ,TF," expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before ",LPS, stimulation.,Not_a_complex
7929355,s5,T29,T30,To determine if ,TPCK, and ,TLCK," inhibited LPS induction of TF expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before LPS stimulation.",Not_a_complex
7929355,s5,T29,T34,To determine if ,TPCK, and TLCK inhibited ,LPS," induction of TF expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before LPS stimulation.",Not_a_complex
7929355,s5,T29,T38,To determine if ,TPCK," and TLCK inhibited LPS induction of TF expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before ",LPS, stimulation.,Not_a_complex
7929355,s5,T30,T34,To determine if TPCK and ,TLCK, inhibited ,LPS," induction of TF expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before LPS stimulation.",Not_a_complex
7929355,s5,T30,T38,To determine if TPCK and ,TLCK," inhibited LPS induction of TF expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before ",LPS, stimulation.,Not_a_complex
7929355,s5,T34,T38,To determine if TPCK and TLCK inhibited ,LPS," induction of TF expression, freshly isolated human monocytes and monocytic THP-1 cells were pretreated with these inhibitors for 30 min before ",LPS, stimulation.,Not_a_complex
7929355,s6,T13,T14,Both TPCK and TLCK inhibited LPS induction of ,TF," protein, ",TF, mRNA and TF promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T13,T15,Both TPCK and TLCK inhibited LPS induction of ,TF," protein, TF mRNA and ",TF, promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T35,T13,Both ,TPCK, and TLCK inhibited LPS induction of ,TF," protein, TF mRNA and TF promoter activity in a dose-dependent manner.",Not_a_complex
7929355,s6,T36,T13,Both TPCK and ,TLCK, inhibited LPS induction of ,TF," protein, TF mRNA and TF promoter activity in a dose-dependent manner.",Not_a_complex
7929355,s6,T37,T13,Both TPCK and TLCK inhibited ,LPS, induction of ,TF," protein, TF mRNA and TF promoter activity in a dose-dependent manner.",Not_a_complex
7929355,s6,T14,T15,"Both TPCK and TLCK inhibited LPS induction of TF protein, ",TF, mRNA and ,TF, promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T35,T14,Both ,TPCK," and TLCK inhibited LPS induction of TF protein, ",TF, mRNA and TF promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T36,T14,Both TPCK and ,TLCK," inhibited LPS induction of TF protein, ",TF, mRNA and TF promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T37,T14,Both TPCK and TLCK inhibited ,LPS," induction of TF protein, ",TF, mRNA and TF promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T35,T15,Both ,TPCK," and TLCK inhibited LPS induction of TF protein, TF mRNA and ",TF, promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T36,T15,Both TPCK and ,TLCK," inhibited LPS induction of TF protein, TF mRNA and ",TF, promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T37,T15,Both TPCK and TLCK inhibited ,LPS," induction of TF protein, TF mRNA and ",TF, promoter activity in a dose-dependent manner.,Not_a_complex
7929355,s6,T35,T36,Both ,TPCK, and ,TLCK," inhibited LPS induction of TF protein, TF mRNA and TF promoter activity in a dose-dependent manner.",Not_a_complex
7929355,s6,T35,T37,Both ,TPCK, and TLCK inhibited ,LPS," induction of TF protein, TF mRNA and TF promoter activity in a dose-dependent manner.",Not_a_complex
7929355,s6,T36,T37,Both TPCK and ,TLCK, inhibited ,LPS," induction of TF protein, TF mRNA and TF promoter activity in a dose-dependent manner.",Not_a_complex
7929355,s7,T17,T18,These inhibitors specifically prevented degradation of I kappa B alpha and nuclear translocation of ,c-Rel,/,p65, heterodimers.,Complex_formation
7929355,s7,T16,T17,These inhibitors specifically prevented degradation of ,I kappa B alpha, and nuclear translocation of ,c-Rel,/p65 heterodimers.,Not_a_complex
7929355,s7,T16,T18,These inhibitors specifically prevented degradation of ,I kappa B alpha, and nuclear translocation of c-Rel/,p65, heterodimers.,Not_a_complex
7929355,s8,T39,T19,"In contrast, ",TPCK," and TLCK did not block induction of an immediate-early gene encoding the transcription factor, ",Egr-1,.,Not_a_complex
7929355,s8,T40,T19,"In contrast, TPCK and ",TLCK," did not block induction of an immediate-early gene encoding the transcription factor, ",Egr-1,.,Not_a_complex
7929355,s8,T39,T40,"In contrast, ",TPCK, and ,TLCK," did not block induction of an immediate-early gene encoding the transcription factor, Egr-1.",Not_a_complex
7929355,s9,T20,T21,"Taken together, these data indicated that inhibiting nuclear translocation of ",c-Rel,/,p65, heterodimers prevented LPS induction of TF gene transcription in monocytic cells.,Complex_formation
7929355,s9,T20,T22,"Taken together, these data indicated that inhibiting nuclear translocation of ",c-Rel,/p65 heterodimers prevented LPS induction of ,TF, gene transcription in monocytic cells.,Not_a_complex
7929355,s9,T20,T41,"Taken together, these data indicated that inhibiting nuclear translocation of ",c-Rel,/p65 heterodimers prevented ,LPS, induction of TF gene transcription in monocytic cells.,Not_a_complex
7929355,s9,T21,T22,"Taken together, these data indicated that inhibiting nuclear translocation of c-Rel/",p65, heterodimers prevented LPS induction of ,TF, gene transcription in monocytic cells.,Not_a_complex
7929355,s9,T21,T41,"Taken together, these data indicated that inhibiting nuclear translocation of c-Rel/",p65, heterodimers prevented ,LPS, induction of TF gene transcription in monocytic cells.,Not_a_complex
7929355,s9,T41,T22,"Taken together, these data indicated that inhibiting nuclear translocation of c-Rel/p65 heterodimers prevented ",LPS, induction of ,TF, gene transcription in monocytic cells.,Not_a_complex
