8065341,s0,T1,T2,Identification of functional domains of the ,aryl hydrocarbon receptor nuclear translocator, protein (,ARNT,"). 
",Not_a_complex
8065341,s2,T14,T18,Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of ,AHR," requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and ",SIM, proteins functions as a dimerization domain.,Not_a_complex
8065341,s2,T15,T16,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the ",AHR,"/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila ",PER, and SIM proteins functions as a dimerization domain.,Not_a_complex
8065341,s2,T17,T15,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., ","2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]","), (ii) the xenobiotic responsive element (XRE) recognized by the ",AHR,"/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and SIM proteins functions as a dimerization domain.",Not_a_complex
8065341,s2,T15,T18,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the ",AHR,"/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and ",SIM, proteins functions as a dimerization domain.,Not_a_complex
8065341,s2,T17,T16,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., ","2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]","), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila ",PER, and SIM proteins functions as a dimerization domain.,Not_a_complex
8065341,s2,T16,T18,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila ",PER, and ,SIM, proteins functions as a dimerization domain.,Not_a_complex
8065341,s2,T17,T18,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., ","2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]","), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and ",SIM, proteins functions as a dimerization domain.,Not_a_complex
8065341,s2,T14,T5,Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of ,AHR," requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/",ARNT," heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and SIM proteins functions as a dimerization domain.",Not_a_complex
8065341,s2,T5,T16,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/",ARNT," heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila ",PER, and SIM proteins functions as a dimerization domain.,Not_a_complex
8065341,s2,T17,T5,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., ","2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]","), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/",ARNT," heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and SIM proteins functions as a dimerization domain.",Not_a_complex
8065341,s2,T5,T18,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/",ARNT," heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and ",SIM, proteins functions as a dimerization domain.,Not_a_complex
8065341,s3,T6,T7,A cDNA for mouse ,ARNT," has been cloned, and potential functional domains of ",ARNT, were investigated by deletion analysis.,Not_a_complex
8065341,s4,T8,T9,A mutant lacking all regions of ,ARNT, other than the bHLH and PAS regions is unimpaired in TCDD-dependent dimerization and subsequent XRE binding and only modestly reduced in ability to complement an ,ARNT,"-deficient mutant cell line, c4, in vivo.",Not_a_complex
