10209036,s0,T1,T2,,SHP2-interacting transmembrane adaptor protein, (,SIT,"), a novel disulfide-linked dimer regulating human T cell activation. 
",Not_a_complex
10209036,s5,T17,T18,Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (,NF-AT,") by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of ",NF-AT," induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2.",Not_a_complex
10209036,s5,T17,T19,Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (,NF-AT,") by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates ",NF-AT, activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2.,Not_a_complex
10209036,s5,T17,T20,Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (,NF-AT,") by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls ",NF-AT, unrelated pathways of T cell activation involving SHP2.,Not_a_complex
10209036,s5,T21,T17,Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the ,nuclear factor of activated T cells, (,NF-AT,") by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2.",Not_a_complex
10209036,s5,T18,T19,"Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of ",NF-AT," induction, suggesting that SIT not only regulates ",NF-AT, activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2.,Not_a_complex
10209036,s5,T18,T20,"Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of ",NF-AT," induction, suggesting that SIT not only regulates NF-AT activity but also controls ",NF-AT, unrelated pathways of T cell activation involving SHP2.,Not_a_complex
10209036,s5,T21,T18,Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the ,nuclear factor of activated T cells," (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of ",NF-AT," induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2.",Not_a_complex
10209036,s5,T19,T20,"Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates ",NF-AT, activity but also controls ,NF-AT, unrelated pathways of T cell activation involving SHP2.,Not_a_complex
10209036,s5,T21,T19,Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the ,nuclear factor of activated T cells," (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates ",NF-AT, activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2.,Not_a_complex
10209036,s5,T21,T20,Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the ,nuclear factor of activated T cells," (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls ",NF-AT, unrelated pathways of T cell activation involving SHP2.,Not_a_complex
