19141288_18,s0,T1,T2,The ,PhK,/,GPb, complex was formed in solution before deposition on the electron microscope grid.,Complex_formation
19141288_18,s8,T14,T19,The concentrations used in preparing the ,PhK,/GPb sample (PhK tetramer 2.22 mg/ml [1.71 muM] and GPb dimer 1.08 mg/ml [5.54 muM]) correspond to 1 PhK (alphabetagammadelta):0.8 ,GPb, dimer.,Not_a_complex
19141288_18,s8,T15,T16,The concentrations used in preparing the PhK/,GPb, sample (,PhK, tetramer 2.22 mg/ml [1.71 muM] and GPb dimer 1.08 mg/ml [5.54 muM]) correspond to 1 PhK (alphabetagammadelta):0.8 GPb dimer.,Not_a_complex
19141288_18,s8,T15,T17,The concentrations used in preparing the PhK/,GPb, sample (PhK tetramer 2.22 mg/ml [1.71 muM] and ,GPb, dimer 1.08 mg/ml [5.54 muM]) correspond to 1 PhK (alphabetagammadelta):0.8 GPb dimer.,Not_a_complex
19141288_18,s8,T15,T18,The concentrations used in preparing the PhK/,GPb, sample (PhK tetramer 2.22 mg/ml [1.71 muM] and GPb dimer 1.08 mg/ml [5.54 muM]) correspond to 1 ,PhK, (alphabetagammadelta):0.8 GPb dimer.,Not_a_complex
19141288_18,s8,T15,T19,The concentrations used in preparing the PhK/,GPb, sample (PhK tetramer 2.22 mg/ml [1.71 muM] and GPb dimer 1.08 mg/ml [5.54 muM]) correspond to 1 PhK (alphabetagammadelta):0.8 ,GPb, dimer.,Not_a_complex
19141288_18,s8,T16,T17,The concentrations used in preparing the PhK/GPb sample (,PhK, tetramer 2.22 mg/ml [1.71 muM] and ,GPb, dimer 1.08 mg/ml [5.54 muM]) correspond to 1 PhK (alphabetagammadelta):0.8 GPb dimer.,Not_a_complex
19141288_18,s8,T16,T18,The concentrations used in preparing the PhK/GPb sample (,PhK, tetramer 2.22 mg/ml [1.71 muM] and GPb dimer 1.08 mg/ml [5.54 muM]) correspond to 1 ,PhK, (alphabetagammadelta):0.8 GPb dimer.,Not_a_complex
19141288_18,s8,T16,T19,The concentrations used in preparing the PhK/GPb sample (,PhK, tetramer 2.22 mg/ml [1.71 muM] and GPb dimer 1.08 mg/ml [5.54 muM]) correspond to 1 PhK (alphabetagammadelta):0.8 ,GPb, dimer.,Not_a_complex
19141288_18,s8,T17,T18,The concentrations used in preparing the PhK/GPb sample (PhK tetramer 2.22 mg/ml [1.71 muM] and ,GPb, dimer 1.08 mg/ml [5.54 muM]) correspond to 1 ,PhK, (alphabetagammadelta):0.8 GPb dimer.,Not_a_complex
19141288_18,s8,T17,T19,The concentrations used in preparing the PhK/GPb sample (PhK tetramer 2.22 mg/ml [1.71 muM] and ,GPb, dimer 1.08 mg/ml [5.54 muM]) correspond to 1 PhK (alphabetagammadelta):0.8 ,GPb, dimer.,Not_a_complex
19141288_18,s9,T20,T21,"Depending on the value of Kd, saturation of ",PhK, with ,GPb, could have been between 1% and 80%.,Complex_formation
19141288_18,s10,T22,T23,"The appearance of the particles on the grids showed all particles with an increase in size, indicating that some were ",GPb," bound, compared with the native ",PhK," particles.
",Not_a_complex
