19185494,s2,T1,T2,Although previous studies have demonstrated cortical and plus-end targeting of ,dynein heavy chain, (,Dyn1,"/HC), the regulation of its recruitment to these sites remains elusive.",Not_a_complex
19185494,s6,T13,T16,Overexpression of Pac1/,LIS1,", but not Bik1/CLIP-170, rescues the dominant negativity by restoring ",Dyn1,/HC to plus ends.,Not_a_complex
19185494,s6,T14,T15,"Overexpression of Pac1/LIS1, but not ",Bik1,/,CLIP-170,", rescues the dominant negativity by restoring Dyn1/HC to plus ends.",Not_a_complex
19185494,s6,T14,T16,"Overexpression of Pac1/LIS1, but not ",Bik1,"/CLIP-170, rescues the dominant negativity by restoring ",Dyn1,/HC to plus ends.,Not_a_complex
19185494,s6,T15,T16,"Overexpression of Pac1/LIS1, but not Bik1/",CLIP-170,", rescues the dominant negativity by restoring ",Dyn1,/HC to plus ends.,Not_a_complex
19185494,s8,T18,T19,"However, cortical targeting of the tail construct is more robust than full-length ",Dyn1,/HC and occurs independently of ,Bik1,/CLIP-170 or Pac1/LIS1.,Not_a_complex
19185494,s8,T18,T20,"However, cortical targeting of the tail construct is more robust than full-length ",Dyn1,/HC and occurs independently of Bik1/,CLIP-170, or Pac1/LIS1.,Not_a_complex
19185494,s8,T18,T21,"However, cortical targeting of the tail construct is more robust than full-length ",Dyn1,/HC and occurs independently of Bik1/CLIP-170 or ,Pac1,/LIS1.,Not_a_complex
19185494,s8,T18,T22,"However, cortical targeting of the tail construct is more robust than full-length ",Dyn1,/HC and occurs independently of Bik1/CLIP-170 or Pac1/,LIS1,.,Not_a_complex
19185494,s8,T19,T20,"However, cortical targeting of the tail construct is more robust than full-length Dyn1/HC and occurs independently of ",Bik1,/,CLIP-170, or Pac1/LIS1.,Not_a_complex
19185494,s8,T19,T21,"However, cortical targeting of the tail construct is more robust than full-length Dyn1/HC and occurs independently of ",Bik1,/CLIP-170 or ,Pac1,/LIS1.,Not_a_complex
19185494,s8,T19,T22,"However, cortical targeting of the tail construct is more robust than full-length Dyn1/HC and occurs independently of ",Bik1,/CLIP-170 or Pac1/,LIS1,.,Not_a_complex
19185494,s8,T20,T21,"However, cortical targeting of the tail construct is more robust than full-length Dyn1/HC and occurs independently of Bik1/",CLIP-170, or ,Pac1,/LIS1.,Not_a_complex
19185494,s8,T20,T22,"However, cortical targeting of the tail construct is more robust than full-length Dyn1/HC and occurs independently of Bik1/",CLIP-170, or Pac1/,LIS1,.,Not_a_complex
19185494,s8,T21,T22,"However, cortical targeting of the tail construct is more robust than full-length Dyn1/HC and occurs independently of Bik1/CLIP-170 or ",Pac1,/,LIS1,.,Not_a_complex
19185494,s10,T36,T23,We propose that targeting of ,dynein," to plus ends unmasks the tail, priming the motor for off-loading to cortical ",Num1," sites. 
",Not_a_complex
