24652835,s1,T2,T3,The evolutionarily conserved family of ,Bucentaur, (,BCNT,") proteins exhibits a widespread distribution in animal and plants, yet its biological role remains largely unknown.",Not_a_complex
24652835,s4,T10,T12,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the ,histone," variant H2A.V, HP1a and Domino-A (",DOM-A,"), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T10,T13,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the ,histone," variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/",Tip60, chromatin remodeling complex.,Not_a_complex
24652835,s4,T10,T22,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the ,histone," variant H2A.V, ",HP1a," and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T10,T23,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the ,histone," variant H2A.V, HP1a and ",Domino-A," (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T10,T24,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the ,histone," variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the ",DOM,/Tip60 chromatin remodeling complex.,Not_a_complex
24652835,s4,T11,T12,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant ,H2A.V,", HP1a and Domino-A (",DOM-A,"), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T11,T13,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant ,H2A.V,", HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/",Tip60, chromatin remodeling complex.,Not_a_complex
24652835,s4,T11,T22,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant ,H2A.V,", ",HP1a," and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T11,T23,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant ,H2A.V,", HP1a and ",Domino-A," (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T11,T24,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant ,H2A.V,", HP1a and Domino-A (DOM-A), the ATPase subunit of the ",DOM,/Tip60 chromatin remodeling complex.,Not_a_complex
24652835,s4,T12,T13,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and Domino-A (",DOM-A,"), the ATPase subunit of the DOM/",Tip60, chromatin remodeling complex.,Not_a_complex
24652835,s4,T22,T12,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, ",HP1a, and Domino-A (,DOM-A,"), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T23,T12,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and ",Domino-A, (,DOM-A,"), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T12,T24,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and Domino-A (",DOM-A,"), the ATPase subunit of the ",DOM,/Tip60 chromatin remodeling complex.,Not_a_complex
24652835,s4,T22,T13,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, ",HP1a," and Domino-A (DOM-A), the ATPase subunit of the DOM/",Tip60, chromatin remodeling complex.,Not_a_complex
24652835,s4,T23,T13,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and ",Domino-A," (DOM-A), the ATPase subunit of the DOM/",Tip60, chromatin remodeling complex.,Not_a_complex
24652835,s4,T22,T23,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, ",HP1a, and ,Domino-A," (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T22,T24,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, ",HP1a," and Domino-A (DOM-A), the ATPase subunit of the ",DOM,/Tip60 chromatin remodeling complex.,Not_a_complex
24652835,s4,T23,T24,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and ",Domino-A," (DOM-A), the ATPase subunit of the ",DOM,/Tip60 chromatin remodeling complex.,Not_a_complex
24652835,s4,T8,T10,We also find that ,YETI, binds to polytene chromosomes through its conserved BCNT domain and interacts with the ,histone," variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T8,T13,We also find that ,YETI," binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/",Tip60, chromatin remodeling complex.,Not_a_complex
24652835,s4,T8,T24,We also find that ,YETI," binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the ",DOM,/Tip60 chromatin remodeling complex.,Not_a_complex
24652835,s4,T8,T9,We also find that ,YETI, binds to polytene chromosomes through its conserved ,BCNT," domain and interacts with the histone variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T9,T10,We also find that YETI binds to polytene chromosomes through its conserved ,BCNT, domain and interacts with the ,histone," variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T9,T11,We also find that YETI binds to polytene chromosomes through its conserved ,BCNT, domain and interacts with the histone variant ,H2A.V,", HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T9,T12,We also find that YETI binds to polytene chromosomes through its conserved ,BCNT," domain and interacts with the histone variant H2A.V, HP1a and Domino-A (",DOM-A,"), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T9,T13,We also find that YETI binds to polytene chromosomes through its conserved ,BCNT," domain and interacts with the histone variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/",Tip60, chromatin remodeling complex.,Not_a_complex
24652835,s4,T9,T22,We also find that YETI binds to polytene chromosomes through its conserved ,BCNT," domain and interacts with the histone variant H2A.V, ",HP1a," and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T9,T23,We also find that YETI binds to polytene chromosomes through its conserved ,BCNT," domain and interacts with the histone variant H2A.V, HP1a and ",Domino-A," (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
24652835,s4,T9,T24,We also find that YETI binds to polytene chromosomes through its conserved ,BCNT," domain and interacts with the histone variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the ",DOM,/Tip60 chromatin remodeling complex.,Not_a_complex
24652835,s5,T16,T17,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that ",YETI, interacts with ,H2A.V,"-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Complex_formation
24652835,s5,T16,T18,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that ",YETI," interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/",Tip60," remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Complex_formation
24652835,s5,T16,T25,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that ",YETI," interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the ",DOM,"/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Complex_formation
24652835,s5,T25,T18,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the ",DOM,/,Tip60," remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Complex_formation
24652835,s5,T14,T15,"Furthermore, we identify ",YETI, as a downstream target of the Drosophila ,DOM-A,". On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T14,T16,"Furthermore, we identify ",YETI," as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that ",YETI," interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T14,T17,"Furthermore, we identify ",YETI," as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with ",H2A.V,"-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T14,T18,"Furthermore, we identify ",YETI," as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/",Tip60," remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T14,T19,"Furthermore, we identify ",YETI," as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of ",H2A.V, at chromatin sites.,Not_a_complex
24652835,s5,T14,T25,"Furthermore, we identify ",YETI," as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the ",DOM,"/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T15,T16,"Furthermore, we identify YETI as a downstream target of the Drosophila ",DOM-A,". On the basis of these results, we propose that ",YETI," interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T15,T17,"Furthermore, we identify YETI as a downstream target of the Drosophila ",DOM-A,". On the basis of these results, we propose that YETI interacts with ",H2A.V,"-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T15,T18,"Furthermore, we identify YETI as a downstream target of the Drosophila ",DOM-A,". On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/",Tip60," remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T15,T19,"Furthermore, we identify YETI as a downstream target of the Drosophila ",DOM-A,". On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of ",H2A.V, at chromatin sites.,Not_a_complex
24652835,s5,T15,T25,"Furthermore, we identify YETI as a downstream target of the Drosophila ",DOM-A,". On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the ",DOM,"/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T16,T19,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that ",YETI," interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of ",H2A.V, at chromatin sites.,Not_a_complex
24652835,s5,T17,T18,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with ",H2A.V,"-exchanging machinery, as a chaperone or as a new subunit of the DOM/",Tip60," remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T17,T19,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with ",H2A.V,"-exchanging machinery, as a chaperone or as a new subunit of the DOM/Tip60 remodeling complex, and acts to regulate the accumulation of ",H2A.V, at chromatin sites.,Not_a_complex
24652835,s5,T17,T25,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with ",H2A.V,"-exchanging machinery, as a chaperone or as a new subunit of the ",DOM,"/Tip60 remodeling complex, and acts to regulate the accumulation of H2A.V at chromatin sites.",Not_a_complex
24652835,s5,T18,T19,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the DOM/",Tip60," remodeling complex, and acts to regulate the accumulation of ",H2A.V, at chromatin sites.,Not_a_complex
24652835,s5,T25,T19,"Furthermore, we identify YETI as a downstream target of the Drosophila DOM-A. On the basis of these results, we propose that YETI interacts with H2A.V-exchanging machinery, as a chaperone or as a new subunit of the ",DOM,"/Tip60 remodeling complex, and acts to regulate the accumulation of ",H2A.V, at chromatin sites.,Not_a_complex
24652835,s6,T20,T21,"Overall, our findings suggest an unanticipated role of ",YETI," protein in chromatin organization and provide, for the first time, mechanistic clues on how ",BCNT," proteins control development in multicellular organisms. 
",Not_a_complex
