10831604_18,s0,T1,T10,The finding that ,JIL-1, associates with the ,MSL, complex is based on physical interaction assays such as coimmunoprecipitation and GST pull-down experiments.,Complex_formation
10831604_18,s3,T5,T16,"Moreover, the finding that addition of GST-",JIL-1, fusion protein to S2 cell extracts can be used to pull down the MSL complex indicates that this association can occur in vitro and suggests that the JIL-1 kinase can interact with the preassembled ,MSL, complex.,Not_a_complex
10831604_18,s3,T19,T5,"Moreover, the finding that addition of ",GST,-,JIL-1, fusion protein to S2 cell extracts can be used to pull down the MSL complex indicates that this association can occur in vitro and suggests that the JIL-1 kinase can interact with the preassembled MSL complex.,Not_a_complex
10831604_18,s3,T5,T6,"Moreover, the finding that addition of GST-",JIL-1, fusion protein to S2 cell extracts can be used to pull down the MSL complex indicates that this association can occur in vitro and suggests that the ,JIL-1 kinase, can interact with the preassembled MSL complex.,Not_a_complex
10831604_18,s3,T15,T6,"Moreover, the finding that addition of GST-JIL-1 fusion protein to S2 cell extracts can be used to pull down the ",MSL, complex indicates that this association can occur in vitro and suggests that the ,JIL-1 kinase, can interact with the preassembled MSL complex.,Not_a_complex
10831604_18,s3,T19,T6,"Moreover, the finding that addition of ",GST,-JIL-1 fusion protein to S2 cell extracts can be used to pull down the MSL complex indicates that this association can occur in vitro and suggests that the ,JIL-1 kinase, can interact with the preassembled MSL complex.,Not_a_complex
10831604_18,s4,T9,T18,"However, since this preassembled complex may already contain endogenous JIL-1 it does not address whether the formation of the MSL complex requires the presence of JIL-1 protein or whether ",JIL-1, is present in the ,MSL," complex in stoichiometric amounts.
",Complex_formation
10831604_18,s4,T17,T18,"However, since this preassembled complex may already contain endogenous JIL-1 it does not address whether the formation of the ",MSL, complex requires the presence of JIL-1 protein or whether JIL-1 is present in the ,MSL," complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T7,T17,"However, since this preassembled complex may already contain endogenous ",JIL-1, it does not address whether the formation of the ,MSL," complex requires the presence of JIL-1 protein or whether JIL-1 is present in the MSL complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T7,T18,"However, since this preassembled complex may already contain endogenous ",JIL-1, it does not address whether the formation of the MSL complex requires the presence of JIL-1 protein or whether JIL-1 is present in the ,MSL," complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T7,T8,"However, since this preassembled complex may already contain endogenous ",JIL-1, it does not address whether the formation of the MSL complex requires the presence of ,JIL-1," protein or whether JIL-1 is present in the MSL complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T7,T9,"However, since this preassembled complex may already contain endogenous ",JIL-1, it does not address whether the formation of the MSL complex requires the presence of JIL-1 protein or whether ,JIL-1," is present in the MSL complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T17,T8,"However, since this preassembled complex may already contain endogenous JIL-1 it does not address whether the formation of the ",MSL, complex requires the presence of ,JIL-1," protein or whether JIL-1 is present in the MSL complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T8,T18,"However, since this preassembled complex may already contain endogenous JIL-1 it does not address whether the formation of the MSL complex requires the presence of ",JIL-1, protein or whether JIL-1 is present in the ,MSL," complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T8,T9,"However, since this preassembled complex may already contain endogenous JIL-1 it does not address whether the formation of the MSL complex requires the presence of ",JIL-1, protein or whether ,JIL-1," is present in the MSL complex in stoichiometric amounts.
",Not_a_complex
10831604_18,s4,T17,T9,"However, since this preassembled complex may already contain endogenous JIL-1 it does not address whether the formation of the ",MSL, complex requires the presence of JIL-1 protein or whether ,JIL-1," is present in the MSL complex in stoichiometric amounts.
",Not_a_complex
