9343210,s0,T1,T2,Transcriptional activation of the ,vascular cell adhesion molecule-1, gene in T lymphocytes expressing human T-cell leukemia virus type 1 ,Tax," protein. 
",Not_a_complex
9343210,s7,T12,T15,"Furthermore, deletion and mutation analyses of the ",VCAM-1, promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the ,VCAM-1," promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T12,T16,"Furthermore, deletion and mutation analyses of the ",VCAM-1, promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the ,VCAM-1," gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T12,T17,"Furthermore, deletion and mutation analyses of the ",VCAM-1," promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the ",Tax,-induced expression of this adhesion molecule.,Not_a_complex
9343210,s7,T12,T23,"Furthermore, deletion and mutation analyses of the ",VCAM-1, promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the VCAM-1 promoter via two ,NF-kappaB," sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T13,T14,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with ",chloramphenicol acetyltransferase, constructs revealed that ,Tax," was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T13,T15,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with ",chloramphenicol acetyltransferase, constructs revealed that Tax was trans activating the ,VCAM-1," promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T13,T16,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with ",chloramphenicol acetyltransferase, constructs revealed that Tax was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the ,VCAM-1," gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T13,T17,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with ",chloramphenicol acetyltransferase," constructs revealed that Tax was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the ",Tax,-induced expression of this adhesion molecule.,Not_a_complex
9343210,s7,T13,T23,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with ",chloramphenicol acetyltransferase, constructs revealed that Tax was trans activating the VCAM-1 promoter via two ,NF-kappaB," sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T14,T15,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that ",Tax, was trans activating the ,VCAM-1," promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T14,T16,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that ",Tax, was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the ,VCAM-1," gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T14,T17,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that ",Tax," was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the ",Tax,-induced expression of this adhesion molecule.,Not_a_complex
9343210,s7,T14,T23,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that ",Tax, was trans activating the VCAM-1 promoter via two ,NF-kappaB," sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T15,T16,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the ",VCAM-1, promoter via two NF-kappaB sites present at bp -72 and -57 in the ,VCAM-1," gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T15,T17,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the ",VCAM-1," promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the ",Tax,-induced expression of this adhesion molecule.,Not_a_complex
9343210,s7,T15,T23,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the ",VCAM-1, promoter via two ,NF-kappaB," sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T16,T17,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the ",VCAM-1," gene promoter, with both of them being required for the ",Tax,-induced expression of this adhesion molecule.,Not_a_complex
9343210,s7,T23,T16,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the VCAM-1 promoter via two ",NF-kappaB, sites present at bp -72 and -57 in the ,VCAM-1," gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T23,T17,"Furthermore, deletion and mutation analyses of the VCAM-1 promoter performed with chloramphenicol acetyltransferase constructs revealed that Tax was trans activating the VCAM-1 promoter via two ",NF-kappaB," sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the ",Tax,-induced expression of this adhesion molecule.,Not_a_complex
9343210,s8,T18,T19,"Finally, gel mobility shift assays demonstrated the nuclear translocation of proteins specifically bound to these two NF-kappaB motifs, confirming that ",VCAM-1, was induced on ,Tax,-expressing cells in a kappaB-dependent manner.,Not_a_complex
9343210,s8,T22,T18,"Finally, gel mobility shift assays demonstrated the nuclear translocation of proteins specifically bound to these two ",NF-kappaB," motifs, confirming that ",VCAM-1, was induced on Tax-expressing cells in a kappaB-dependent manner.,Not_a_complex
9343210,s8,T18,T24,"Finally, gel mobility shift assays demonstrated the nuclear translocation of proteins specifically bound to these two NF-kappaB motifs, confirming that ",VCAM-1, was induced on Tax-expressing cells in a ,kappaB,-dependent manner.,Not_a_complex
9343210,s8,T22,T19,"Finally, gel mobility shift assays demonstrated the nuclear translocation of proteins specifically bound to these two ",NF-kappaB," motifs, confirming that VCAM-1 was induced on ",Tax,-expressing cells in a kappaB-dependent manner.,Not_a_complex
9343210,s8,T19,T24,"Finally, gel mobility shift assays demonstrated the nuclear translocation of proteins specifically bound to these two NF-kappaB motifs, confirming that VCAM-1 was induced on ",Tax,-expressing cells in a ,kappaB,-dependent manner.,Not_a_complex
9343210,s8,T22,T24,"Finally, gel mobility shift assays demonstrated the nuclear translocation of proteins specifically bound to these two ",NF-kappaB," motifs, confirming that VCAM-1 was induced on Tax-expressing cells in a ",kappaB,-dependent manner.,Not_a_complex
9343210,s9,T20,T21,"Collectively, these results therefore suggest that the exclusive ",Tax,-induced expression of ,VCAM-1, on T cells may represent a pivotal event in the progression of HTLV-1-associated diseases.,Not_a_complex
