22192413_13,s0,T1,T2,"Next, we examined expression of ",Nkx2.5, and ,Tbx5, in E9 UTX-null and control littermate embryos using whole mount in situ hybridization analyses.,Not_a_complex
22192413_13,s4,T12,T13,"SRF, Tbx5, ",Nkx2.5, and ,GATA4,", alone or in combination, bind to their cognate sites in the ANF enhancer and activate its transcription.",Complex_formation
22192413_13,s4,T12,T14,"SRF, Tbx5, ",Nkx2.5," and GATA4, alone or in combination, bind to their cognate sites in the ",ANF, enhancer and activate its transcription.,Complex_formation
22192413_13,s4,T23,T12,,SRF,", Tbx5, ",Nkx2.5," and GATA4, alone or in combination, bind to their cognate sites in the ANF enhancer and activate its transcription.",Complex_formation
22192413_13,s4,T13,T14,"SRF, Tbx5, Nkx2.5 and ",GATA4,", alone or in combination, bind to their cognate sites in the ",ANF, enhancer and activate its transcription.,Complex_formation
22192413_13,s4,T23,T13,,SRF,", Tbx5, Nkx2.5 and ",GATA4,", alone or in combination, bind to their cognate sites in the ANF enhancer and activate its transcription.",Complex_formation
22192413_13,s4,T23,T14,,SRF,", Tbx5, Nkx2.5 and GATA4, alone or in combination, bind to their cognate sites in the ",ANF, enhancer and activate its transcription.,Complex_formation
22192413_13,s5,T15,T16,"In addition, ",Nkx2.5, and ,Tbx5, also activate expression of the ventricle-specific contractile protein MLC2v.,Not_a_complex
22192413_13,s5,T15,T17,"In addition, ",Nkx2.5, and Tbx5 also activate expression of the ventricle-specific contractile protein ,MLC2v,.,Not_a_complex
22192413_13,s5,T16,T17,"In addition, Nkx2.5 and ",Tbx5, also activate expression of the ventricle-specific contractile protein ,MLC2v,.,Not_a_complex
22192413_13,s7,T19,T20,"In addition, ",MLC2v, was also substantially decreased and the expression pattern of ,MLC2v, was severely altered in UTXDelta/Delta embryos (Fig. 3U-Z).,Not_a_complex
22192413_13,s8,T21,T22,"Together, our data establish that ",UTX, plays a crucial role in maintaining high levels of Nxk2.5 and ,Tbx5," expression and marked upregulation of heart-specific genes during embryonic development.
",Not_a_complex
22192413_13,s8,T21,T24,"Together, our data establish that ",UTX, plays a crucial role in maintaining high levels of ,Nxk2.5," and Tbx5 expression and marked upregulation of heart-specific genes during embryonic development.
",Not_a_complex
22192413_13,s8,T24,T22,"Together, our data establish that UTX plays a crucial role in maintaining high levels of ",Nxk2.5, and ,Tbx5," expression and marked upregulation of heart-specific genes during embryonic development.
",Not_a_complex
