8196620,s0,T1,T2,Lipopolysaccharide induction of tissue factor gene expression in monocytic cells is mediated by binding of ,c-Rel,/,p65," heterodimers to a kappa B-like site. 
",Complex_formation
8196620,s8,T40,T29,Functional studies indicated that the TF site conferred ,LPS, inducibility on a heterologous promoter and was transactivated by c-Rel or ,p65,.,Not_a_complex
8196620,s9,T30,T31,"Taken together, our results demonstrated that binding of ",c-Rel,/,p65, heterodimers to a novel kappa B-like site mediated LPS induction of TF gene expression in monocytic cells.,Complex_formation
8196620,s9,T30,T32,"Taken together, our results demonstrated that binding of ",c-Rel,/p65 heterodimers to a novel kappa B-like site mediated LPS induction of ,TF, gene expression in monocytic cells.,Not_a_complex
8196620,s9,T30,T41,"Taken together, our results demonstrated that binding of ",c-Rel,/p65 heterodimers to a novel ,kappa B,-like site mediated LPS induction of TF gene expression in monocytic cells.,Not_a_complex
8196620,s9,T30,T42,"Taken together, our results demonstrated that binding of ",c-Rel,/p65 heterodimers to a novel kappa B-like site mediated ,LPS, induction of TF gene expression in monocytic cells.,Not_a_complex
8196620,s9,T31,T32,"Taken together, our results demonstrated that binding of c-Rel/",p65, heterodimers to a novel kappa B-like site mediated LPS induction of ,TF, gene expression in monocytic cells.,Not_a_complex
8196620,s9,T31,T41,"Taken together, our results demonstrated that binding of c-Rel/",p65, heterodimers to a novel ,kappa B,-like site mediated LPS induction of TF gene expression in monocytic cells.,Not_a_complex
8196620,s9,T31,T42,"Taken together, our results demonstrated that binding of c-Rel/",p65, heterodimers to a novel kappa B-like site mediated ,LPS, induction of TF gene expression in monocytic cells.,Not_a_complex
8196620,s9,T41,T32,"Taken together, our results demonstrated that binding of c-Rel/p65 heterodimers to a novel ",kappa B,-like site mediated LPS induction of ,TF, gene expression in monocytic cells.,Not_a_complex
8196620,s9,T42,T32,"Taken together, our results demonstrated that binding of c-Rel/p65 heterodimers to a novel kappa B-like site mediated ",LPS, induction of ,TF, gene expression in monocytic cells.,Not_a_complex
8196620,s9,T41,T42,"Taken together, our results demonstrated that binding of c-Rel/p65 heterodimers to a novel ",kappa B,-like site mediated ,LPS, induction of TF gene expression in monocytic cells.,Not_a_complex
