7843230,s0,T37,T1,Biphasic control of ,nuclear factor-kappa B, activation by the T cell receptor complex: role of ,tumor necrosis factor alpha,". 
",Not_a_complex
7843230,s7,T14,T15,"Interestingly, all those early and late events, but not the immediate ones, were inhibited by a neutralizing anti-",tumor necrosis factor alpha, (,TNF-alpha,) monoclonal antibody.,Not_a_complex
7843230,s8,T16,T17,"Similarly, cycloheximide prevented the ",p65, and ,c-rel," translocation and consequent formation of active binding heterodimers, at early and late times.",Not_a_complex
7843230,s10,T33,T34,These results indicate that the regulation of NF-kappa B activation during T cell activation by ,TcR,/,CD3," signals is biphasic: TcR/CD3 triggers its immediate translocation, which is transient if no TNF-alpha is present.",Complex_formation
7843230,s10,T35,T36,These results indicate that the regulation of NF-kappa B activation during T cell activation by TcR/CD3 signals is biphasic: ,TcR,/,CD3," triggers its immediate translocation, which is transient if no TNF-alpha is present.",Complex_formation
7843230,s10,T31,T19,These results indicate that the regulation of ,NF-kappa B," activation during T cell activation by TcR/CD3 signals is biphasic: TcR/CD3 triggers its immediate translocation, which is transient if no ",TNF-alpha, is present.,Not_a_complex
7843230,s10,T33,T19,These results indicate that the regulation of NF-kappa B activation during T cell activation by ,TcR,"/CD3 signals is biphasic: TcR/CD3 triggers its immediate translocation, which is transient if no ",TNF-alpha, is present.,Not_a_complex
7843230,s10,T34,T19,These results indicate that the regulation of NF-kappa B activation during T cell activation by TcR/,CD3," signals is biphasic: TcR/CD3 triggers its immediate translocation, which is transient if no ",TNF-alpha, is present.,Not_a_complex
7843230,s10,T35,T19,These results indicate that the regulation of NF-kappa B activation during T cell activation by TcR/CD3 signals is biphasic: ,TcR,"/CD3 triggers its immediate translocation, which is transient if no ",TNF-alpha, is present.,Not_a_complex
7843230,s10,T36,T19,These results indicate that the regulation of NF-kappa B activation during T cell activation by TcR/CD3 signals is biphasic: TcR/,CD3," triggers its immediate translocation, which is transient if no ",TNF-alpha, is present.,Not_a_complex
7843230,s10,T31,T33,These results indicate that the regulation of ,NF-kappa B, activation during T cell activation by ,TcR,"/CD3 signals is biphasic: TcR/CD3 triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s10,T31,T34,These results indicate that the regulation of ,NF-kappa B, activation during T cell activation by TcR/,CD3," signals is biphasic: TcR/CD3 triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s10,T31,T35,These results indicate that the regulation of ,NF-kappa B, activation during T cell activation by TcR/CD3 signals is biphasic: ,TcR,"/CD3 triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s10,T31,T36,These results indicate that the regulation of ,NF-kappa B, activation during T cell activation by TcR/CD3 signals is biphasic: TcR/,CD3," triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s10,T33,T35,These results indicate that the regulation of NF-kappa B activation during T cell activation by ,TcR,/CD3 signals is biphasic: ,TcR,"/CD3 triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s10,T33,T36,These results indicate that the regulation of NF-kappa B activation during T cell activation by ,TcR,/CD3 signals is biphasic: TcR/,CD3," triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s10,T34,T35,These results indicate that the regulation of NF-kappa B activation during T cell activation by TcR/,CD3, signals is biphasic: ,TcR,"/CD3 triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s10,T34,T36,These results indicate that the regulation of NF-kappa B activation during T cell activation by TcR/,CD3, signals is biphasic: TcR/,CD3," triggers its immediate translocation, which is transient if no TNF-alpha is present.",Not_a_complex
7843230,s11,T20,T21,,TNF-alpha,", therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of ",p65," and c-rel, and new mRNA synthesis for c-rel and p105/p50.",Not_a_complex
7843230,s11,T20,T22,,TNF-alpha,", therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and ",c-rel,", and new mRNA synthesis for c-rel and p105/p50.",Not_a_complex
7843230,s11,T20,T23,,TNF-alpha,", therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for ",c-rel, and p105/p50.,Not_a_complex
7843230,s11,T20,T24,,TNF-alpha,", therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and ",p105,/p50.,Not_a_complex
7843230,s11,T20,T25,,TNF-alpha,", therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and p105/",p50,.,Not_a_complex
7843230,s11,T20,T32,,TNF-alpha,", therefore, emerges as the main factor responsible for a second phase of ",NF-kappa B," regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and p105/p50.",Not_a_complex
7843230,s11,T21,T22,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of ",p65, and ,c-rel,", and new mRNA synthesis for c-rel and p105/p50.",Not_a_complex
7843230,s11,T21,T23,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of ",p65," and c-rel, and new mRNA synthesis for ",c-rel, and p105/p50.,Not_a_complex
7843230,s11,T21,T24,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of ",p65," and c-rel, and new mRNA synthesis for c-rel and ",p105,/p50.,Not_a_complex
7843230,s11,T21,T25,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of ",p65," and c-rel, and new mRNA synthesis for c-rel and p105/",p50,.,Not_a_complex
7843230,s11,T32,T21,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of ",NF-kappa B," regulation, controlling both translocation of ",p65," and c-rel, and new mRNA synthesis for c-rel and p105/p50.",Not_a_complex
7843230,s11,T22,T23,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and ",c-rel,", and new mRNA synthesis for ",c-rel, and p105/p50.,Not_a_complex
7843230,s11,T22,T24,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and ",c-rel,", and new mRNA synthesis for c-rel and ",p105,/p50.,Not_a_complex
7843230,s11,T22,T25,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and ",c-rel,", and new mRNA synthesis for c-rel and p105/",p50,.,Not_a_complex
7843230,s11,T32,T22,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of ",NF-kappa B," regulation, controlling both translocation of p65 and ",c-rel,", and new mRNA synthesis for c-rel and p105/p50.",Not_a_complex
7843230,s11,T23,T24,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for ",c-rel, and ,p105,/p50.,Not_a_complex
7843230,s11,T23,T25,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for ",c-rel, and p105/,p50,.,Not_a_complex
7843230,s11,T32,T23,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of ",NF-kappa B," regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for ",c-rel, and p105/p50.,Not_a_complex
7843230,s11,T24,T25,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and ",p105,/,p50,.,Not_a_complex
7843230,s11,T32,T24,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of ",NF-kappa B," regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and ",p105,/p50.,Not_a_complex
7843230,s11,T32,T25,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of ",NF-kappa B," regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and p105/",p50,.,Not_a_complex
