26317213_16,s3,T17,T10,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,"-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T18,T10,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the ",PPIase, activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ,AtCyp19,"-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T10,T19,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,-3 for ,CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T10,T20,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,-3 for CsA. Inhibition constant (ki) for ,CsA," was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T10,T21,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [,CsA,"]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T10,T22,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,"-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given ",CsA," concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T10,T23,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,"-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of ",CsA,". The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T15,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A, (,CsA,"), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T16,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T17,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T18,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, FK506, on the ",PPIase," activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T19,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T20,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for ",CsA," was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T21,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [",CsA,"]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T22,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given ",CsA," concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T14,T23,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of ",CsA,". The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T16,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T17,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T18,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, FK506, on the ",PPIase," activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T19,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T20,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for ",CsA," was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T21,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [",CsA,"]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T22,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given ",CsA," concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T23,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of ",CsA,". The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T17,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T18,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, FK506, on the ",PPIase," activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T19,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T20,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for ",CsA," was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T21,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [",CsA,"]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T22,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given ",CsA," concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T23,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of ",CsA,". The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T17,T18,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, ",FK506,", on the ",PPIase," activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T17,T19,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T17,T20,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for ",CsA," was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T17,T21,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [",CsA,"]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T17,T22,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given ",CsA," concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T17,T23,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, ",FK506,", on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of ",CsA,". The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T18,T19,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the ",PPIase, activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ,CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T18,T20,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the ",PPIase, activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for ,CsA," was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T18,T21,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the ",PPIase, activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [,CsA,"]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T18,T22,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the ",PPIase," activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given ",CsA," concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T18,T23,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the ",PPIase," activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of ",CsA,". The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T19,T20,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,. Inhibition constant (ki) for ,CsA," was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T19,T21,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [,CsA,"]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T19,T22,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given ",CsA," concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T19,T23,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of AtCyp19-3 for ",CsA,". Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of ",CsA,". The slope of the line represents the ki.
",Not_a_complex
