22940692,s1,T1,T12,Endocrine release of ,insulin, principally controls ,glucose, homeostasis.,Not_a_complex
22940692,s5,T7,T23,Yet surprisingly ,AKAP150, null animals display improved ,glucose, handling and heightened insulin sensitivity in skeletal muscle.,Not_a_complex
22940692,s5,T7,T24,Yet surprisingly ,AKAP150, null animals display improved glucose handling and heightened ,insulin, sensitivity in skeletal muscle.,Not_a_complex
22940692,s6,T8,T26,More refined analyses of ,AKAP150, knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of ,phosphatases, to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes.,Complex_formation
22940692,s6,T25,T26,More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or ,protein phosphatase 2B, uncover an unexpected observation that tethering of ,phosphatases, to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes.,Not_a_complex
22940692,s6,T8,T25,More refined analyses of ,AKAP150, knock-in mice unable to anchor protein kinase A or ,protein phosphatase 2B, uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes.,Not_a_complex
22940692,s6,T8,T9,More refined analyses of ,AKAP150, knock-in mice unable to anchor ,protein kinase A, or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes.,Not_a_complex
22940692,s6,T9,T25,More refined analyses of AKAP150 knock-in mice unable to anchor ,protein kinase A, or ,protein phosphatase 2B, uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes.,Not_a_complex
22940692,s6,T9,T26,More refined analyses of AKAP150 knock-in mice unable to anchor ,protein kinase A, or protein phosphatase 2B uncover an unexpected observation that tethering of ,phosphatases, to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes.,Not_a_complex
22940692,s7,T10,T11,Thus anchored signalling events that facilitate ,insulin, secretion and glucose homeostasis may be set by ,AKAP150," associated phosphatase activity. 
",Not_a_complex
22940692,s7,T10,T27,Thus anchored signalling events that facilitate ,insulin, secretion and ,glucose," homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s7,T10,T28,Thus anchored signalling events that facilitate ,insulin, secretion and glucose homeostasis may be set by AKAP150 associated ,phosphatase," activity. 
",Not_a_complex
22940692,s7,T27,T11,Thus anchored signalling events that facilitate insulin secretion and ,glucose, homeostasis may be set by ,AKAP150," associated phosphatase activity. 
",Not_a_complex
22940692,s7,T11,T28,Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by ,AKAP150, associated ,phosphatase," activity. 
",Not_a_complex
22940692,s7,T27,T28,Thus anchored signalling events that facilitate insulin secretion and ,glucose, homeostasis may be set by AKAP150 associated ,phosphatase," activity. 
",Not_a_complex
