24186360,s0,T31,T1,Counteracting neuronal ,nitric oxide, synthase proteasomal degradation improves glucose transport in ,insulin,"-resistant skeletal muscle from Zucker fa/fa rats. 
",Not_a_complex
24186360,s2,T27,T5,Catalytic activity of the muscle-specific isoform of neuronal nitric oxide synthase (nNOS) also participates in the regulation of ,glucose, transport and appears to be decreased in a relevant animal model of drastic ,insulin," resistance, the obese Zucker fa/fa rat.",Not_a_complex
24186360,s4,T28,T6,"METHODS: Isolated rat muscles and primary cultures of myocytes were used for western blot analysis of protein expression, immunohistochemistry, ",glucose, uptake measurements and ,GLUT4, translocation assays.,Not_a_complex
24186360,s6,T24,T33,This was caused by increased ubiquitination of the enzyme and subsequent degradation by the ,ubiquitin, ,proteasome, pathway.,Not_a_complex
24186360,s7,T18,T15,The degradation occurred through a greater interaction of ,nNOS, with the chaperone ,heat-shock protein 70," and the co-chaperone, carboxyl terminus of Hsc70-interacting protein (CHIP).",Complex_formation
24186360,s7,T18,T7,The degradation occurred through a greater interaction of ,nNOS," with the chaperone heat-shock protein 70 and the co-chaperone, carboxyl terminus of ",Hsc70-interacting protein, (CHIP).,Complex_formation
24186360,s7,T18,T8,The degradation occurred through a greater interaction of ,nNOS," with the chaperone heat-shock protein 70 and the co-chaperone, carboxyl terminus of Hsc70-interacting protein (",CHIP,).,Complex_formation
24186360,s7,T15,T7,The degradation occurred through a greater interaction of nNOS with the chaperone ,heat-shock protein 70," and the co-chaperone, carboxyl terminus of ",Hsc70-interacting protein, (CHIP).,Not_a_complex
24186360,s7,T7,T8,"The degradation occurred through a greater interaction of nNOS with the chaperone heat-shock protein 70 and the co-chaperone, carboxyl terminus of ",Hsc70-interacting protein, (,CHIP,).,Not_a_complex
24186360,s7,T15,T8,The degradation occurred through a greater interaction of nNOS with the chaperone ,heat-shock protein 70," and the co-chaperone, carboxyl terminus of Hsc70-interacting protein (",CHIP,).,Not_a_complex
24186360,s9,T10,T11,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or ,insulin,-stimulated glucose uptake and ,GLUT4, translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T10,T12,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or ,insulin,-stimulated glucose uptake and GLUT4 translocation in primary cultures of ,insulin,-resistant myocytes.,Not_a_complex
24186360,s9,T21,T10,We confirmed the implication of ,nNOS, breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or ,insulin,-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T22,T10,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of ,nNOS, improved basal and/or ,insulin,-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T29,T10,We confirmed the implication of nNOS breakdown in defective insulin-induced ,glucose, transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or ,insulin,-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T10,T30,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or ,insulin,-stimulated ,glucose, uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T11,T12,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and ,GLUT4, translocation in primary cultures of ,insulin,-resistant myocytes.,Not_a_complex
24186360,s9,T21,T11,We confirmed the implication of ,nNOS, breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and ,GLUT4, translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T22,T11,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of ,nNOS, improved basal and/or insulin-stimulated glucose uptake and ,GLUT4, translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T29,T11,We confirmed the implication of nNOS breakdown in defective insulin-induced ,glucose, transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and ,GLUT4, translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T30,T11,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated ,glucose, uptake and ,GLUT4, translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T21,T12,We confirmed the implication of ,nNOS, breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of ,insulin,-resistant myocytes.,Not_a_complex
24186360,s9,T22,T12,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of ,nNOS, improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of ,insulin,-resistant myocytes.,Not_a_complex
24186360,s9,T29,T12,We confirmed the implication of nNOS breakdown in defective insulin-induced ,glucose, transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of ,insulin,-resistant myocytes.,Not_a_complex
24186360,s9,T30,T12,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated ,glucose, uptake and GLUT4 translocation in primary cultures of ,insulin,-resistant myocytes.,Not_a_complex
24186360,s9,T21,T22,We confirmed the implication of ,nNOS, breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of ,nNOS, improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T21,T29,We confirmed the implication of ,nNOS, breakdown in defective insulin-induced ,glucose, transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T21,T30,We confirmed the implication of ,nNOS, breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated ,glucose, uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T29,T22,We confirmed the implication of nNOS breakdown in defective insulin-induced ,glucose, transport by demonstrating that blockade of proteasomal degradation or overexpression of ,nNOS, improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T22,T30,We confirmed the implication of nNOS breakdown in defective insulin-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of ,nNOS, improved basal and/or insulin-stimulated ,glucose, uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T29,T30,We confirmed the implication of nNOS breakdown in defective insulin-induced ,glucose, transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated ,glucose, uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T9,T10,We confirmed the implication of nNOS breakdown in defective ,insulin,-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or ,insulin,-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T9,T11,We confirmed the implication of nNOS breakdown in defective ,insulin,-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and ,GLUT4, translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T9,T12,We confirmed the implication of nNOS breakdown in defective ,insulin,-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of ,insulin,-resistant myocytes.,Not_a_complex
24186360,s9,T21,T9,We confirmed the implication of ,nNOS, breakdown in defective ,insulin,-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T9,T22,We confirmed the implication of nNOS breakdown in defective ,insulin,-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of ,nNOS, improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T9,T29,We confirmed the implication of nNOS breakdown in defective ,insulin,-induced ,glucose, transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated glucose uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s9,T9,T30,We confirmed the implication of nNOS breakdown in defective ,insulin,-induced glucose transport by demonstrating that blockade of proteasomal degradation or overexpression of nNOS improved basal and/or insulin-stimulated ,glucose, uptake and GLUT4 translocation in primary cultures of insulin-resistant myocytes.,Not_a_complex
24186360,s10,T13,T14,CONCLUSIONS/INTERPRETATION: Recovery of nNOS in ,insulin,-resistant muscles should be considered a potential new approach to address ,insulin," resistance. 
",Not_a_complex
24186360,s10,T23,T13,CONCLUSIONS/INTERPRETATION: Recovery of ,nNOS, in ,insulin,"-resistant muscles should be considered a potential new approach to address insulin resistance. 
",Not_a_complex
24186360,s10,T23,T14,CONCLUSIONS/INTERPRETATION: Recovery of ,nNOS, in insulin-resistant muscles should be considered a potential new approach to address ,insulin," resistance. 
",Not_a_complex
