18586671_2,s1,T2,T21,"In animal models of arthritis, ",TSG-6, protects against joint damage; this has been attributed to its inhibitory effects on neutrophil migration and ,plasmin, activity.,Not_a_complex
18586671_2,s6,T13,T15,Interaction analysis revealed that ,TSG-6, binds directly to RANKL and to ,BMP-2, (as well as other osteogenic BMPs but not BMP-3) via composite surfaces involving its Link and CUB modules.,Complex_formation
18586671_2,s6,T13,T23,Interaction analysis revealed that ,TSG-6, binds directly to RANKL and to BMP-2 (as well as other ,osteogenic BMPs, but not BMP-3) via composite surfaces involving its Link and CUB modules.,Complex_formation
18586671_2,s6,T13,T22,Interaction analysis revealed that ,TSG-6, binds directly to RANKL and to BMP-2 (as well as other osteogenic BMPs but not ,BMP-3,) via composite surfaces involving its Link and CUB modules.,Not_a_complex
18586671_2,s6,T14,T15,Interaction analysis revealed that TSG-6 binds directly to ,RANKL, and to ,BMP-2, (as well as other osteogenic BMPs but not BMP-3) via composite surfaces involving its Link and CUB modules.,Not_a_complex
18586671_2,s6,T14,T22,Interaction analysis revealed that TSG-6 binds directly to ,RANKL, and to BMP-2 (as well as other osteogenic BMPs but not ,BMP-3,) via composite surfaces involving its Link and CUB modules.,Not_a_complex
18586671_2,s6,T14,T23,Interaction analysis revealed that TSG-6 binds directly to ,RANKL, and to BMP-2 (as well as other ,osteogenic BMPs, but not BMP-3) via composite surfaces involving its Link and CUB modules.,Not_a_complex
18586671_2,s6,T15,T22,Interaction analysis revealed that TSG-6 binds directly to RANKL and to ,BMP-2, (as well as other osteogenic BMPs but not ,BMP-3,) via composite surfaces involving its Link and CUB modules.,Not_a_complex
18586671_2,s6,T15,T23,Interaction analysis revealed that TSG-6 binds directly to RANKL and to ,BMP-2, (as well as other ,osteogenic BMPs, but not BMP-3) via composite surfaces involving its Link and CUB modules.,Not_a_complex
18586671_2,s6,T23,T22,Interaction analysis revealed that TSG-6 binds directly to RANKL and to BMP-2 (as well as other ,osteogenic BMPs, but not ,BMP-3,) via composite surfaces involving its Link and CUB modules.,Not_a_complex
18586671_2,s8,T17,T19,We hypothesize that ,TSG-6," has dual roles in bone remodeling; one protective, where it inhibits RANKL-induced bone erosion in inflammatory diseases such as arthritis, and the other homeostatic, where its interactions with ",BMP-2," and RANKL help to balance mineralization by osteoblasts and bone resorption by osteoclasts.
",Complex_formation
18586671_2,s8,T17,T20,We hypothesize that ,TSG-6," has dual roles in bone remodeling; one protective, where it inhibits RANKL-induced bone erosion in inflammatory diseases such as arthritis, and the other homeostatic, where its interactions with BMP-2 and ",RANKL," help to balance mineralization by osteoblasts and bone resorption by osteoclasts.
",Complex_formation
18586671_2,s8,T17,T18,We hypothesize that ,TSG-6," has dual roles in bone remodeling; one protective, where it inhibits ",RANKL,"-induced bone erosion in inflammatory diseases such as arthritis, and the other homeostatic, where its interactions with BMP-2 and RANKL help to balance mineralization by osteoblasts and bone resorption by osteoclasts.
",Not_a_complex
18586671_2,s8,T18,T19,"We hypothesize that TSG-6 has dual roles in bone remodeling; one protective, where it inhibits ",RANKL,"-induced bone erosion in inflammatory diseases such as arthritis, and the other homeostatic, where its interactions with ",BMP-2," and RANKL help to balance mineralization by osteoblasts and bone resorption by osteoclasts.
",Not_a_complex
18586671_2,s8,T18,T20,"We hypothesize that TSG-6 has dual roles in bone remodeling; one protective, where it inhibits ",RANKL,"-induced bone erosion in inflammatory diseases such as arthritis, and the other homeostatic, where its interactions with BMP-2 and ",RANKL," help to balance mineralization by osteoblasts and bone resorption by osteoclasts.
",Not_a_complex
18586671_2,s8,T19,T20,"We hypothesize that TSG-6 has dual roles in bone remodeling; one protective, where it inhibits RANKL-induced bone erosion in inflammatory diseases such as arthritis, and the other homeostatic, where its interactions with ",BMP-2, and ,RANKL," help to balance mineralization by osteoblasts and bone resorption by osteoclasts.
",Not_a_complex
