19706536,s0,T1,T2,Phosphorylation of ,CARMA1, by ,HPK1," is critical for NF-kappaB activation in T cells. 
",Not_a_complex
19706536,s9,T20,T37,"In addition, CARMA1 S551A or S5549A/S551A point mutants failed to restore ",HPK1,-mediated and TCR-mediated ,NF-kappaB, activation and IL-2 expression in CARMA1-deficient T cells.,Not_a_complex
19706536,s9,T21,T22,"In addition, CARMA1 S551A or S5549A/S551A point mutants failed to restore HPK1-mediated and TCR-mediated NF-kappaB activation and ",IL-2, expression in ,CARMA1,-deficient T cells.,Not_a_complex
19706536,s9,T36,T21,"In addition, CARMA1 S551A or S5549A/S551A point mutants failed to restore HPK1-mediated and ",TCR,-mediated NF-kappaB activation and ,IL-2, expression in CARMA1-deficient T cells.,Not_a_complex
19706536,s9,T37,T21,"In addition, CARMA1 S551A or S5549A/S551A point mutants failed to restore HPK1-mediated and TCR-mediated ",NF-kappaB, activation and ,IL-2, expression in CARMA1-deficient T cells.,Not_a_complex
19706536,s9,T36,T22,"In addition, CARMA1 S551A or S5549A/S551A point mutants failed to restore HPK1-mediated and ",TCR,-mediated NF-kappaB activation and IL-2 expression in ,CARMA1,-deficient T cells.,Not_a_complex
19706536,s9,T37,T22,"In addition, CARMA1 S551A or S5549A/S551A point mutants failed to restore HPK1-mediated and TCR-mediated ",NF-kappaB, activation and IL-2 expression in ,CARMA1,-deficient T cells.,Not_a_complex
19706536,s9,T36,T37,"In addition, CARMA1 S551A or S5549A/S551A point mutants failed to restore HPK1-mediated and ",TCR,-mediated ,NF-kappaB, activation and IL-2 expression in CARMA1-deficient T cells.,Not_a_complex
19706536,s10,T23,T24,"Thus, we identify ",HPK1, as a kinase specific for ,CARMA1," and suggest HPK1-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the NF-kappaB response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T23,T25,"Thus, we identify ",HPK1, as a kinase specific for CARMA1 and suggest ,HPK1,"-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the NF-kappaB response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T23,T26,"Thus, we identify ",HPK1, as a kinase specific for CARMA1 and suggest HPK1-mediated phosphorylation of ,CARMA1," as an additional regulatory mechanism tuning the NF-kappaB response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T23,T38,"Thus, we identify ",HPK1, as a kinase specific for CARMA1 and suggest HPK1-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the ,NF-kappaB," response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T23,T39,"Thus, we identify ",HPK1, as a kinase specific for CARMA1 and suggest HPK1-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the NF-kappaB response upon ,TCR," stimulation. 
",Not_a_complex
19706536,s10,T24,T25,"Thus, we identify HPK1 as a kinase specific for ",CARMA1, and suggest ,HPK1,"-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the NF-kappaB response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T24,T26,"Thus, we identify HPK1 as a kinase specific for ",CARMA1, and suggest HPK1-mediated phosphorylation of ,CARMA1," as an additional regulatory mechanism tuning the NF-kappaB response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T24,T38,"Thus, we identify HPK1 as a kinase specific for ",CARMA1, and suggest HPK1-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the ,NF-kappaB," response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T24,T39,"Thus, we identify HPK1 as a kinase specific for ",CARMA1, and suggest HPK1-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the NF-kappaB response upon ,TCR," stimulation. 
",Not_a_complex
19706536,s10,T25,T26,"Thus, we identify HPK1 as a kinase specific for CARMA1 and suggest ",HPK1,-mediated phosphorylation of ,CARMA1," as an additional regulatory mechanism tuning the NF-kappaB response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T25,T38,"Thus, we identify HPK1 as a kinase specific for CARMA1 and suggest ",HPK1,-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the ,NF-kappaB," response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T25,T39,"Thus, we identify HPK1 as a kinase specific for CARMA1 and suggest ",HPK1,-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the NF-kappaB response upon ,TCR," stimulation. 
",Not_a_complex
19706536,s10,T26,T38,"Thus, we identify HPK1 as a kinase specific for CARMA1 and suggest HPK1-mediated phosphorylation of ",CARMA1, as an additional regulatory mechanism tuning the ,NF-kappaB," response upon TCR stimulation. 
",Not_a_complex
19706536,s10,T26,T39,"Thus, we identify HPK1 as a kinase specific for CARMA1 and suggest HPK1-mediated phosphorylation of ",CARMA1, as an additional regulatory mechanism tuning the NF-kappaB response upon ,TCR," stimulation. 
",Not_a_complex
19706536,s10,T38,T39,"Thus, we identify HPK1 as a kinase specific for CARMA1 and suggest HPK1-mediated phosphorylation of CARMA1 as an additional regulatory mechanism tuning the ",NF-kappaB, response upon ,TCR," stimulation. 
",Not_a_complex
