28330605_15,s0,T6,T7,"As an integral subunit of the proteasome complex, ",Rpn1, associates with several neighboring subunits in the ,19S,.,Complex_formation
28330605_15,s2,T10,T12,From current cryoEM-derived ,proteasome, models (PDB ,4cr2,"), Rpn1 is situated peripherally on the 19S RP touching two AAA ATPase subunits Rpt1 and Rpt2 (Figure S3).",Not_a_complex
28330605_15,s2,T10,T13,From current cryoEM-derived ,proteasome," models (PDB 4cr2), Rpn1 is situated peripherally on the ",19S, RP touching two AAA ATPase subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T10,T14,From current cryoEM-derived ,proteasome," models (PDB 4cr2), Rpn1 is situated peripherally on the 19S RP touching two ",AAA ATPase, subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T12,T11,From current cryoEM-derived proteasome models (PDB ,4cr2,"), ",Rpn1, is situated peripherally on the 19S RP touching two AAA ATPase subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T11,T13,"From current cryoEM-derived proteasome models (PDB 4cr2), ",Rpn1, is situated peripherally on the ,19S, RP touching two AAA ATPase subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T11,T14,"From current cryoEM-derived proteasome models (PDB 4cr2), ",Rpn1, is situated peripherally on the 19S RP touching two ,AAA ATPase, subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T12,T13,From current cryoEM-derived proteasome models (PDB ,4cr2,"), Rpn1 is situated peripherally on the ",19S, RP touching two AAA ATPase subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T12,T14,From current cryoEM-derived proteasome models (PDB ,4cr2,"), Rpn1 is situated peripherally on the 19S RP touching two ",AAA ATPase, subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T13,T14,"From current cryoEM-derived proteasome models (PDB 4cr2), Rpn1 is situated peripherally on the ",19S, RP touching two ,AAA ATPase, subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T10,T2,From current cryoEM-derived ,proteasome," models (PDB 4cr2), Rpn1 is situated peripherally on the 19S RP touching two AAA ATPase subunits Rpt1 and ",Rpt2, (Figure S3).,Not_a_complex
28330605_15,s2,T11,T2,"From current cryoEM-derived proteasome models (PDB 4cr2), ",Rpn1, is situated peripherally on the 19S RP touching two AAA ATPase subunits Rpt1 and ,Rpt2, (Figure S3).,Not_a_complex
28330605_15,s2,T12,T2,From current cryoEM-derived proteasome models (PDB ,4cr2,"), Rpn1 is situated peripherally on the 19S RP touching two AAA ATPase subunits Rpt1 and ",Rpt2, (Figure S3).,Not_a_complex
28330605_15,s2,T13,T2,"From current cryoEM-derived proteasome models (PDB 4cr2), Rpn1 is situated peripherally on the ",19S, RP touching two AAA ATPase subunits Rpt1 and ,Rpt2, (Figure S3).,Not_a_complex
28330605_15,s2,T14,T2,"From current cryoEM-derived proteasome models (PDB 4cr2), Rpn1 is situated peripherally on the 19S RP touching two ",AAA ATPase, subunits Rpt1 and ,Rpt2, (Figure S3).,Not_a_complex
28330605_15,s3,T15,T16,"Not surprisingly, most evolutionary conserved residues on the surface of ",Rpn1, identified with the ConSurf server contacted neighboring subunits Rpt1 and Rpt2 when incorporated into the ,proteasome,", although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).",Not_a_complex
28330605_15,s3,T15,T17,"Not surprisingly, most evolutionary conserved residues on the surface of ",Rpn1," identified with the ConSurf server contacted neighboring subunits Rpt1 and Rpt2 when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other ",proteasome, subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T15,T18,"Not surprisingly, most evolutionary conserved residues on the surface of ",Rpn1," identified with the ConSurf server contacted neighboring subunits Rpt1 and Rpt2 when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between ",Rpn1, sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T16,T17,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits Rpt1 and Rpt2 when incorporated into the ",proteasome,", although a few exposed residues that are not in direct contact with any other ",proteasome, subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T16,T18,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits Rpt1 and Rpt2 when incorporated into the ",proteasome,", although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between ",Rpn1, sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T17,T18,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits Rpt1 and Rpt2 when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other ",proteasome, subunit are also highly conserved between ,Rpn1, sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T15,T3,"Not surprisingly, most evolutionary conserved residues on the surface of ",Rpn1, identified with the ConSurf server contacted neighboring subunits ,Rpt1," and Rpt2 when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).",Not_a_complex
28330605_15,s3,T3,T16,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits ",Rpt1, and Rpt2 when incorporated into the ,proteasome,", although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).",Not_a_complex
28330605_15,s3,T3,T17,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits ",Rpt1," and Rpt2 when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other ",proteasome, subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T3,T18,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits ",Rpt1," and Rpt2 when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between ",Rpn1, sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T3,T4,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits ",Rpt1, and ,Rpt2," when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).",Not_a_complex
28330605_15,s3,T15,T4,"Not surprisingly, most evolutionary conserved residues on the surface of ",Rpn1, identified with the ConSurf server contacted neighboring subunits Rpt1 and ,Rpt2," when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).",Not_a_complex
28330605_15,s3,T4,T16,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits Rpt1 and ",Rpt2, when incorporated into the ,proteasome,", although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).",Not_a_complex
28330605_15,s3,T4,T17,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits Rpt1 and ",Rpt2," when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other ",proteasome, subunit are also highly conserved between Rpn1 sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s3,T4,T18,"Not surprisingly, most evolutionary conserved residues on the surface of Rpn1 identified with the ConSurf server contacted neighboring subunits Rpt1 and ",Rpt2," when incorporated into the proteasome, although a few exposed residues that are not in direct contact with any other proteasome subunit are also highly conserved between ",Rpn1, sequences across eukaryotes (Figure S3).,Not_a_complex
28330605_15,s4,T19,T20,By focusing on ,Rpn1, (chain Z in PDB ,4cr2,") and its two nearest neighbors, it becomes apparent that half of the PC toroid (see previous paragraph) is solvent-exposed suitably positioned to serve as a docking station for substrates or substrate-shuttles possibly explaining the presence of highly conserved exposed residues (Figure 4F, S3).
",Not_a_complex
