9199898,s0,T24,T23,,S-allyl cysteine, inhibits activation of ,nuclear factor kappa B," in human T cells. 
",Not_a_complex
9199898,s5,T10,T14,SAC consistently exhibited a dose-dependent inhibition of ,NF-kappa B, activation induced by both TNF-alpha and ,H2O2,.,Not_a_complex
9199898,s5,T21,T10,,SAC, consistently exhibited a dose-dependent inhibition of ,NF-kappa B, activation induced by both TNF-alpha and H2O2.,Not_a_complex
9199898,s5,T21,T14,,SAC, consistently exhibited a dose-dependent inhibition of NF-kappa B activation induced by both TNF-alpha and ,H2O2,.,Not_a_complex
9199898,s5,T10,T3,SAC consistently exhibited a dose-dependent inhibition of ,NF-kappa B, activation induced by both ,TNF-alpha, and H2O2.,Not_a_complex
9199898,s5,T3,T14,SAC consistently exhibited a dose-dependent inhibition of NF-kappa B activation induced by both ,TNF-alpha, and ,H2O2,.,Not_a_complex
9199898,s5,T21,T3,,SAC, consistently exhibited a dose-dependent inhibition of NF-kappa B activation induced by both ,TNF-alpha, and H2O2.,Not_a_complex
9199898,s6,T4,T5,Supershift with specific antibodies to NF-kappa B subunits confirmed that the inducible retarded bands observed in the EMSA and ,p65,-,p50, heterodimer of the NF-kappa B/Rel protein.,Complex_formation
9199898,s6,T11,T12,Supershift with specific antibodies to ,NF-kappa B, subunits confirmed that the inducible retarded bands observed in the EMSA and p65-p50 heterodimer of the ,NF-kappa B/Rel, protein.,Not_a_complex
9199898,s6,T11,T4,Supershift with specific antibodies to ,NF-kappa B, subunits confirmed that the inducible retarded bands observed in the EMSA and ,p65,-p50 heterodimer of the NF-kappa B/Rel protein.,Not_a_complex
9199898,s6,T4,T12,Supershift with specific antibodies to NF-kappa B subunits confirmed that the inducible retarded bands observed in the EMSA and ,p65,-p50 heterodimer of the ,NF-kappa B/Rel, protein.,Not_a_complex
9199898,s6,T11,T5,Supershift with specific antibodies to ,NF-kappa B, subunits confirmed that the inducible retarded bands observed in the EMSA and p65-,p50, heterodimer of the NF-kappa B/Rel protein.,Not_a_complex
9199898,s6,T5,T12,Supershift with specific antibodies to NF-kappa B subunits confirmed that the inducible retarded bands observed in the EMSA and p65-,p50, heterodimer of the ,NF-kappa B/Rel, protein.,Not_a_complex
9199898,s7,T22,T13,Our data suggest that ,SAC, may act via antioxidant mechanisms to block ,NF-kappa B, activation in Jurkat cells.,Not_a_complex
