11340081,s0,T24,T25,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the N-WASP-",Arp2,/,3," pathway. 
",Complex_formation
11340081,s3,T12,T31,We show here that ,Nck, SH3 domains dramatically stimulate the rate of nucleation of actin filaments by purified N-WASP in the presence of Arp2/,3, in vitro.,Not_a_complex
11340081,s3,T29,T13,We show here that Nck SH3 domains dramatically stimulate the rate of nucleation of ,actin, filaments by purified ,N-WASP, in the presence of Arp2/3 in vitro.,Not_a_complex
11340081,s3,T13,T30,We show here that Nck SH3 domains dramatically stimulate the rate of nucleation of actin filaments by purified ,N-WASP, in the presence of ,Arp2,/3 in vitro.,Not_a_complex
11340081,s3,T13,T31,We show here that Nck SH3 domains dramatically stimulate the rate of nucleation of actin filaments by purified ,N-WASP, in the presence of Arp2/,3, in vitro.,Not_a_complex
11340081,s3,T29,T30,We show here that Nck SH3 domains dramatically stimulate the rate of nucleation of ,actin, filaments by purified N-WASP in the presence of ,Arp2,/3 in vitro.,Not_a_complex
11340081,s3,T29,T31,We show here that Nck SH3 domains dramatically stimulate the rate of nucleation of ,actin, filaments by purified N-WASP in the presence of Arp2/,3, in vitro.,Not_a_complex
11340081,s5,T16,T33,Nck-stimulated actin nucleation by ,N-WASP,.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Complex_formation
11340081,s5,T16,T34,Nck-stimulated actin nucleation by ,N-WASP,.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Complex_formation
11340081,s5,T42,T17,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,-,Cdc42,", suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Complex_formation
11340081,s5,T33,T34,Nck-stimulated actin nucleation by N-WASP.,Arp2,/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Complex_formation
11340081,s5,T15,T16,,Nck,-stimulated actin nucleation by ,N-WASP,".Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T15,T17,,Nck,"-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T15,T18,,Nck,"-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T15,T19,,Nck,"-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T15,T20,,Nck,"-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T15,T32,,Nck,-stimulated ,actin," nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T15,T33,,Nck,-stimulated actin nucleation by N-WASP.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T15,T34,,Nck,-stimulated actin nucleation by N-WASP.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T15,T39,,Nck,-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T15,T42,,Nck,"-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T16,T17,Nck-stimulated actin nucleation by ,N-WASP,".Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T16,T18,Nck-stimulated actin nucleation by ,N-WASP,".Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T16,T19,Nck-stimulated actin nucleation by ,N-WASP,".Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T16,T20,Nck-stimulated actin nucleation by ,N-WASP,".Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T32,T16,Nck-stimulated ,actin, nucleation by ,N-WASP,".Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T16,T39,Nck-stimulated actin nucleation by ,N-WASP,.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T16,T42,Nck-stimulated actin nucleation by ,N-WASP,".Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T17,T18,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T17,T19,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T17,T20,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T32,T17,Nck-stimulated ,actin," nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T33,T17,Nck-stimulated actin nucleation by N-WASP.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T34,T17,Nck-stimulated actin nucleation by N-WASP.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-",Cdc42,", suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T39,T17,Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-",Cdc42,", suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T18,T19,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that ",Nck, and ,Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T18,T20,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that ",Nck, and Cdc42 activate ,N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T32,T18,Nck-stimulated ,actin," nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T33,T18,Nck-stimulated actin nucleation by N-WASP.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T34,T18,Nck-stimulated actin nucleation by N-WASP.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T39,T18,Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T42,T18,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that ",Nck, and Cdc42 activate N-WASP by redundant mechanisms.,Not_a_complex
