7929104,s0,T1,T29,Regulation of ,interleukin-2 receptor alpha chain, expression and ,nuclear factor.kappa B, activation by protein kinase C in T lymphocytes.,Not_a_complex
7929104,s3,T33,T10,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T34,T10,Treatment of human resting T cells with ,phorbol esters," strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T35,T10,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.,p65, or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T28,T11,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as ",p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T33,T11,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as ",p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T34,T11,Treatment of human resting T cells with ,phorbol esters," strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as ",p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T35,T11,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as ,p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T28,T12,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.",c-Rel, heterodimers.,Not_a_complex
7929104,s3,T33,T12,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.",c-Rel, heterodimers.,Not_a_complex
7929104,s3,T34,T12,Treatment of human resting T cells with ,phorbol esters," strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.",c-Rel, heterodimers.,Not_a_complex
7929104,s3,T35,T12,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as p50.,c-Rel, heterodimers.,Not_a_complex
7929104,s3,T33,T28,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T34,T28,Treatment of human resting T cells with ,phorbol esters, strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T28,T35,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T34,T33,Treatment of human resting T cells with ,phorbol esters, strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T33,T35,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T34,T35,Treatment of human resting T cells with ,phorbol esters," strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T5,T10,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha," and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T5,T11,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha," and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as ",p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T5,T12,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha," and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.",c-Rel, heterodimers.,Not_a_complex
7929104,s3,T5,T28,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha, and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T5,T33,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha, and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T34,T5,Treatment of human resting T cells with ,phorbol esters, strongly induced the expression of ,IL-2R alpha," and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T5,T35,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha," and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T5,T6,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha, and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T5,T7,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha, and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T5,T8,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha," and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T5,T9,Treatment of human resting T cells with phorbol esters strongly induced the expression of ,IL-2R alpha," and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T6,T10,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T6,T11,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as ",p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T6,T12,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.",c-Rel, heterodimers.,Not_a_complex
7929104,s3,T6,T28,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65, and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T33,T6,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T34,T6,Treatment of human resting T cells with ,phorbol esters, strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T6,T35,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T6,T7,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65, and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T6,T8,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T6,T9,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of ,p65," and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T7,T10,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T7,T11,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as ",p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T7,T12,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.",c-Rel, heterodimers.,Not_a_complex
7929104,s3,T7,T28,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel, ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T33,T7,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T34,T7,Treatment of human resting T cells with ,phorbol esters, strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.",Not_a_complex
7929104,s3,T7,T35,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T7,T8,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T7,T9,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and ,c-Rel," NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T8,T10,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.,p65, or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T8,T11,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as ,p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T8,T12,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as p50.,c-Rel, heterodimers.,Not_a_complex
7929104,s3,T28,T8,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T33,T8,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T34,T8,Treatment of human resting T cells with ,phorbol esters," strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T35,T8,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the ,IL-2R alpha, promoter either as p50.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T8,T9,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the ",IL-2R alpha, promoter either as ,p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T9,T11,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as ,p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T9,T12,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as p50.,c-Rel, heterodimers.,Not_a_complex
7929104,s3,T28,T9,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T33,T9,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of ,NF.kappa B,". This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T34,T9,Treatment of human resting T cells with ,phorbol esters," strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s3,T35,T9,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the ",kappa B, sequence of the IL-2R alpha promoter either as ,p50,.p65 or as p50.c-Rel heterodimers.,Not_a_complex
7929104,s4,T13,T14,"Interestingly, all of those events were largely indirect and mediated by endogenously secreted ",tumor necrosis factor alpha, (,TNF alpha,"), as they were strongly inhibited by a neutralizing anti-TNF alpha monoclonal antibody.",Not_a_complex
7929104,s4,T13,T15,"Interestingly, all of those events were largely indirect and mediated by endogenously secreted ",tumor necrosis factor alpha," (TNF alpha), as they were strongly inhibited by a neutralizing anti-",TNF alpha, monoclonal antibody.,Not_a_complex
7929104,s4,T14,T15,"Interestingly, all of those events were largely indirect and mediated by endogenously secreted tumor necrosis factor alpha (",TNF alpha,"), as they were strongly inhibited by a neutralizing anti-",TNF alpha, monoclonal antibody.,Not_a_complex
7929104,s5,T16,T17,"Furthermore, cyclosporin A, which blocked ",TNF alpha," production induced by PKC, strongly inhibited ",IL-2R alpha, and NF.kappa B activation.,Not_a_complex
7929104,s5,T16,T26,"Furthermore, cyclosporin A, which blocked ",TNF alpha, production induced by ,PKC,", strongly inhibited IL-2R alpha and NF.kappa B activation.",Not_a_complex
7929104,s5,T36,T16,"Furthermore, ",cyclosporin A,", which blocked ",TNF alpha," production induced by PKC, strongly inhibited IL-2R alpha and NF.kappa B activation.",Not_a_complex
7929104,s5,T16,T37,"Furthermore, cyclosporin A, which blocked ",TNF alpha," production induced by PKC, strongly inhibited IL-2R alpha and ",NF.kappa B, activation.,Not_a_complex
7929104,s5,T26,T17,"Furthermore, cyclosporin A, which blocked TNF alpha production induced by ",PKC,", strongly inhibited ",IL-2R alpha, and NF.kappa B activation.,Not_a_complex
7929104,s5,T36,T17,"Furthermore, ",cyclosporin A,", which blocked TNF alpha production induced by PKC, strongly inhibited ",IL-2R alpha, and NF.kappa B activation.,Not_a_complex
