26686640_10,s0,T1,T2,,Mcm10,", as the most enigmatic essential firing factor, has been proposed to participate in a novel step during CMG activation and origin unwinding through ",Mcm10, depletion in yeast and Xenopus.,Not_a_complex
26686640_10,s5,T20,T8,The cellular Mcm10 protein was barely detectable after incubation in ,galactose," for 1h and shifting to 37degreesC in the presence of auxin for another 2h (Figure 2C, lane 4), leading to cell death in the absence of WT ",Mcm10, (Figure S2B).,Not_a_complex
26686640_10,s5,T21,T8,The cellular Mcm10 protein was barely detectable after incubation in galactose for 1h and shifting to 37degreesC in the presence of ,auxin," for another 2h (Figure 2C, lane 4), leading to cell death in the absence of WT ",Mcm10, (Figure S2B).,Not_a_complex
26686640_10,s6,T10,T22,"Strikingly, under such an efficient Mcm10 depletion condition, the ratio of untagged ",Mcm2, to ,Mcm2,"-GFP in the GFP-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T10,T23,"Strikingly, under such an efficient Mcm10 depletion condition, the ratio of untagged ",Mcm2, to Mcm2-,GFP," in the GFP-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T10,T24,"Strikingly, under such an efficient Mcm10 depletion condition, the ratio of untagged ",Mcm2, to Mcm2-GFP in the ,GFP,"-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T22,T23,"Strikingly, under such an efficient Mcm10 depletion condition, the ratio of untagged Mcm2 to ",Mcm2,-,GFP," in the GFP-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T22,T24,"Strikingly, under such an efficient Mcm10 depletion condition, the ratio of untagged Mcm2 to ",Mcm2,-GFP in the ,GFP,"-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T23,T24,"Strikingly, under such an efficient Mcm10 depletion condition, the ratio of untagged Mcm2 to Mcm2-",GFP, in the ,GFP,"-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T9,T10,"Strikingly, under such an efficient ",Mcm10," depletion condition, the ratio of untagged ",Mcm2," to Mcm2-GFP in the GFP-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T9,T22,"Strikingly, under such an efficient ",Mcm10," depletion condition, the ratio of untagged Mcm2 to ",Mcm2,"-GFP in the GFP-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T9,T23,"Strikingly, under such an efficient ",Mcm10," depletion condition, the ratio of untagged Mcm2 to Mcm2-",GFP," in the GFP-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s6,T9,T24,"Strikingly, under such an efficient ",Mcm10," depletion condition, the ratio of untagged Mcm2 to Mcm2-GFP in the ",GFP,"-trap remained almost constant after being released from alpha-factor into S phase for 120 min, indicating a failure in separation of MCM DHs (Figure 2D, upper panel and 2E, Figure S2C).",Not_a_complex
26686640_10,s8,T12,T13,"In contrast, if WT ",Mcm10," was expressed from a plasmid in the same strain, the untagged ",Mcm2," in precipitates decreased quickly upon S phase entry (Figure 2D, lower panel and 2E, Figure S2C), indicating efficient DH separation.",Not_a_complex
