10228026,s0,T1,T2,,Thrombin,-induced ,p65," homodimer binding to downstream NF-kappa B site of the promoter mediates endothelial ICAM-1 expression and neutrophil adhesion. 
",Not_a_complex
10228026,s3,T34,T12,"Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream ",NF-kappa B, site (-223 bases from the translation start site) prevented the activation of ,ICAM-1," promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T12,T35,"Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ",ICAM-1," promoter, indicating that the downstream ",NF-kappa B, site is critical for thrombin inducibility.,Not_a_complex
10228026,s3,T33,T13,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream ,NF-kappa B," site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for ",thrombin, inducibility.,Not_a_complex
10228026,s3,T34,T13,"Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream ",NF-kappa B," site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for ",thrombin, inducibility.,Not_a_complex
10228026,s3,T35,T13,"Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream ",NF-kappa B, site is critical for ,thrombin, inducibility.,Not_a_complex
10228026,s3,T33,T34,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream ,NF-kappa B," site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream ",NF-kappa B," site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T33,T35,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream ,NF-kappa B," site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream ",NF-kappa B, site is critical for thrombin inducibility.,Not_a_complex
10228026,s3,T34,T35,"Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream ",NF-kappa B," site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream ",NF-kappa B, site is critical for thrombin inducibility.,Not_a_complex
10228026,s4,T14,T15,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus ,E1B, promoter-luciferase gene were exposed to ,thrombin,", indicating that activation of NF-kappa B was essential for thrombin response.",Not_a_complex
10228026,s4,T14,T16,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus ,E1B," promoter-luciferase gene were exposed to thrombin, indicating that activation of NF-kappa B was essential for ",thrombin, response.,Not_a_complex
10228026,s4,T14,T30,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus ,E1B," promoter-luciferase gene were exposed to thrombin, indicating that activation of ",NF-kappa B, was essential for thrombin response.,Not_a_complex
10228026,s4,T31,T14,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus ,NF-kappa B, site linked to a minimal adenovirus ,E1B," promoter-luciferase gene were exposed to thrombin, indicating that activation of NF-kappa B was essential for thrombin response.",Not_a_complex
10228026,s4,T36,T14,,NF-kappa B,-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus ,E1B," promoter-luciferase gene were exposed to thrombin, indicating that activation of NF-kappa B was essential for thrombin response.",Not_a_complex
10228026,s4,T15,T16,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to ,thrombin,", indicating that activation of NF-kappa B was essential for ",thrombin, response.,Not_a_complex
10228026,s4,T15,T30,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to ,thrombin,", indicating that activation of ",NF-kappa B, was essential for thrombin response.,Not_a_complex
10228026,s4,T31,T15,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus ,NF-kappa B, site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to ,thrombin,", indicating that activation of NF-kappa B was essential for thrombin response.",Not_a_complex
10228026,s4,T36,T15,,NF-kappa B,-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to ,thrombin,", indicating that activation of NF-kappa B was essential for thrombin response.",Not_a_complex
10228026,s4,T30,T16,"NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to thrombin, indicating that activation of ",NF-kappa B, was essential for ,thrombin, response.,Not_a_complex
10228026,s4,T31,T16,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus ,NF-kappa B," site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to thrombin, indicating that activation of NF-kappa B was essential for ",thrombin, response.,Not_a_complex
10228026,s4,T36,T16,,NF-kappa B,"-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to thrombin, indicating that activation of NF-kappa B was essential for ",thrombin, response.,Not_a_complex
10228026,s4,T31,T30,NF-kappa B-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus ,NF-kappa B," site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to thrombin, indicating that activation of ",NF-kappa B, was essential for thrombin response.,Not_a_complex
10228026,s4,T36,T30,,NF-kappa B,"-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus NF-kappa B site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to thrombin, indicating that activation of ",NF-kappa B, was essential for thrombin response.,Not_a_complex
10228026,s4,T36,T31,,NF-kappa B,-directed luciferase activity increased approximately 3-fold when cells transfected with the plasmid pNF-kappa BLUC containing five copies of consensus ,NF-kappa B," site linked to a minimal adenovirus E1B promoter-luciferase gene were exposed to thrombin, indicating that activation of NF-kappa B was essential for thrombin response.",Not_a_complex
10228026,s5,T17,T18,Gel supershift assays demonstrated that ,thrombin, induced binding of ,NF-kappa Bp65, (Rel A) to downstream NF-kappa B site of the ICAM-1 promoter.,Not_a_complex
10228026,s5,T17,T19,Gel supershift assays demonstrated that ,thrombin, induced binding of NF-kappa Bp65 (,Rel A,) to downstream NF-kappa B site of the ICAM-1 promoter.,Not_a_complex
10228026,s5,T17,T20,Gel supershift assays demonstrated that ,thrombin, induced binding of NF-kappa Bp65 (Rel A) to downstream NF-kappa B site of the ,ICAM-1, promoter.,Not_a_complex
10228026,s5,T17,T37,Gel supershift assays demonstrated that ,thrombin, induced binding of NF-kappa Bp65 (Rel A) to downstream ,NF-kappa B, site of the ICAM-1 promoter.,Not_a_complex
10228026,s5,T18,T19,Gel supershift assays demonstrated that thrombin induced binding of ,NF-kappa Bp65, (,Rel A,) to downstream NF-kappa B site of the ICAM-1 promoter.,Not_a_complex
10228026,s5,T18,T20,Gel supershift assays demonstrated that thrombin induced binding of ,NF-kappa Bp65, (Rel A) to downstream NF-kappa B site of the ,ICAM-1, promoter.,Not_a_complex
10228026,s5,T18,T37,Gel supershift assays demonstrated that thrombin induced binding of ,NF-kappa Bp65, (Rel A) to downstream ,NF-kappa B, site of the ICAM-1 promoter.,Not_a_complex
10228026,s5,T19,T20,Gel supershift assays demonstrated that thrombin induced binding of NF-kappa Bp65 (,Rel A,) to downstream NF-kappa B site of the ,ICAM-1, promoter.,Not_a_complex
10228026,s5,T19,T37,Gel supershift assays demonstrated that thrombin induced binding of NF-kappa Bp65 (,Rel A,) to downstream ,NF-kappa B, site of the ICAM-1 promoter.,Not_a_complex
10228026,s5,T37,T20,Gel supershift assays demonstrated that thrombin induced binding of NF-kappa Bp65 (Rel A) to downstream ,NF-kappa B, site of the ,ICAM-1, promoter.,Not_a_complex
10228026,s6,T21,T22,,Thrombin receptor," activation peptide, a 14-amino-acid peptide representing the new NH2 terminus of ",proteolytically activated receptor-1,", mimicked thrombin's action in inducing ICAM-1 expression.",Not_a_complex
10228026,s6,T21,T23,,Thrombin receptor," activation peptide, a 14-amino-acid peptide representing the new NH2 terminus of proteolytically activated receptor-1, mimicked ",thrombin,'s action in inducing ICAM-1 expression.,Not_a_complex
10228026,s6,T21,T24,,Thrombin receptor," activation peptide, a 14-amino-acid peptide representing the new NH2 terminus of proteolytically activated receptor-1, mimicked thrombin's action in inducing ",ICAM-1, expression.,Not_a_complex
10228026,s6,T22,T23,"Thrombin receptor activation peptide, a 14-amino-acid peptide representing the new NH2 terminus of ",proteolytically activated receptor-1,", mimicked ",thrombin,'s action in inducing ICAM-1 expression.,Not_a_complex
10228026,s6,T22,T24,"Thrombin receptor activation peptide, a 14-amino-acid peptide representing the new NH2 terminus of ",proteolytically activated receptor-1,", mimicked thrombin's action in inducing ",ICAM-1, expression.,Not_a_complex
10228026,s6,T23,T24,"Thrombin receptor activation peptide, a 14-amino-acid peptide representing the new NH2 terminus of proteolytically activated receptor-1, mimicked ",thrombin,'s action in inducing ,ICAM-1, expression.,Not_a_complex
10228026,s7,T25,T26,These data indicate that ,thrombin, activates endothelial ,ICAM-1, expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream NF-kappa B site of ICAM-1 promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T25,T27,These data indicate that ,thrombin, activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by ,NF-kappa Bp65, binding to the downstream NF-kappa B site of ICAM-1 promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T25,T28,These data indicate that ,thrombin, activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream NF-kappa B site of ,ICAM-1, promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T25,T29,These data indicate that ,thrombin, activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream NF-kappa B site of ICAM-1 promoter after ,proteolytically activated receptor-1, activation.,Not_a_complex
10228026,s7,T25,T38,These data indicate that ,thrombin, activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream ,NF-kappa B, site of ICAM-1 promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T26,T27,These data indicate that thrombin activates endothelial ,ICAM-1, expression and polymorphonuclear leukocyte adhesion by ,NF-kappa Bp65, binding to the downstream NF-kappa B site of ICAM-1 promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T26,T28,These data indicate that thrombin activates endothelial ,ICAM-1, expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream NF-kappa B site of ,ICAM-1, promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T26,T29,These data indicate that thrombin activates endothelial ,ICAM-1, expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream NF-kappa B site of ICAM-1 promoter after ,proteolytically activated receptor-1, activation.,Not_a_complex
10228026,s7,T26,T38,These data indicate that thrombin activates endothelial ,ICAM-1, expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream ,NF-kappa B, site of ICAM-1 promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T27,T28,These data indicate that thrombin activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by ,NF-kappa Bp65, binding to the downstream NF-kappa B site of ,ICAM-1, promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T27,T29,These data indicate that thrombin activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by ,NF-kappa Bp65, binding to the downstream NF-kappa B site of ICAM-1 promoter after ,proteolytically activated receptor-1, activation.,Not_a_complex
10228026,s7,T27,T38,These data indicate that thrombin activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by ,NF-kappa Bp65, binding to the downstream ,NF-kappa B, site of ICAM-1 promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T28,T29,These data indicate that thrombin activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream NF-kappa B site of ,ICAM-1, promoter after ,proteolytically activated receptor-1, activation.,Not_a_complex
10228026,s7,T38,T28,These data indicate that thrombin activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream ,NF-kappa B, site of ,ICAM-1, promoter after proteolytically activated receptor-1 activation.,Not_a_complex
10228026,s7,T38,T29,These data indicate that thrombin activates endothelial ICAM-1 expression and polymorphonuclear leukocyte adhesion by NF-kappa Bp65 binding to the downstream ,NF-kappa B, site of ICAM-1 promoter after ,proteolytically activated receptor-1, activation.,Not_a_complex
