22371489,s0,T15,T1,Identification of ,ubiquitin-specific protease 9X, (,USP9X,") as a deubiquitinase acting on ubiquitin-peroxin 5 (PEX5) thioester conjugate. 
",Not_a_complex
22371489,s4,T9,T10,We have previously shown that the ubiquitin-PEX5 thioester conjugate (Ub-,PEX5,") released into the cytosol can be efficiently disrupted by physiological concentrations of glutathione, raising the possibility that a fraction of Ub-",PEX5, is nonenzymatically deubiquitinated in vivo.,Not_a_complex
22371489,s4,T17,T9,We have previously shown that the ,ubiquitin,-PEX5 thioester conjugate (Ub-,PEX5,") released into the cytosol can be efficiently disrupted by physiological concentrations of glutathione, raising the possibility that a fraction of Ub-PEX5 is nonenzymatically deubiquitinated in vivo.",Not_a_complex
22371489,s4,T20,T9,We have previously shown that the ubiquitin-PEX5 thioester conjugate (,Ub,-,PEX5,") released into the cytosol can be efficiently disrupted by physiological concentrations of glutathione, raising the possibility that a fraction of Ub-PEX5 is nonenzymatically deubiquitinated in vivo.",Not_a_complex
22371489,s4,T9,T21,We have previously shown that the ubiquitin-PEX5 thioester conjugate (Ub-,PEX5,") released into the cytosol can be efficiently disrupted by physiological concentrations of glutathione, raising the possibility that a fraction of ",Ub,-PEX5 is nonenzymatically deubiquitinated in vivo.,Not_a_complex
22371489,s5,T22,T11,"However, data suggesting that ",Ub,-,PEX5, is also a target of a deubiquitinase were also obtained in that work.,Not_a_complex
22371489,s7,T12,T13,Our results suggest that ubiquitin-specific protease 9X (,USP9X,) is by far the most active deubiquitinase acting on Ub-,PEX5,", both in female rat liver and HeLa cells.",Not_a_complex
22371489,s7,T16,T12,Our results suggest that ,ubiquitin-specific protease 9X, (,USP9X,") is by far the most active deubiquitinase acting on Ub-PEX5, both in female rat liver and HeLa cells.",Not_a_complex
22371489,s7,T12,T19,Our results suggest that ubiquitin-specific protease 9X (,USP9X,) is by far the most active deubiquitinase acting on ,Ub,"-PEX5, both in female rat liver and HeLa cells.",Not_a_complex
22371489,s7,T16,T13,Our results suggest that ,ubiquitin-specific protease 9X, (USP9X) is by far the most active deubiquitinase acting on Ub-,PEX5,", both in female rat liver and HeLa cells.",Not_a_complex
22371489,s7,T19,T13,Our results suggest that ubiquitin-specific protease 9X (USP9X) is by far the most active deubiquitinase acting on ,Ub,-,PEX5,", both in female rat liver and HeLa cells.",Not_a_complex
22371489,s7,T16,T19,Our results suggest that ,ubiquitin-specific protease 9X, (USP9X) is by far the most active deubiquitinase acting on ,Ub,"-PEX5, both in female rat liver and HeLa cells.",Not_a_complex
