9812988,s0,T1,T17,,Bcl3,", an ",IkappaB," protein, as a novel transcription coactivator of the retinoid X receptor. 
",Not_a_complex
9812988,s7,T30,T31,"Bcl3 specifically interacted with the general transcription factors TFIIB, TBP, and TFIIA but not with ",TFIIEalpha, in the ,GST, pull-down assays.,Not_a_complex
9812988,s7,T8,T30,,Bcl3," specifically interacted with the general transcription factors TFIIB, TBP, and TFIIA but not with ",TFIIEalpha, in the GST pull-down assays.,Not_a_complex
9812988,s7,T8,T31,,Bcl3," specifically interacted with the general transcription factors TFIIB, TBP, and TFIIA but not with TFIIEalpha in the ",GST, pull-down assays.,Not_a_complex
9812988,s7,T9,T10,Bcl3 specifically interacted with the general transcription factors ,TFIIB,", ",TBP,", and TFIIA but not with TFIIEalpha in the GST pull-down assays.",Not_a_complex
9812988,s7,T9,T29,Bcl3 specifically interacted with the general transcription factors ,TFIIB,", TBP, and ",TFIIA, but not with TFIIEalpha in the GST pull-down assays.,Not_a_complex
9812988,s7,T9,T30,Bcl3 specifically interacted with the general transcription factors ,TFIIB,", TBP, and TFIIA but not with ",TFIIEalpha, in the GST pull-down assays.,Not_a_complex
9812988,s7,T9,T31,Bcl3 specifically interacted with the general transcription factors ,TFIIB,", TBP, and TFIIA but not with TFIIEalpha in the ",GST, pull-down assays.,Not_a_complex
9812988,s8,T11,T12,,TBP," and TFIIA, however, were not able to interact with ",IkappaBbeta,.,Not_a_complex
9812988,s8,T11,T32,,TBP, and ,TFIIA,", however, were not able to interact with IkappaBbeta.",Not_a_complex
9812988,s8,T32,T12,TBP and ,TFIIA,", however, were not able to interact with ",IkappaBbeta,.,Not_a_complex
9812988,s9,T13,T14,"Accordingly, ",Bcl3," coactivated the 9-cis-RA-induced transactivations of RXR, in contrast to the inhibitory actions of ",IkappaBbeta,.,Not_a_complex
9812988,s9,T13,T33,"Accordingly, ",Bcl3, coactivated the ,9-cis-RA,"-induced transactivations of RXR, in contrast to the inhibitory actions of IkappaBbeta.",Not_a_complex
9812988,s9,T13,T34,"Accordingly, ",Bcl3, coactivated the 9-cis-RA-induced transactivations of ,RXR,", in contrast to the inhibitory actions of IkappaBbeta.",Not_a_complex
9812988,s9,T33,T14,"Accordingly, Bcl3 coactivated the ",9-cis-RA,"-induced transactivations of RXR, in contrast to the inhibitory actions of ",IkappaBbeta,.,Not_a_complex
9812988,s9,T34,T14,"Accordingly, Bcl3 coactivated the 9-cis-RA-induced transactivations of ",RXR,", in contrast to the inhibitory actions of ",IkappaBbeta,.,Not_a_complex
9812988,s9,T33,T34,"Accordingly, Bcl3 coactivated the ",9-cis-RA,-induced transactivations of ,RXR,", in contrast to the inhibitory actions of IkappaBbeta.",Not_a_complex
9812988,s10,T15,T16,"In addition, coexpression of SRC-1 but not ",p300, further stimulated the ,Bcl3,-mediated enhancement of the 9-cis-RA-induced transactivations of RXR.,Not_a_complex
9812988,s10,T35,T15,"In addition, coexpression of ",SRC-1, but not ,p300, further stimulated the Bcl3-mediated enhancement of the 9-cis-RA-induced transactivations of RXR.,Not_a_complex
9812988,s10,T15,T36,"In addition, coexpression of SRC-1 but not ",p300, further stimulated the Bcl3-mediated enhancement of the ,9-cis-RA,-induced transactivations of RXR.,Not_a_complex
9812988,s10,T15,T37,"In addition, coexpression of SRC-1 but not ",p300, further stimulated the Bcl3-mediated enhancement of the 9-cis-RA-induced transactivations of ,RXR,.,Not_a_complex
9812988,s10,T35,T16,"In addition, coexpression of ",SRC-1, but not p300 further stimulated the ,Bcl3,-mediated enhancement of the 9-cis-RA-induced transactivations of RXR.,Not_a_complex
9812988,s10,T16,T36,"In addition, coexpression of SRC-1 but not p300 further stimulated the ",Bcl3,-mediated enhancement of the ,9-cis-RA,-induced transactivations of RXR.,Not_a_complex
9812988,s10,T16,T37,"In addition, coexpression of SRC-1 but not p300 further stimulated the ",Bcl3,-mediated enhancement of the 9-cis-RA-induced transactivations of ,RXR,.,Not_a_complex
9812988,s10,T35,T36,"In addition, coexpression of ",SRC-1, but not p300 further stimulated the Bcl3-mediated enhancement of the ,9-cis-RA,-induced transactivations of RXR.,Not_a_complex
9812988,s10,T35,T37,"In addition, coexpression of ",SRC-1, but not p300 further stimulated the Bcl3-mediated enhancement of the 9-cis-RA-induced transactivations of ,RXR,.,Not_a_complex
9812988,s10,T36,T37,"In addition, coexpression of SRC-1 but not p300 further stimulated the Bcl3-mediated enhancement of the ",9-cis-RA,-induced transactivations of ,RXR,.,Not_a_complex
9812988,s11,T38,T39,These results suggest that distinct ,IkappaB, proteins differentially modulate the ,9-cis-RA,"-induced transactivations of RXR in vivo. 
",Not_a_complex
9812988,s11,T38,T40,These results suggest that distinct ,IkappaB, proteins differentially modulate the 9-cis-RA-induced transactivations of ,RXR," in vivo. 
",Not_a_complex
9812988,s11,T39,T40,These results suggest that distinct IkappaB proteins differentially modulate the ,9-cis-RA,-induced transactivations of ,RXR," in vivo. 
",Not_a_complex
