10773617	T19	dis	hypoperfusion with subsequent acute renal failure (ARF). The case of a 65-year-old patient with congestive heart failure who developed acute renal failure following the first dose of captopril is described. He required hemodialysis for 8 weeks for the improvement of his renal function and urinary output. The renal biopsy confirmed the presence of acute tubular necrosis. The reversibility of captopril-induced ARF is confirmed and the patient made an uneventful recovery. An immunoallergic mechanism is not thought to have been responsible for this adverse effect. It is advised that caution should be exerted in giving ACE inhibitors to elderly patients with 	congestive heart failure	, particularly if they are on diuretics. Routine biochemical monitoring is suggested before and during captopril therapy. DOCEND
9986744	T67	out	choroid of retinal degeneration (rd)-mice was studied in correlation with photoreceptor changes. Three weeks to 26-month-old animals were investigated using light and transmission electron microscopy, enzyme histochemistry and quantitative morphology. Changes in the choriocapillaris (CC) were additionally studied by scanning electron microscopy of corrosion cast preparations. In 3-week-old mice, in which most of the outer segments of photoreceptors in the central portion of the retina had disappeared but remnants of the cells were still present, the RPE was enlarged and showed elongated microvilli. In 8-week-old animals, the photoreceptors were completely absent in large areas of the posterior pole region. In 	these areas	 the RPE was also completely lost. Quantitative evaluation performed in histological serial sections showed that loss of RPE measured as length of RPE-free Bruch's membrane, continuously increased up to the age of 20 months. In 8-week-old animals, CC adjacent to degenerating RPE showed loss of fenestration. In 10-week-old animals, the CC disappeared in those areas where the RPE was already lacking. The loss of CC increased with increasing age and in 20-month-old animals 5-10% of the entire CC was lacking. Loss of the related arterioles and nicotinamide adenine dinucleotide phosphate diaphorase (NADPH-d)-positive nerve fibers occurred only in approximately 2-year-old rd-mice.
18516408	T1	org	DOCSTART Freeze-drying as an alternative method of 	human	 sclera preservation. PURPOSE: To compare the effect of preserving sclera samples in either 95% ethanol or freeze-dried. METHODS: Ninety-six samples of human sclera were studied. Half of them were freeze-dried and half preserved in 95% ethanol. Preservation periods of 18, 45, 90 or 174 days were studied. Automated immunostaining was carried out in the Ventana BenchMarkR LT platform using collagen 1 and fibronectin antibodies. Histological staining was also performed with hematoxilin-eosin and Masson trichrome. Samples were classified according to the degree of collagen fiber parallelism (0-2), intensity of Masson staining (0-2), and the expression of both antibodies (0-3). Friedman and
2823483	T38	out	DOCSTART [Molecular drift of rotavirus during attenuation]. The genome structure and polypeptide composition of a rotavirus virion isolated from piglets is described. Proteins p90 and p38 were localized in the external capsid of the virion, and the group-specific antigen of rotaviruses, protein p42, in the internal capsid. Minor polypeptides p116, p98, and p92 were associated with 	the virus core	. A scheme of the structure of porcine rotavirus virion is proposed on the basis of the virion ultrastructure and localization of viral proteins in the capsid. Attention is drawn to the fact that the "wild" strain of swine rotavirus which is virulent for piglets differed in electrophoretic mobility of at least 3 segments of virus genome from the same strain which had undergone 70 passages in cell culture. The virus with altered RNA-segments showed no virulence. The change in the molecular weight of the RNA-segment 4 correlated with the change in polypeptide p90 coded for by it. In the authors'
24246056	T10	org	DOCSTART Evidence for a role of proteins, lipids, and phytochemicals in the prevention of polycystic kidney disease progression and severity. Polycystic kidney disease (PKD) is a heritable disease characterized by renal cysts and is a leading cause of end-stage renal disease. Dietary intervention offers a potentially efficacious, cost-effective, and safe therapeutic option for PKD. The aim of this article was to review studies investigating the effect of dietary components on PKD and potential mechanisms of action. Low-protein diets are commonly recommended for PKD patients, but inconsistent findings in 	human	 and animal PKD studies suggest that the type rather the amount of protein may be of greater importance. Dietary soy protein has been shown to have renal protective effects in various animal models of PKD. Other than dietary proteins, studies investigating the role of the amount and type of dietary lipids on PKD progression are increasing. The omega-3 polyunsaturated fatty acids can alter multiple steps in PKD pathogenesis. Phytoestrogens and phytochemicals are other dietary compounds shown to attenuate cyst pathogenesis in animal studies. A better understanding of the role of nutrition in PKD can contribute to the development of dietary
20110767	T3	org	DOCSTART Molecular-weight-dependent toxic effects of chitosans on the human keratinocyte cell line HaCaT. The cationic polysaccharide chitosan possesses bioactive properties such as antimicrobial activity, antitumor effects, hemostatic assets and positive effects on wound healing. The influence of polycations like chitosan on 	human	 cells has been reported to depend on their molecular weight. However, the mechanism of cytotoxicity caused by polycations is not yet fully understood. In the study presented, the influence of two chitosans with a similar degree of deacetylation but different molecular weight, chitosan 1130 (120 kDa) and chitosan oligosaccharide (5 kDa), on the human keratinocyte cell line HaCaT was analyzed. The results obtained indicate that chitosans exhibit a molecular-weight-dependent negative effect on HaCaT cell viability and proliferation in vitro. The chitosans tested also stimulated the release of inflammatory cytokines by HaCaT cells depending on incubation time and concentration. Chitosan 1130
11737842	T23	out	DOCSTART Extent and speed of spread of HIV infection in India through the commercial sex networks: a perspective. India has the world's highest number of HIV/AIDS infections for any country outside Africa. 	Eighty-five per cent	 of HIV transmission in India occurs through heterosexual contact. One billion population, a large number of female sex workers, high prevalence of sexually transmitted infection (STIs) and low condom use make a potent combination for explosive growth of the epidemic. Taking available estimates of the number of female sex workers (FSWs), their work patterns, prevalence of HIV and STIs and condom use among them in 1999 as the base, and adopting reasonable infectivity rates, this paper attempts to present a model to estimate the spread of HIV infection in commercial sex networks until 2005. HIV infections in commercial sex networks
29262741	T9	che	DOCSTART Liposomal co-delivery-based quantitative evaluation of chemosensitivity enhancement in breast cancer stem cells by knockdown of GRP78/CLU. Resistance to chemotherapy is a key factor in the inefficacy of various forms of treatments for cancer. In the present study, chemo-resistant proteins, including 	glucose	-regulated protein 78 (GRP78)/clusterin (CLU) targeted 1,2-dioleoyloxy-3-trimethylammoniumpropane (DOTAP) liposomes, were developed as a delivery system for co-delivery of camptothecin (CPT) and GRP78 siRNA/CLU siRNA. Their drug/gene co-deliveries were quantitatively assessed in cancer stem cells (CSC) and MCF-7 cells. DOTAP-CPT/siRNA were prepared via electrostatic interaction on GRP78 siRNA or CLU siRNA. The size and zeta-potential of liposomes and lipoplexes were measured by dynamic light scattering techniques and electrophoretic light scattering spectrophotometry. The lipoplexes formation was tested by using gel electrophoresis. Immunofluorescence analysis showed that the expression level of CLU and GRP78 were significantly elevated in CSC compared to MCF-7 cells. Transfection
23879373	T27	out	DOCSTART Selective serotonin 2A receptor antagonism attenuates the effects of amphetamine on arousal and dopamine overflow in non-human primates. The objective of the present study was to further elucidate the mechanisms involved in the wake-promoting effects of psychomotor stimulants. Many previous studies have tightly linked the effects of stimulants to dopamine neurotransmission, and 	some studies	 indicate that serotonin 2A receptors modulate these effects. However, the role of dopamine in arousal is controversial, most notably because dopamine neurons do not change firing rates across arousal states. In the present study, we examined the wake-promoting effects of the dopamine-releaser amphetamine using non-invasive telemetric monitoring. These effects were evaluated in rhesus monkeys as a laboratory animal model with high translational relevance for human disorders of sleep and arousal. To evaluate the role of dopamine in the wake-promoting effects of amphetamine, we used in vivo microdialysis targeting the caudate nucleus, as this approach provides clearly interpretable measures of presynaptic
19166208	T2	che	DOCSTART [Deposition of hydroxyapatite on the 	titanium oxide	 nanotube in simulated body fluid]. High density, well ordered and uniform titanium oxide nanotube arrays were fabricated on the surface of titanium substrate by anodic oxidation in 0.5 mol/L H3P04 + 0. 138 mol/L NaF solution. Then hydroxyapatite coatings were deposited in a simulated body fluid (SBF). The morphology of titanium oxide nanotubes and the coatings was observed by means of scanning electron microscope (SEM). The phase composition of the coatings was determined by X-ray diffractometer (XRD). The phenomenon of polarization was studied by the CHI660A Electrochemical Workstation. The titanium oxide nanotube was found to be about 100 nm in diameter.
3939078	T9	out	DOCSTART Natural history of acute regional myocardial ischaemia revealed by infrared thermography in the canine heart. Acute ischaemia of 	the left ventricular apical region	 has been produced by occluding for 60 min the upper mid-portion of the left anterior descending (LAD) coronary artery in the exposed heart of anaesthetized dogs. The decrease of the blood supply to this region was associated with characteristic morphologic patterns of the subepicardial temperature distribution which has been visualized with the aid of telethermography using an AGA 750 thermovision equipment. The thermographic cardiac images recorded during the progressive development and the restitution of the ischaemic events were evaluated with a new computer-assisted method developed by the authors and the results were described in composite histograms. The validity of the
793929	T5	org	DOCSTART [Formation of F'-episomes in Flexner shigellae]. Genetic characteristics of 	Shigella flexneri	 virulent donor strain 3s, isolated in the laboratory, are studied. The data obtained showed that Sh. flexneri 3s 6832 is of F'protype it did not transmit even closely located chromosome markers, except pro+. The transition of pro+ marker was reproduced in recA- strain. F'pro plasmid was eliminated with a frequency similar to that of F'lac factor in the control strain of Escherichia coli. The study of virulence by means of keratoconjunktival test revealed its retaining in clones which lost F'pro plasmid. Probably, KCP-A gene retained in the chromosome of F'pro strain. Crossing with proA- and procC- C. coli strains revealed
414356	T15	out	DOCSTART Thermoregulation is impaired in an environment without circadian time cues. Squirrel monkeys synchronized to a 24-hour light-dark cycle show a prominent circadian rhythm in body temperature which is regulated against mild environmental cold exposures throughout the 24-hour day. However, cold exposures produce 	significant decreases	 in core body temperature when the circadian rhythms of the animal are free-running in the absence of environmental time cues. Effective thermoregulation appears to require the precise internal synchronization of the circadian timekeeping system. DOCEND
12799183	T16	che	raft domains. We asked here how widespread raft-mediated entry might be among the Chlamydia. We show that C. pneumoniae, an important cause of respiratory infections in humans that additionally is associated with cardiovascular disease, and C. psittaci, an important pathogen in domestic mammals and birds that also infects humans, each enter host cells via cholesterol-rich lipid raft microdomains. Further, we show that C. trachomatis serovars E and F also use these domains to enter host cells. The involvement of these membrane domains in the entry of these organisms was indicated by the sensitivity of their entry to the raft-disrupting agents 	Nystatin	 and filipin, and by their intracellular association with caveolin-1, a 22-kDa protein associated with the formation of caveolae in rafts. In contrast, caveolin-marked lipid raft domains do not mediate entry of C. trachomatis serovars A, 36B, and C, nor of LGV serovar L2 and MoPn. Finally, we show that entry of each of these chlamydial strains is independent of cellular expression of caveolin-1. Thus, entry via the Nystatin and filipin-sensitive pathway is dependent on lipid rafts containing cholesterol, rather than invaginated caveolae per se. DOCEND
12030844	T48	out	DOCSTART Interference of poly(ethylene glycol)-lipid analogues with cationic-lipid-mediated delivery of oligonucleotides; role of lipid exchangeability and non-lamellar transitions. Cationic liposomes are applied to transfer oligonucleotides (ODNs) into cells to regulate gene expression for gene therapeutic or cell biological purposes. In vivo, poly(ethylene glycol) (PEG)-lipid derivatives are employed to stabilize and prolong the circulation lifetime of nucleic acid-containing particles, and to improve targeting strategies. In this study, we have studied the effects of PEG-lipid analogues, i.e. PEG coupled to either phosphatidylethanolamine (	PE	) or ceramide, on cationic-lipid-DNA complex ('lipoplex') assembly and the mechanism of cationic-lipid-mediated delivery of ODNs in vitro. Inclusion of 10 mol% PEG-PE in ODN lipoplexes inhibited their internalization in Chinese hamster ovary cells by more than 70%. The intracellular fraction remained entrapped in the endosomal/lysosomal pathway, and no release of ODNs was apparent. Similar observations were made for complexes prepared from liposomes that contained PEG-ceramides. Interestingly, delivery resumed when lipoplexes had been externally coated with PEG-ceramides. In this case, the kinetics of delivery were dependent on the length of the ceramide acyl chain, consistent with a requirement for the PEG-lipid
8044650	T2	dis	DOCSTART A simple method for prenatal diagnosis of trisomy 21 on uncultured amniocytes. Prenatal diagnosis of 	trisomy 21	 would be easier if fluorescence in situ hybridization (FISH) could be applied to interphase nuclei. Therefore, we prepared a chromosome-21-specific probe by in vitro enzymatic amplification of inter-Alu sequences from YAC clones previously localized to this chromosome. This probe was used for FISH on 22 uncultured amniocyte samples. An easy, rapid, and safe technique is proposed for the prenatal diagnosis of trisomy 21. DOCEND
9122834	T16	out	DOCSTART Neurosurgical management of penetrating spinal injury. BACKGROUND: Penetrating spinal injuries are the third most common cause of spinal cord injury, exceeded only by motor vehicle accidents and falls. The spinal cord can vary from complete destruction to 	a normal appearing cord	. There remains much controversy regarding the neurosurgical management of patients who sustain penetrating injuries of the spine. METHODS: Penetrating spinal injuries account for four to seven new cases of penetrating injury per million persons per annum. The initial management of penetrating spinal injury follows the principles of standard trauma care. Once the patient is hemodynamically stabilized and concomitant life-threatening injuries have been addressed, care can be directed toward the spinal injury. RESULTS: A meticulous neurological examination should be performed, including individual assessment of all muscle groups and sensory dermatomes. This examination becomes the baseline with which all subsequent examinations will
2202610	T2	org	DOCSTART Degradation of gonadotropin-releasing hormones in the 	gilthead seabream	, Sparus aurata. I. Cleavage of native salmon GnRH and mammalian LHRH in the pituitary. The pattern and kinetics of degradation of native salmon gonadotropin-releasing hormone (sGnRH) and mammalian leuteinizing hormone-releasing hormone (LHRH) by pituitary bound enzymes were studied in the gilthead seabream, Sparus aurata. sGnRH and LHRH were incubated for different periods of time with membrane or cytosolic fractions of pituitary homogenates. At the end of the incubation, the degradation mixture was fractionated on reverse-phase high-pressure liquid chromatography. The degradation products were identified by comparing their retention times to those of synthesized GnRH fragments and by analyzing their amino acid
1352963	T4	out	DOCSTART The Zollinger-Ellison syndrome. A collective surgical experience. 	A retrospective study	 of 90 surgically treated patients with the Zollinger-Ellison syndrome seen from 1958 through 1990 was performed. Fifteen patients had Zollinger-Ellison syndrome as a manifestation of multiple endocrine neoplasia type I. Preoperative tumor localization was positive in 46% of 54 patients studied. Gastrinomas were identified in 66% of patients, 38% of the tumors being malignant. Postoperative eugastrinemia was achieved in 11% of patients after a variety of surgical procedures. Exploratory laparotomy provides the only chance for cure and identifies the significant prognostic factors associated with long-term patient survival: small tumor size, extrapancreatic primary, and absence of tumor metastases. DOCEND
11243357	T7	dis	DOCSTART Polyclonal sandwich ELISAs to detect F18 fimbriated Escherichia coli in pigs in Northern Ireland. F18 fimbriated Escherichia coli are a newly described cause of postweaning 	diarrhea	 in pigs. Polyclonal rabbit antisera were raised to the antigenic variants, F18ab and F18ac, of these fimbriae and were used to develop monospecific sandwich enzyme-linked immunosorbent assays (ELISAs). The ELISAs were standardized with type cultures characterized by polymerase chain reaction techniques (PCR) and then used to conduct a study of the prevalence of F18 fimbriated E. coli in pigs in Northern Ireland. A total of 176 isolates were tested by ELISA and PCR. Eight isolates were positive for F18 by ELISA, of which 2 were shown to be false positives by PCR and one was PCR positive but ELISA negative.
11524555	T20	out	DOCSTART Pemetrexed disodium: a novel antifolate clinically active against multiple solid tumors. Pemetrexed disodium (ALIMTA), "pemetrexed") is a novel, multi-targeted antifolate that has demonstrated promising clinical activity in a wide variety of solid tumors, including 	non-small cell lung	, breast, mesothelioma, colorectal, pancreatic, gastric, bladder, cervix, and head and neck. Pemetrexed inhibits multiple folate-dependent enzymes involved in both purine and pyrimidine synthesis including thymidylate synthase, dihydrofolate reductase, glycinamide ribonucleotide formyltransferase, and aminoimidazole carboxamide ribonucleotide formyltransferase. As a single agent, pemetrexed exhibits a moderate toxicity profile at a dose of 500 mg/m(2) by 10-minute infusion once every 21 days with myelosuppression being the dose-limiting toxicity. Folic acid added to the diet in preclinical studies reduced toxicities while maintaining antitumor activity. Based on this observation and clinical toxicities, folic acid and vitamin B(12) dietary supplementation has been recently introduced into all
16667719	T15	che	was observed between change in the transpiration rate and that in the methane emission rate. Methane was mostly released from the culm, which is an aggregation of leaf sheaths, but not from the leaf blade. Micropores which are different from stomata were newly found at the abaxial epidermis of the leaf sheath by scanning electron microscopy. The measured methane emission rate was much higher than the calculated methane emission rate that would result from transpiration and the methane concentration in the culture solution. Rice roots could absorb methane gas in the gas phase without water uptake. These results suggest that 	methane	 dissolved in the soil water surrounding the roots diffuses into the cell-wall water of the root cells, gasifies in the root cortex, and then is mostly released through the micropores in the leaf sheaths. DOCEND
8440933	T81	out	urban infants, 500 infants < or = 12 months old with diarrhea and 500 age-matched control subjects coming to a Sao Paulo emergency room were studied. On multivariate analysis, these apparently sporadic community-acquired cases of diarrhea were significantly associated with hospitalization in the month before onset (odds ratio [OR], 3.4), day care center exposure (OR, 2.0), prior diarrhea in another household member (OR, 4.4), and low family income (OR, 1.8). Breast-feeding infants < 6 months old (OR, 0.3) and boiling household drinking water (OR, 0.4) were protective. Enteropathogenic Escherichia coli (EPEC; OR, 12.0) and Salmonella (OR, 7/0, discordant pairs) infections were associated with 	prior hospitalization	, rotavirus infections were associated with day care (OR, 6/0), and breast-feeding was protective against EPEC infections (OR, 0.1). These results suggest that certain preventive strategies can prevent a substantial proportion of cases of diarrheal disease in Brazilian infants. DOCEND
12503407	T23	che	of clinical Acinetobacter spp. strains. Resistance to 13 antimicrobial agents, resistance to the bactericidal activity of human serum, hydrophobic properties, lipolytic activity and production of histamine were determined in a total of 50 clinical Acinetobacter spp. strains (A. baumannii, A. lwoffii, A. calcoaceticus, A. haemolyticus). None of the tested isolates showed resistance to meropenem and none of A. lwoffii, A. calcoaceticus and A. haemolyticus strains were resistant to amikacin. Forty-six strains (92%) manifested resistance to ampicillin, 90% to cefuroxime, 68% to ciprofloxacin, 58% to piperacillin, gentamicin and cotrimaxazole, 50% to cefotaxime, 44% to amikacin, 42% to ceftazidime, 38% to piperacillin/	tazobactam	, 24% to netilmicin and 16% to ampicillin/sulbactam. In particular, A. baumannii and A. calcoaceticus strains showed considerable antibiotic resistance. Thirty-one isolates (62%) showed serum resistance; intermediate sensitivity was found in 19 isolates (38%). The majority of the strains (72%) demonstrated a strongly hydrophobic character; 16% of isolates exhibited moderate hydrophobic properties. All strains showed lipolytic activity; production of histamine was detected in 14 of 43 strains examined. DOCEND
1097996	T33	out	DOCSTART [Use of the plastic "Terphane" for the maintenance and the study of cell cultures]. Terphane plastic used as substrate for tissue culture, facilitates both cytochemcial, biochemical and ulstratructural studies of cells in situ. Particularly pliable, thin and resistant, the sheet of Terphane plastic is held tense by a system of two plaques of Petri dish type. This apparatus is perfectly waterproof, sterilisable and may be used indefinitely. Growth, morphology, 	ultrastructure	 and enzyme activities of primary or subcultures of rat and human liver maintained on terphane plastic are comparable with those of cells cultivated on Falcon polystyrene. Furthermore, terphane offers several advantages over the Melinex plastic: its thinness, resistance and plasticity render easy all manipulations. DOCEND
29795366	T6	che	DOCSTART Associations of serum indolepropionic acid, a gut microbiota metabolite, with type 2 diabetes and low-grade inflammation in high-risk individuals. We recently reported using non-targeted metabolic profiling that serum 	indolepropionic acid	 (IPA), a microbial metabolite of tryptophan, was associated with a lower likelihood of developing type 2 diabetes (T2D). In the present study, we established a targeted quantitative method using liquid chromatography with mass spectrometric detection (HPLC-QQQ-MS/MS) and measured the serum concentrations of IPA in all the participants from the Finnish Diabetes Prevention Study (DPS), who had fasting serum samples available from the 1-year study follow-up (n = 209 lifestyle intervention and n = 206 control group). Higher IPA at 1-year study was inversely associated with the incidence of T2D (OR [CI]: 0.86 [0.73-0.99], P = 0.04) and tended to be directly associated with
20645689	T26	out	DOCSTART Intranasal fentanyl: from pharmacokinetics and bioavailability to current treatment applications. Fentanyl, a short-acting synthetic pure opiate, offers an excellent option for the treatment of cancer and chronic pain. While oral administration is not an option, its high potency and lipophilicity have made 	intranasal administration	 feasible. Intranasal fentanyl has a bioavailability of 89%, with a short onset of action ( approximately 7 min) and duration times ( approximately 1 h). It bypasses the oral/gastrointestinal route, delivers the analgesic dose in a volume of 150 microl that can be adequately absorbed and, with a pH of 6.4, avoids local irritation. Intranasal fentanyl has been investigated to assess its potential as a well-tolerated acute postoperative breakthrough pain relief medication. It has been shown to be superior to oral transmucosal fentanyl for the treatment of cancer breakthrough pain. Similar analgesic effects to fentanyl or morphine intravenously and orally, with a
18188457	T14	che	of ursodeoxycholic acid and glucocorticoids upregulates the AE2 alternate promoter in human liver cells. Primary biliary cirrhosis (PBC) is a cholestatic disease associated with autoimmune phenomena and alterations in both biliary bicarbonate excretion and expression of the bicarbonate carrier AE2. The bile acid ursodeoxycholic acid (UCDA) is currently used in treatment of cholestatic liver diseases and is the treatment of choice in PBC; however, a subset of PBC patients respond poorly to UDCA monotherapy. In these patients, a combination of UDCA and glucocorticoid therapy appears to be beneficial. To address the mechanism of this benefit, we analyzed the effects of 	UDCA	 and dexamethasone on AE2 gene expression in human liver cells from hepatocyte and cholangiocyte lineages. The combination of UDCA and dexamethasone, but not UDCA or dexamethasone alone, increased the expression of liver-enriched alternative mRNA isoforms AE2b1 and AE2b2 and enhanced AE2 activity. Similar effects were obtained after replacing UDCA with UDCA conjugates. In in vitro and in vivo reporter assays, we found that a UDCA/dexamethasone combination upregulated human AE2 alternate overlapping promoter sequences from which AE2b1 and AE2b2 are expressed. In chromatin immunoprecipitation assays, we demonstrated that combination UCDA/dexamethasone treatment induced p300-related interactions between HNF1 and glucocorticoid receptor on the
